LossBefore,0NumTrajs,2MinReturn,MeanKL,0MaxReturn,2Perplexity,0AveragePolicyStd,ComputeUpdatedDistTime,1AverageReturn,2ProcessExecTime,2Entropy,MeanKLBefore,1Entropy,0StdReturn,1PolicyExecTime,0ExplainedVariance,1Perplexity,2ExplainedVariance,Time,1EnvExecTime,1MaxReturn,dLoss,2NumTrajs,2EnvExecTime,0ProcessExecTime,2AverageReturn,0Entropy,ItrTime,1MinReturn,1ExplainedVariance,1NumTrajs,0MinReturn,1ProcessExecTime,2AveragePolicyStd,2PolicyExecTime,2MaxReturn,LossAfter,1AveragePolicyStd,0AverageReturn,1StdReturn,0Perplexity,2StdReturn,0PolicyExecTime,0EnvExecTime
-0.00281838676892,800,0.0,0.00948373414576,1700.0,17.0986,1.0,0.3886706829071045,27.25,0.6866762638092041,2.839,0.00228165066801,2.83107,117.611383378,27.396194458007812,0.0542481558899,16.9636,0.288652353426,118.23667931556702,18.464890241622925,2300.0,0.00373956351541,800,16.151232957839966,0.47646665573120117,70.625,2.83788,118.23668074607849,0.0,0.168965665763,800,0.0,0.7746758460998535,1.00057,24.33721137046814,2400.0,-0.00655795028433,0.996612,14.75,167.279519069,17.0795,290.774155273,12.186578273773193,10.981913566589355
-0.00273725413717,800,0.0,0.00840332172811,2000.0,17.6799,1.0069,0.08138799667358398,52.875,0.597559928894043,2.87243,0.00310942693613,2.85638,132.358414919,22.35245966911316,0.0719975291802,17.3984,0.316078754316,226.77542328834534,14.152900218963623,2300.0,0.00414512376301,800,14.38286542892456,0.5802040100097656,99.75,2.85155,107.30137801170349,0.0,0.229400015184,800,0.0,0.5863137245178223,1.01744,23.376375675201416,2500.0,-0.00688237790018,1.00935,17.5,264.181252883,17.3145,372.692819222,13.867929697036743,13.463540315628052
-0.00721829058602,800,0.0,0.00968616455793,1700.0,17.4943,1.01079,0.07991170883178711,107.875,0.6245100498199463,2.86187,0.00968616548926,2.85703,131.794347375,22.08290123939514,0.0829541697813,17.4098,0.378660769977,337.2875728607178,13.860283851623535,2300.0,1.86264514923e-09,800,14.835024356842041,0.6138327121734619,165.875,2.85924,109.37808513641357,0.0,0.249652555062,800,0.0,0.5715641975402832,1.01219,24.101054668426514,2700.0,-0.00721829244867,1.00968,19.5,381.936492594,17.4483,493.834976865,14.165539026260376,14.102482795715332
-0.00709920795634,800,0.0,0.0122476220131,1900.0,17.8006,1.01079,0.08024954795837402,113.0,0.6103808879852295,2.87923,0.0122476248071,2.86118,158.546326038,21.84602928161621,0.0693299748564,17.4822,0.333127185987,446.083291053772,13.780892372131348,2400.0,2.32830643654e-09,800,14.677668571472168,0.5765058994293213,161.5,2.85924,107.42461729049683,0.0,0.278979300708,800,0.0,0.5660567283630371,1.02094,23.882450342178345,2500.0,-0.00709921028465,1.01177,25.75,371.626156238,17.4483,463.646147401,13.623425960540771,13.387988805770874
-0.00232636416331,800,0.0,0.00885275285691,1000.0,17.4695,1.01079,0.0773918628692627,52.875,0.6054270267486572,2.86046,0.0021815430373,2.8577,64.2864682495,22.794757843017578,0.0210886867024,17.4214,0.303135263573,555.3757338523865,14.031259298324585,2000.0,0.00379033805802,800,14.420095920562744,0.600942850112915,161.0,2.85924,108.24149227142334,0.0,0.146286445335,800,0.0,0.5775303840637207,1.01139,23.113474130630493,2800.0,-0.00611670222133,1.01004,6.5,241.902324038,17.4483,484.617374843,14.152574062347412,13.821411371231079
-0.00409168750048,800,0.0,0.0219497568905,1600.0,17.9178,1.01062,0.07841658592224121,122.875,0.6175198554992676,2.8858,0.0219497717917,2.86267,145.885014652,23.45258855819702,0.0774212455965,17.5083,0.377704677407,667.5490238666534,14.419615983963013,2700.0,4.19095158577e-09,800,14.75951886177063,0.6176433563232422,182.75,2.85887,111.15025401115417,0.0,0.293732838345,800,0.0,0.5938093662261963,1.02442,23.447418689727783,2600.0,-0.00409169169143,1.01259,22.75,431.612365874,17.4419,500.177406027,14.410787343978882,14.35705280303955
-0.0141714336351,800,0.0,0.210367262363,2000.0,17.3785,1.01062,0.07958793640136719,245.5,0.6039483547210693,2.85524,0.210367172956,2.86267,223.437316433,23.27214813232422,0.199335043313,17.5083,0.298351674262,777.7271485328674,14.18415880203247,3100.0,-1.86264514923e-09,800,14.506441593170166,0.6000986099243164,101.75,2.85887,108.76556062698364,0.0,0.3642378762,800,0.0,0.582094669342041,1.00896,23.045082330703735,2500.0,-0.0141714317724,1.01257,42.875,620.406922914,17.4419,364.344531316,13.844027757644653,13.79383897781372
-0.00902023632079,800,0.0,0.0218785554171,1600.0,17.6661,1.01062,0.07816219329833984,149.125,0.5836279392242432,2.87165,0.021878561005,2.85671,169.823253708,24.084543228149414,0.10887634248,17.4042,0.297625463635,887.2303071022034,14.718953371047974,2800.0,9.31322574615e-10,800,13.724351167678833,0.6035985946655273,178.125,2.85887,108.48472905158997,0.0,0.269648391344,800,0.0,0.6142923831939697,1.01734,21.805532932281494,2600.0,-0.00902023725212,1.00959,29.75,451.247420353,17.4419,492.375856816,13.951494693756104,13.941336631774902
-0.00928957015276,800,0.0,0.0781346261501,2200.0,17.6499,1.01062,0.0829155445098877,182.125,0.41385674476623535,2.87073,0.0781346261501,2.85906,148.989880109,16.72249698638916,0.103194676794,17.4452,0.280706586006,967.5548465251923,10.14720892906189,2700.0,5.58793544769e-09,800,9.754971742630005,0.4784667491912842,98.0,2.85887,78.88270688056946,0.0,0.35170940255,800,0.0,0.44379615783691406,1.01661,15.53372073173523,2400.0,-0.00928957574069,1.01074,22.125,528.529076187,17.4419,367.043594141,10.571703672409058,10.74951982498169
-0.0154003007337,800,0.0,0.0945037677884,2000.0,17.3003,1.01062,0.08068013191223145,207.25,0.4104588031768799,2.85072,0.0945038124919,2.85693,188.658255849,14.982161045074463,0.096367420953,17.408,0.317107704363,1045.7156994342804,9.443464517593384,2600.0,-2.79396772385e-09,800,9.70251178741455,0.44748854637145996,151.875,2.85887,76.88361978530884,0.0,0.357844160529,800,0.0,0.3952970504760742,1.00655,17.003724575042725,2700.0,-0.0154002979398,1.00964,31.75,550.134017763,17.4419,450.107192094,10.757776737213135,9.860038995742798
