0MaxReturn,1PolicyExecTime,0PolicyExecTime,1MinReturn,1ExplainedVariance,LossBefore,0ExplainedVariance,1Entropy,0StdReturn,1AverageReturn,1NumTrajs,1Perplexity,0AverageReturn,Time,0EnvExecTime,1AveragePolicyStd,0AveragePolicyStd,1EnvExecTime,dLoss,0NumTrajs,0Entropy,LossAfter,0MinReturn,ComputeUpdatedDistTime,1StdReturn,0Perplexity,1MaxReturn,MeanKL,1ProcessExecTime,0ProcessExecTime,MeanKLBefore,ItrTime
2600.0,32.59328889846802,23.54274320602417,0.0,0.143828111625,-1.848093234e-09,0.0850743715769,2.83474,421.013244855,223.5,1600,17.026,131.6875,110.24519753456116,23.567612171173096,0.998439,1.0,23.20080018043518,0.00803188422287,1600,2.83788,-0.00803188607097,0.0,0.7897558212280273,563.547025544,17.0795,2700.0,0.00759412394837,0.8236610889434814,0.8582971096038818,6.93490487258e-10,110.24520182609558
2700.0,35.219411849975586,23.909209489822388,0.0,0.162297247652,1.16415321827e-10,0.101497958323,2.83974,447.572336158,259.8125,1600,17.1113,145.9375,225.02180767059326,23.35554790496826,1.00098,1.00007,23.65081286430359,0.00552211061586,1600,2.83801,-0.00552211049944,0.0,0.0877385139465332,632.152050415,17.0818,2900.0,0.00838645733893,0.8520078659057617,0.8698220252990723,3.17231951819e-09,112.23285508155823
2800.0,35.08162522315979,24.158022165298462,0.0,0.153062018595,9.31322574615e-10,0.0719251257149,2.83689,402.926792358,243.625,1600,17.0626,120.0,340.8914792537689,23.858511686325073,0.999519,1.0025,23.595889568328857,0.00584371341392,1600,2.84288,-0.0058437124826,0.0,0.09756255149841309,598.077636578,17.1651,2800.0,0.00717036612332,0.8599762916564941,0.9118747711181641,3.66707819666e-09,112.91914129257202
2900.0,33.6790668964386,24.307079553604126,0.0,0.147007635063,-2.91038304567e-11,0.0962247618637,2.82478,443.001111031,219.75,1600,16.8573,143.875,454.18320965766907,23.495228052139282,0.993518,0.994645,23.28071355819702,0.00591139864991,1600,2.82714,-0.00591139867902,0.0,0.1204984188079834,572.033598227,16.897,2700.0,0.0077331000939,0.8311111927032471,0.8775320053100586,2.44472597721e-09,110.66385340690613
2700.0,37.30051875114441,22.645352602005005,0.0,0.146507833104,1.86264514923e-09,0.123602158738,2.79544,471.472941297,268.75,1600,16.3698,157.125,570.9186642169952,23.457670211791992,0.979033,0.98305,24.31882953643799,0.00516337901354,1600,2.80364,-0.00516337715089,0.0,0.09352803230285645,626.21756403,16.5045,2900.0,0.00835104752332,0.8801567554473877,0.8751218318939209,-2.32832697566e-10,113.93516564369202
2800.0,39.71394872665405,25.503857135772705,0.0,0.156085776823,6.98491930962e-10,0.0910460347798,2.76793,491.542708597,293.0,1600,15.9256,179.125,695.0807869434357,24.84571146965027,0.965682,0.966055,24.689985513687134,0.00223459862173,1600,2.76875,-0.00223459792323,0.0,0.10558938980102539,660.000757575,15.9387,2700.0,0.00721792224795,0.8951787948608398,0.9415290355682373,-9.31321408881e-10,120.99955654144287
2500.0,40.166061878204346,24.992135763168335,0.0,0.173343784887,-3.56521923095e-10,0.092601570007,2.75594,475.775645492,313.8125,1600,15.7359,165.8125,819.161699295044,24.80447292327881,0.9599,0.96229,24.719985246658325,0.00439040885976,1600,2.76097,-0.00439040921628,0.0,0.11632657051086426,684.837911366,15.8151,2700.0,0.00752296485007,0.9075150489807129,0.9413318634033203,4.99600361081e-16,121.08003759384155
2600.0,39.348881244659424,25.860183715820312,0.0,0.167622084244,3.08500602841e-09,0.0800831709096,2.74714,471.24297077,305.5,1600,15.5979,160.25,943.0692000389099,24.76629066467285,0.955679,0.956743,24.805599451065063,0.00500182370888,1600,2.74941,-0.00500182062387,0.0,0.33783435821533203,687.30979187,15.6334,2900.0,0.00689822342247,0.8958895206451416,0.9373242855072021,0.0,121.17099952697754
2600.0,40.92745399475098,24.8454327583313,0.0,0.156403722794,-9.16770659387e-10,0.0936997717875,2.69669,560.397985671,335.125,1600,14.8305,222.3125,1067.8280947208405,24.597782850265503,0.931894,0.935237,24.949896335601807,0.00471079956333,1600,2.70382,-0.0047108004801,0.0,0.1078646183013916,710.064246653,14.9367,2700.0,0.00945417769253,0.9064233303070068,0.9293866157531738,-2.60770320892e-08,121.68827748298645
2800.0,39.55032181739807,28.77102828025818,0.0,0.155519528981,-2.91038304567e-09,0.112270864674,2.64822,547.549027485,342.3125,1600,14.1289,205.25,1195.9787390232086,25.541258811950684,0.909567,0.910968,24.893223524093628,0.00580364267807,1600,2.65136,-0.00580364558846,0.0,0.0951378345489502,727.489451706,14.1733,2800.0,0.00912977941334,0.9011538028717041,0.9977490901947021,3.72528674575e-09,125.11339974403381
