Entropy,ItrTime,Time,NumTrajs,LossAfter,MeanKL,StdReturn,TotalExecTime,AveragePolicyStd,MaxReturn,MinReturn,ExplainedVariance,LossBefore,Perplexity,MaxKL,AverageReturn
1.73658,6.375403165817261,6.375399112701416,40,-0.353015,3.9475,893.014557552,6.293055295944214,0.58088,6700.0,2300.0,0.71854374623,-0.0137602,5.67789,10.2494,4145.0
1.72282,6.256934642791748,12.636791706085205,40,-0.0494094,0.021462,894.301403331,6.144717216491699,0.577127,7700.0,1900.0,0.919007035946,-0.034885,5.60029,0.187344,7185.0
1.70538,8.086689949035645,20.726668119430542,40,-0.0646547,0.0241342,279.184079059,7.978037118911743,0.57154,7900.0,6700.0,0.989010037899,-0.0430074,5.50346,0.191051,7257.5
1.68387,6.623167514801025,27.35511302947998,40,-0.0651212,0.125687,260.959767014,6.528198003768921,0.565037,7900.0,6400.0,0.991306225135,-0.017623,5.38637,0.4808,7320.0
1.67506,6.056500196456909,33.42129468917847,40,-0.0362334,0.00955729,316.662280671,6.023564577102661,0.562238,8100.0,6700.0,0.987182916077,-0.0227074,5.33912,0.0904364,7415.0
1.66371,5.935596466064453,39.36414575576782,40,-0.0303178,0.0470859,485.051543653,5.894465208053589,0.558286,8200.0,5000.0,0.977766792696,-0.01481,5.27885,0.375417,7335.0
1.6563,6.092451333999634,45.46166777610779,40,-0.041305,0.0309417,233.117459664,6.046042442321777,0.556062,7900.0,6900.0,0.99333277471,-0.0218735,5.2399,0.35357,7562.5
