MaxReturn,NumTrajs,Time,MinReturn,LossAfter,LossBefore,MeanKL,Entropy,AverageReturn,StdReturn,ItrTime,AveragePolicyStd,TotalExecTime,ExplainedVariance,MaxKL,Perplexity
1900.0,40,5.423624515533447,0.0,-0.0822078,-0.000623502,0.555378,2.57184,475.0,488.236622961,5.423635959625244,0.876188,5.344179630279541,0.141142916448,11.7863,13.0899
4700.0,40,10.037768125534058,1100.0,-0.0990332,-0.0316114,0.232498,2.57122,2955.0,852.921450076,4.60521936416626,0.876569,4.5231993198394775,0.562267261122,6.29292,13.0817
6300.0,40,14.720122337341309,2300.0,-0.0770414,-0.0339864,0.150277,2.55541,4317.5,818.50091631,4.678240776062012,0.86925,4.634989500045776,0.747146267947,9.73587,12.8766
6100.0,40,19.2220938205719,1300.0,-0.0941178,-0.0242945,0.342216,2.53842,3915.0,1064.55389718,4.496883153915405,0.861989,4.461861610412598,0.629713439445,17.3248,12.6596
5700.0,40,23.71191167831421,400.0,-0.0938462,0.00332771,0.652433,2.52627,3602.5,1124.83054279,4.481070041656494,0.856592,4.437948226928711,0.577442588224,110.24,12.5068
4200.0,40,28.234700918197632,0.0,-0.115755,-0.000739723,0.585108,2.52793,2192.5,998.095060603,4.509016752243042,0.857108,4.439224720001221,0.483195792387,8.26173,12.5276
5000.0,40,32.711681604385376,1200.0,-0.149869,-0.021846,0.712543,2.52756,3555.0,876.341828284,4.4630255699157715,0.856998,4.4277448654174805,0.654405068195,21.1359,12.523
