ItrTime,Time,MinReturn,AverageReturn,MaxReturn,NumTrajs,AveragePolicyStd,TotalExecTime,LossBefore,Entropy,LossAfter,MaxKL,Perplexity,StdReturn,ExplainedVariance,MeanKL
34.31404900550842,1047.1268465518951,1000.0,2378.0,3000.0,200,0.919328,34.06311774253845,-0.0358268,2.66965,-0.0501659,0.984024,14.4349,346.0,0.941810319802,0.0315162
35.66220808029175,1082.8025605678558,1400.0,2442.0,2900.0,200,0.91113,35.29676055908203,-0.0475476,2.65174,-0.0622731,0.951916,14.1786,279.349243779,0.962884009531,0.0350772
33.76293230056763,1116.569946527481,1200.0,2498.5,2900.0,200,0.900367,33.51295566558838,-0.0460626,2.62796,-0.0608077,0.184936,13.8455,256.802940014,0.972053005297,0.0289334
34.005539894104004,1150.5993976593018,1800.0,2562.5,2900.0,200,0.890056,33.716792345047,-0.0187908,2.60493,-0.0242368,0.0848098,13.5303,192.986398484,0.985496374737,0.00911937
36.46753764152527,1187.0806031227112,1900.0,2588.5,2900.0,200,0.885883,36.18449115753174,-0.0333508,2.59554,-0.0457722,1.31551,13.4038,173.256313016,0.988831377357,0.0388253
36.44070482254028,1223.541850566864,2200.0,2590.5,2900.0,200,0.878531,36.16852807998657,-0.0451788,2.57886,-0.0643089,0.862508,13.1821,162.971623297,0.990073093683,0.0710449
34.91897797584534,1258.471153974533,2200.0,2629.5,2900.0,200,0.86868,34.61822724342346,-0.0353727,2.55627,-0.0424378,0.28089,12.8877,135.571936624,0.992239405941,0.0157568
34.689348459243774,1293.1764044761658,2200.0,2632.0,2900.0,200,0.861027,34.40715146064758,-0.0182407,2.53859,-0.0248825,0.187546,12.6618,129.135587659,0.992945579132,0.0196317
36.22792077064514,1329.4158685207367,2200.0,2636.5,3100.0,200,0.8571,35.891379833221436,-0.0180275,2.52946,-0.031583,3.47921,12.5468,140.063378511,0.992871423625,0.0500059
35.62572932243347,1365.0567877292633,2200.0,2657.5,2900.0,200,0.853264,35.29567861557007,-0.0193916,2.52045,-0.0248916,0.123296,12.4342,129.783473524,0.992502465958,0.0112705
33.66406965255737,1398.7329750061035,2300.0,2652.0,3000.0,200,0.849118,33.41997838020325,-0.0317708,2.51076,-0.0444726,1.22838,12.3142,128.825463322,0.993100436976,0.0541386
33.80371856689453,1432.5445499420166,2300.0,2673.0,2900.0,200,0.842404,33.585543632507324,-0.0253471,2.49487,-0.0314376,0.0748552,12.1202,127.557830022,0.993433793989,0.00737388
34.9350061416626,1467.4934811592102,2200.0,2680.0,3000.0,200,0.837092,34.59678316116333,-0.0042938,2.4822,-0.00987828,0.218256,11.9675,124.09673646,0.994386694172,0.0192856
33.47406792640686,1500.9827229976654,2300.0,2666.0,3100.0,200,0.836179,33.21903896331787,-0.018238,2.48005,-0.0212663,0.0556427,11.9419,116.378692208,0.994531399914,0.00387393
34.15265369415283,1535.157194852829,2300.0,2663.5,3000.0,200,0.832384,33.89327907562256,-0.0146881,2.47093,-0.0295364,232.953,11.8335,118.818138346,0.994168545291,2.04514
33.9170937538147,1569.0876591205597,2300.0,2666.5,2900.0,200,0.829324,33.669580936431885,0.00515001,2.46359,-2.52798e-05,0.193878,11.7469,126.600750393,0.994167380104,0.0106125
32.60737347602844,1601.7076334953308,2300.0,2660.0,2900.0,200,0.830392,32.37150859832764,-0.020037,2.46616,-0.0254595,0.421045,11.7772,117.046999107,0.99465711708,0.0186942
32.032533407211304,1633.7531716823578,2300.0,2669.0,2900.0,200,0.826244,31.827224016189575,-0.00753372,2.45614,-0.0121159,0.332817,11.6598,125.055987462,0.993584463291,0.0205174
32.408177852630615,1666.1786596775055,2400.0,2676.0,3000.0,200,0.824696,32.17240881919861,-0.00849236,2.45238,-0.0213531,0.477678,11.6159,115.429632244,0.994393950679,0.0587645
32.228506326675415,1698.4161667823792,2200.0,2668.5,3000.0,200,0.822956,31.862889766693115,-0.000784035,2.44813,-0.0130237,5.33797,11.5667,116.007542858,0.995055444047,0.0806962
31.621049642562866,1730.0662295818329,2300.0,2661.5,3000.0,200,0.82281,31.426430463790894,-0.00832938,2.44774,-0.017929,0.94405,11.5622,111.659079344,0.994799756921,0.0197879
