AverageReturn,MaxReturn,ItrTime,Perplexity,StdReturn,LossBefore,AveragePolicyStd,NumTrajs,Time,Entropy,MinReturn,LossAfter,ExplainedVariance,MaxKL,MeanKL,TotalExecTime
2669.5,3000.0,24.843607902526855,7.25394,112.78186911,0.00666876,0.651751,200,777.6604781150818,1.98154,2300.0,0.0052626,0.995065488416,0.0290085,0.00514473,24.581281423568726
2668.0,3000.0,25.35874843597412,7.27817,116.944431248,0.0043754,0.652822,200,803.0277225971222,1.98488,2300.0,-0.0226141,0.994715813228,2.11611,0.346395,25.19502282142639
2674.0,3100.0,26.578970909118652,7.29411,130.476051442,-0.00517976,0.653556,200,829.6139647960663,1.98707,2300.0,-0.0100755,0.994223496368,0.308371,0.0280837,26.336312770843506
2673.0,3000.0,26.69639253616333,7.27525,122.356037857,0.00655548,0.652679,200,856.3324506282806,1.98448,2300.0,-0.0167067,0.994327700874,3.84576,0.394252,26.562114477157593
2673.5,3000.0,24.751075744628906,7.29913,119.78209382,-0.0247727,0.653777,200,881.0986740589142,1.98775,2300.0,-0.042529,0.994918614847,1.12209,0.230749,24.550610780715942
2677.5,2900.0,25.264616012573242,7.20928,111.998883923,-0.0101615,0.649779,200,906.3687014579773,1.97537,2300.0,-0.0207364,0.994927203019,0.505453,0.108442,25.07847261428833
2676.5,3000.0,25.17267656326294,7.17274,118.733946283,-0.0144557,0.648122,200,931.5513517856598,1.97029,2300.0,-0.0226386,0.994628477091,0.51241,0.0961798,24.8888201713562
2659.5,2900.0,26.259249210357666,7.12109,114.933676527,-0.00805253,0.64575,200,957.82395362854,1.96306,2300.0,-0.0100506,0.994234229947,0.103901,0.0113814,26.041107177734375
2665.0,3000.0,26.27830410003662,7.09247,128.35497653,-0.00428819,0.644456,200,984.1083433628082,1.95903,2200.0,-0.0200496,0.993955570091,0.66424,0.106765,26.05853295326233
2675.5,3000.0,25.424567937850952,7.07728,125.895790239,-0.0139686,0.643752,200,1009.5572526454926,1.95689,2200.0,-0.0267035,0.994822021724,1.76177,0.188719,25.203607320785522
2671.5,2900.0,26.161020278930664,7.02802,107.413919024,-0.00540989,0.641506,200,1035.7258801460266,1.94991,2400.0,-0.0163742,0.994962981464,1.84835,0.113267,26.07091212272644
2680.0,2900.0,25.524280548095703,7.00904,123.693168769,-0.0199948,0.640646,200,1061.2665557861328,1.9472,2300.0,-0.0262225,0.994433199155,0.82689,0.0539252,25.24354648590088
2663.5,2900.0,26.200325965881348,6.93931,123.360244812,-0.0170603,0.637457,200,1087.4798290729523,1.9372,2300.0,-0.0452915,0.99442645307,4.73465,0.365286,26.07939648628235
2688.0,3000.0,25.31742763519287,6.88037,113.824426201,-0.00906279,0.634709,200,1112.8023355007172,1.92867,2400.0,-0.0181382,0.994737330799,1.16577,0.0945179,25.101155757904053
2673.5,2900.0,24.049480199813843,6.84927,114.663638526,-0.0172803,0.633292,200,1136.8667228221893,1.92414,2300.0,-0.0438128,0.994709245476,2.3898,0.267733,23.9423565864563
2681.0,3000.0,24.554996490478516,6.79034,119.327281038,-0.00827375,0.630542,200,1161.4285588264465,1.9155,2300.0,-0.020825,0.994273894751,1.45772,0.153437,24.389164209365845
2686.5,3000.0,25.331593990325928,6.76231,115.61898633,-0.0110131,0.629247,200,1186.7711873054504,1.91137,2300.0,-0.0277509,0.994967316079,1.535,0.262552,25.020799160003662
2680.5,3000.0,25.906060218811035,6.72517,107.56277237,-0.00290415,0.627537,200,1212.6953401565552,1.90586,2300.0,-0.0318163,0.99508119956,3.43401,0.280036,25.68302869796753
2686.0,3000.0,25.711888790130615,6.71542,114.47270417,-0.00604634,0.627079,200,1238.4147992134094,1.90441,2400.0,-0.0218952,0.995204597529,1.69301,0.227275,25.50532841682434
2679.5,3000.0,26.740137815475464,6.69514,115.454536507,0.00162381,0.626148,200,1265.168380498886,1.90138,2300.0,-0.00517581,0.995184443267,0.574473,0.0810957,26.59673833847046
2674.5,3000.0,25.664413690567017,6.70059,114.454139287,-0.00990321,0.626413,200,1290.8384847640991,1.90219,2300.0,-0.0195203,0.995034044579,0.643708,0.123827,25.46663737297058
