LossAfter,LossBefore,MeanKL,MaxReturn,Perplexity,Time,MinReturn,StdReturn,ItrTime,AveragePolicyStd,MaxKL,NumTrajs,TotalExecTime,ExplainedVariance,AverageReturn,Entropy
-0.0,-0.0,0.0,0.0,14.5788,10.992312669754028,0.0,0.0,10.992315292358398,0.92455,0.0,20,10.908574104309082,1,0.0,2.67957
-0.0,-0.0,0.0,0.0,14.5788,21.631988525390625,0.0,0.0,10.633420944213867,0.92455,0.0,20,10.4937584400177,1,0.0,2.67957
-0.0,-0.0,0.0,0.0,14.5788,32.256394147872925,0.0,0.0,10.613030195236206,0.92455,0.0,20,10.553372621536255,1,0.0,2.67957
-0.0,-0.0,0.0,0.0,14.5788,42.88259792327881,0.0,0.0,10.61546516418457,0.92455,0.0,20,10.580615282058716,1,0.0,2.67957
-0.0,-0.0,0.0,0.0,14.5788,53.527429819107056,0.0,0.0,10.641527652740479,0.92455,0.0,20,10.598119497299194,1,0.0,2.67957
-0.0,-0.0,0.0,0.0,14.5788,64.28348398208618,0.0,0.0,10.751324653625488,0.92455,0.0,20,10.718045949935913,1,0.0,2.67957
-0.0,-0.0,0.0,0.0,14.5788,75.01897597312927,0.0,0.0,10.731298208236694,0.92455,0.0,20,10.677246809005737,1,0.0,2.67957
