MaxKL,MaxReturn,AveragePolicyStd,Time,Entropy,ExplainedVariance,StdReturn,TotalExecTime,ItrTime,NumTrajs,MinReturn,LossAfter,MeanKL,AverageReturn,Perplexity,LossBefore
0.0552156,2900.0,0.888068,787.7959744930267,2.60036,0.960700933253,355.814558443,26.916730403900146,27.16167140007019,200,900.0,-0.0522344,0.0187262,2364.0,13.4686,-0.0398726
0.0626054,2900.0,0.87925,815.8536891937256,2.58043,0.975226571855,279.542036195,27.815762758255005,28.046164751052856,200,1200.0,-0.0377539,0.0101858,2422.5,13.2028,-0.0292436
0.0632409,2900.0,0.872848,844.1473002433777,2.56581,0.978824501513,245.75597653,28.029059886932373,28.285036087036133,200,1300.0,-0.0527795,0.0103476,2448.0,13.0111,-0.0458029
0.1158,3000.0,0.862924,872.887927532196,2.5429,0.979720387077,245.344146048,28.42876887321472,28.725846767425537,200,1600.0,-0.0514313,0.0200283,2487.5,12.7165,-0.0385353
0.11217,3100.0,0.854699,900.6466143131256,2.52364,0.986499747746,194.316751723,27.45119047164917,27.73679780960083,200,1700.0,-0.0588032,0.0220871,2529.0,12.4739,-0.0480173
0.149209,3000.0,0.844475,927.8489797115326,2.49963,0.988244768738,173.61955535,26.950942993164062,27.180359601974487,200,2000.0,-0.0571859,0.029354,2577.5,12.178,-0.0451604
0.0378663,2900.0,0.834983,955.3485624790192,2.47705,0.991005875907,165.26040058,27.295506715774536,27.483816862106323,200,2100.0,-0.0366293,0.00633436,2583.0,11.9061,-0.0324208
0.146765,2900.0,0.828242,983.0038876533508,2.46084,0.990028254283,156.581448454,27.41910672187805,27.644885301589966,200,2000.0,-0.0397703,0.0230468,2611.5,11.7146,-0.0316492
0.046258,2900.0,0.821729,1010.185690164566,2.44501,0.992207518109,146.710599481,26.92498803138733,27.17780089378357,200,2100.0,-0.0197449,0.00862179,2624.0,11.5307,-0.0164307
0.0633861,3000.0,0.818338,1037.1774983406067,2.4368,0.992718564611,144.07550104,26.763049840927124,26.977795839309692,200,2100.0,-0.0283132,0.00509038,2631.5,11.4364,-0.0247209
0.0309049,2900.0,0.813321,1065.0694012641907,2.42444,0.990674784006,156.300191938,27.564042329788208,27.87227988243103,200,2000.0,-0.0264086,0.00461318,2620.5,11.2959,-0.0238637
0.0288279,2900.0,0.808481,1093.7538783550262,2.4125,0.993378753753,143.728041801,28.393282175064087,28.660175323486328,200,2000.0,-0.0357251,0.00481697,2643.5,11.1619,-0.0329471
0.0360399,2900.0,0.801868,1122.7207005023956,2.39603,0.993032409613,129.67652062,28.711467027664185,28.950854778289795,200,2200.0,-0.0426534,0.00454582,2628.0,10.9795,-0.0401819
0.0353802,2900.0,0.793865,1152.5579087734222,2.37594,0.993830927624,125.5378429,29.541616678237915,29.817550659179688,200,2200.0,-0.0331579,0.00699292,2634.5,10.7611,-0.0301139
0.0372214,2900.0,0.787877,1180.069991827011,2.36088,0.993495716531,130.551713891,27.273643016815186,27.496419191360474,200,2100.0,-0.0212769,0.0034067,2657.5,10.6003,-0.0187866
0.118436,2900.0,0.784195,1207.6575047969818,2.35149,0.993897587747,124.060469127,27.304171800613403,27.576298713684082,200,2200.0,-0.0354771,0.0210941,2653.0,10.5012,-0.0273776
0.00796236,2900.0,0.778788,1237.0822868347168,2.3378,0.995191673209,119.656800893,29.146425485610962,29.408645391464233,200,2300.0,-0.0256486,0.00109651,2663.5,10.3584,-0.024051
0.0439171,2900.0,0.774148,1266.0775752067566,2.32578,0.994589116233,121.041315261,28.71454882621765,28.97590923309326,200,2300.0,-0.00579327,0.00696788,2657.0,10.2346,-0.00370627
0.0376324,3000.0,0.77345,1295.0390865802765,2.32392,0.994456319967,123.894108012,28.76943278312683,28.954857110977173,200,2300.0,-0.0158075,0.00469708,2675.5,10.2157,-0.0131458
0.00861382,3000.0,0.770913,1325.497320175171,2.31735,0.993840011574,137.477270849,30.241563081741333,30.437471628189087,200,2200.0,-0.01674,0.00155334,2660.0,10.1487,-0.0155914
0.0166331,3000.0,0.767894,1355.1300978660583,2.30955,0.995019872835,120.830459736,29.363699913024902,29.629875659942627,200,2300.0,-0.0195719,0.00436665,2680.0,10.0699,-0.0174019
