LossAfter,TotalExecTime,ItrTime,MaxKL,AverageReturn,MeanKL,StdReturn,MaxReturn,MinReturn,ExplainedVariance,Time,Entropy,LossBefore,AveragePolicyStd,NumTrajs,Perplexity
-0.0306134,11.306331396102905,11.407032251358032,0.665963,530.0,0.221318,445.084261685,1800.0,200.0,0.156224039223,11.40702772140503,2.64941,0.0109532,0.917354,20,14.1457
-0.0621917,11.650096893310547,11.847662687301636,0.57134,15655.0,0.203538,2063.84955847,18800.0,12400.0,0.757582707377,23.258033752441406,2.66037,0.00400419,0.921887,20,14.3015
-0.0512075,11.553663492202759,11.75583291053772,0.299455,21170.0,0.135459,1770.90372409,22700.0,14800.0,0.924352175929,35.027262449264526,2.66237,-0.0188191,0.923038,20,14.3302
-0.0599171,11.671666860580444,11.752175331115723,0.344612,20950.0,0.11748,1208.92514243,23100.0,17600.0,0.943826852711,46.79853439331055,2.65296,-0.0209055,0.918071,20,14.196
-0.062391,10.942779302597046,11.109628915786743,0.50104,20570.0,0.166969,1432.16619147,22500.0,18600.0,0.937879736942,57.91809844970703,2.64251,-0.0167098,0.913061,20,14.0484
-0.05137,11.221131324768066,11.29919147491455,0.288715,20945.0,0.126751,1674.95522328,22900.0,17600.0,0.926215472945,69.22360157966614,2.63415,-0.015991,0.909641,20,13.9315
-0.00241111,11.544959783554077,11.59433913230896,0.112362,21735.0,0.0242088,985.532850797,22800.0,18800.0,0.971109025927,80.82635116577148,2.62616,0.00666763,0.906554,20,13.8205
