TotalExecTime,LossBefore,Entropy,AverageReturn,StdReturn,LossAfter,Perplexity,MaxKL,MaxReturn,Time,MeanKL,ExplainedVariance,AveragePolicyStd,ItrTime,MinReturn,NumTrajs
34.00886344909668,-0.00519162,2.76679,785.5,1080.8051397,-0.0131242,15.9075,0.382847,2800.0,1036.2583408355713,0.010805,0.763780703499,0.965264,34.29007840156555,0.0,200
34.82418465614319,0.0101577,2.76419,684.0,1012.0,0.00751158,15.8662,0.0982795,2900.0,1071.3425378799438,0.00351987,0.738251364518,0.963996,35.06949281692505,0.0,200
34.6749963760376,-0.0212259,2.76927,615.5,1000.90446597,-0.0227551,15.947,0.0062669,2900.0,1106.3969678878784,0.000573098,0.747124283774,0.966417,35.03377413749695,0.0,200
33.94168138504028,0.0159652,2.75866,890.0,1077.31146842,0.0104315,15.7787,0.0446268,2800.0,1140.6103429794312,0.00629687,0.747749039442,0.961236,34.201067209243774,0.0,200
34.12424421310425,-0.00182753,2.76664,810.5,1077.32991697,-0.00614402,15.9051,0.079129,3000.0,1175.0049464702606,0.00397996,0.73942538316,0.965108,34.375086545944214,0.0,200
33.32150673866272,0.00527665,2.76573,924.0,1101.55526416,-0.0102635,15.8906,0.490771,2800.0,1208.6309561729431,0.0195594,0.763853247054,0.96469,33.61040544509888,0.0,200
35.81456208229065,-0.0118153,2.76837,904.5,1068.37715719,-0.0270602,15.9326,0.422451,2800.0,1244.7295191287994,0.0222602,0.768923107823,0.96607,36.081942319869995,0.0,200
32.985008239746094,-0.0180482,2.76246,878.0,1085.31838647,-0.020458,15.8387,0.0382864,2900.0,1278.065437555313,0.00235937,0.73738341647,0.963221,33.32359457015991,0.0,200
34.81274127960205,-0.0168034,2.75343,851.0,1108.4218511,-0.0217266,15.6964,1.57519,2900.0,1313.1487505435944,0.0220182,0.738440774689,0.958858,35.06419086456299,0.0,200
34.78331446647644,0.00718547,2.74503,1008.5,1104.70708787,0.00478499,15.5651,0.101567,2900.0,1348.2787380218506,0.00293477,0.746441930518,0.954913,35.11257457733154,0.0,200
33.88785910606384,-0.012007,2.74863,1167.0,1100.64117677,-0.0187598,15.6212,0.180286,2900.0,1382.4921066761017,0.00898274,0.760621003234,0.95662,34.1978235244751,0.0,200
34.145716190338135,0.00275413,2.74262,1100.0,1141.66545012,-0.00373224,15.5277,0.163479,2900.0,1416.9573905467987,0.0136192,0.75884669167,0.953699,34.44230103492737,0.0,200
34.73768711090088,-0.00546751,2.744,1262.5,1102.6530506,-0.0211961,15.5491,0.228176,2900.0,1452.0456144809723,0.0335644,0.779649909269,0.954356,35.0797643661499,0.0,200
32.87684440612793,-0.010417,2.74127,1411.0,1058.95184026,-0.0213641,15.5066,0.270374,2900.0,1485.2023050785065,0.0188916,0.752754933317,0.953042,33.143919706344604,0.0,200
35.236581325531006,-0.0189741,2.73606,1443.5,1044.20196801,-0.218985,15.426,27.5149,3000.0,1520.821834564209,0.25611,0.746558913432,0.95061,35.603837966918945,0.0,200
32.38230228424072,-0.0120979,2.72657,1621.5,974.980897249,-0.0213446,15.2804,0.537984,2900.0,1553.4056186676025,0.0238236,0.766425677819,0.946027,32.57934069633484,0.0,200
34.323713302612305,-0.0341204,2.72052,1818.5,812.100825021,-0.0425325,15.1882,0.247005,2900.0,1588.015596628189,0.0152961,0.83300153683,0.943233,34.566914796829224,0.0,200
35.27515125274658,-0.0170027,2.70346,1974.0,807.480030713,-0.0306721,14.9313,1.10759,2900.0,1623.5893564224243,0.0352766,0.830430172343,0.935277,35.55869650840759,0.0,200
34.17156505584717,-0.0127484,2.69496,2018.0,709.278506653,-0.0252679,14.8049,0.390393,2900.0,1658.061329126358,0.0340011,0.86968411897,0.931215,34.45450687408447,0.0,200
34.53904056549072,-0.0222243,2.68858,2066.5,604.340756527,-0.0376897,14.7108,0.423812,2900.0,1692.867065668106,0.0310274,0.859912732653,0.928278,34.79716491699219,0.0,200
35.73992371559143,-0.0436704,2.67747,2263.5,472.141663063,-0.06331,14.5483,1.28201,2900.0,1728.9368379116058,0.0462793,0.91309912498,0.923096,36.04657220840454,200.0,200
