Perplexity,StdReturn,ItrTime,MinReturn,LossBefore,LossAfter,MaxReturn,AverageReturn,TotalExecTime,MaxKL,MeanKL,ExplainedVariance,AveragePolicyStd,Time,NumTrajs,Entropy
11.639,495.252460872,10.712113618850708,0.0,-0.00854518,-0.0117296,2600.0,1585.0,10.63528823852539,0.0938235,0.00742956,0.84659029438,0.827472,10.712108135223389,20,2.45436
11.54,455.274642386,10.435455322265625,1400.0,0.000649242,-0.00113328,2800.0,1935.0,10.330478191375732,0.0155152,0.00145816,0.854148263066,0.823879,21.15122652053833,20,2.44582
11.5437,465.053760333,10.510615348815918,900.0,-0.00561076,-0.00837204,2600.0,1935.0,10.449103593826294,0.0323115,0.00172962,0.832950827724,0.824198,31.66590690612793,20,2.44614
11.5114,475.289385533,10.107850074768066,900.0,0.00814115,0.00366023,2800.0,1810.0,10.062442779541016,0.107498,0.00757016,0.843512311048,0.822946,41.77977919578552,20,2.44334
11.5583,385.324538539,10.512002944946289,1100.0,-0.00863175,-0.0122502,2900.0,1895.0,10.467861890792847,0.0383213,0.00590965,0.858332857453,0.824615,52.29542016983032,20,2.44741
11.5085,422.226242671,10.591867208480835,1400.0,-0.00922233,-0.0137715,3000.0,2165.0,10.537442207336426,0.0584998,0.0122923,0.87163838571,0.823043,62.891706466674805,20,2.44309
11.4556,592.347026666,10.647415399551392,1100.0,0.00228142,-0.000684574,3600.0,1875.0,10.601677417755127,0.0430082,0.00458305,0.811520696574,0.821054,73.54332709312439,20,2.43848
