0MinReturn,0PolicyExecTime,1ExplainedVariance,1EnvExecTime,MeanKLBefore,Time,0Perplexity,1ProcessExecTime,1AveragePolicyStd,ComputeUpdatedDistTime,MeanKL,0MaxReturn,0NumTrajs,0EnvExecTime,1AverageReturn,1PolicyExecTime,1StdReturn,1MaxReturn,1NumTrajs,0ExplainedVariance,LossBefore,0StdReturn,1Perplexity,dLoss,1MinReturn,ItrTime,1Entropy,0Entropy,0AveragePolicyStd,0ProcessExecTime,LossAfter,0AverageReturn
0.0,9.300819635391235,0.028320826639,30.82472825050354,8.43283443075e-10,118.64528822898865,17.0795,1.0519273281097412,0.998883,4.804397821426392,0.00791883189231,2600.0,400,30.866869688034058,14.25,31.85299062728882,148.229340888,2400.0,400,0.0374940562383,1.28056856785e-10,231.227161034,17.0409,0.0024021744146,0.0,118.64529848098755,2.83562,2.83788,1.0,1.191533088684082,-0.00240217428654,28.0
0.0,9.059613227844238,0.106560591914,28.39235019683838,1.43190836965e-09,225.65715742111206,17.0688,0.9743306636810303,1.00045,0.32989048957824707,0.00446508964524,8800.0,400,31.659878730773926,163.75,29.91520357131958,831.781784785,10500.0,400,0.102187417195,5.46424461234e-10,696.490802165,17.0942,0.00214603248678,0.0,106.15901732444763,2.83874,2.83726,0.999691,1.12601900100708,-0.00214603194036,150.75
0.0,8.785096883773804,0.128687199251,30.92736554145813,1.97905980492e-09,335.6546220779419,17.0045,1.113051414489746,0.998716,0.3150959014892578,0.00991829112172,4100.0,400,30.58755612373352,184.25,32.40656924247742,524.144004545,5700.0,400,0.142783191335,-1.7462298274e-10,510.352757904,17.0329,0.00445477786707,0.0,109.99230670928955,2.83515,2.83348,0.997847,1.068413496017456,-0.00445477804169,182.25
0.0,8.504433631896973,0.131237241265,31.46011757850647,1.27802239902e-08,445.8351800441742,17.2688,1.0215656757354736,1.00366,0.3223762512207031,0.00917948409915,5300.0,400,29.565394639968872,340.25,32.88786458969116,520.004747574,4100.0,400,0.114406423632,-3.87808535285e-10,613.876005395,17.2023,0.00342491695992,0.0,109.53338813781738,2.84504,2.8489,1.00557,1.036952018737793,-0.00342491734773,347.5
0.0,8.828005075454712,0.153133815037,31.3436598777771,8.3935480788e-09,557.4479525089264,17.2296,0.9972586631774902,1.00449,0.31442904472351074,0.00655483221635,5800.0,400,31.296791553497314,497.0,32.865750312805176,683.989035,5300.0,400,0.131293799251,-1.05137587525e-09,648.435810239,17.2308,0.00225478701395,0.0,111.60788345336914,2.8467,2.84663,1.00443,1.0901954174041748,-0.00225478806533,441.0
0.0,8.847273826599121,0.16599185728,31.081862211227417,-2.28174612538e-09,670.0383040904999,17.182,1.013230800628662,1.0013,0.29764819145202637,0.00761593226343,4000.0,400,31.477426767349243,727.75,33.14472985267639,696.638311823,3400.0,400,0.139301323622,6.40284492093e-11,633.525798606,17.1152,0.00354545430164,0.0,111.84866690635681,2.83997,2.84386,1.00323,1.0990042686462402,-0.00354545423761,572.25
0.0,7.746134042739868,0.1237987314,32.25736474990845,8.38192515396e-10,782.9382491111755,17.3009,1.1081349849700928,1.00802,0.7653474807739258,0.0068404818885,6800.0,400,30.819501399993896,844.0,34.41585826873779,843.21646094,5000.0,400,0.101187588025,1.25146448759e-10,914.385039248,17.3473,0.00316930667905,0.0,112.89504599571228,2.85344,2.85076,1.00657,1.0619909763336182,-0.0031693065539,810.0
0.0,7.90787410736084,0.122776019282,31.951321363449097,2.93366220205e-09,896.45964884758,17.1891,1.0444715023040771,1.00265,0.30837154388427734,0.00658447295427,7000.0,400,31.305127143859863,1319.75,34.35076904296875,1342.08231398,8300.0,400,0.084272002467,2.56113685815e-10,997.742326455,17.1655,0.00346961503383,0.0,112.83944272994995,2.8429,2.84427,1.00331,1.1172494888305664,-0.00346961477771,889.5
0.0,7.834092140197754,0.139572647657,32.394654750823975,8.61472893021e-10,1009.7189626693726,16.9408,1.0408706665039062,0.995754,0.3245699405670166,0.00687657576054,8300.0,400,31.237370491027832,1716.5,34.40472197532654,1770.62919608,10800.0,400,0.0891452555024,-4.81668427366e-10,1390.59948853,16.9302,0.00395240679645,0.0,113.25225281715393,2.8291,2.82972,0.996044,1.1455771923065186,-0.00395240727812,1231.75
0.0,7.464348316192627,0.183055319177,29.81755018234253,-1.09430386974e-09,1115.9398143291473,16.7448,1.016113042831421,0.987881,0.309192419052124,0.0097892023623,8300.0,400,29.641366720199585,2128.25,31.693328619003296,2109.57980117,10300.0,400,0.0751366336243,-4.39467850999e-10,1426.64212401,16.6585,0.00439066535619,0.0,105.5492217540741,2.81292,2.81808,0.990427,0.9904904365539551,-0.00439066579565,1218.5
