AveragePolicyStd,LossBefore,ItrTime,MaxKL,MeanKL,Time,NumTrajs,TotalExecTime,Entropy,LossAfter,ExplainedVariance,AverageReturn,MaxReturn,Perplexity,MinReturn,StdReturn
0.917354,0.0214341,11.451705694198608,3.21125,0.298778,11.451699495315552,20,11.327744483947754,2.64941,-0.0440197,0.0839197824416,15.0,300.0,14.1457,0.0,65.3834841531
0.927532,0.0130962,11.475351572036743,0.511157,0.138082,22.931354999542236,20,11.364751815795898,2.67085,-0.0311478,0.235212094817,1245.0,3200.0,14.4522,300.0,921.127027071
0.930764,-0.0149448,11.250694751739502,2.20286,0.400893,34.18497085571289,20,11.213669061660767,2.6774,-0.119201,0.730956896709,16060.0,21000.0,14.5472,10400.0,2564.83917624
0.927361,-0.0204274,11.656199932098389,0.455251,0.0329123,45.84949350357056,20,11.564121723175049,2.66992,-0.03625,0.957228310458,21265.0,23500.0,14.4389,18400.0,1285.40849538
0.923503,0.00252966,11.078898429870605,0.675071,0.149967,56.94502854347229,20,11.036240100860596,2.65971,-0.0305556,0.948173264214,21460.0,23300.0,14.2921,18500.0,1326.80066325
0.924041,-0.00625985,11.669297456741333,0.316767,0.0827864,68.6192512512207,20,11.536784410476685,2.66097,-0.0303525,0.962156277719,20360.0,23000.0,14.3102,18700.0,1138.15640401
0.922895,-0.00846125,11.46011757850647,0.0124595,0.00175576,80.08628630638123,20,11.325761318206787,2.65784,-0.0101805,0.988913936246,22485.0,23400.0,14.2655,21100.0,558.81571202
