5MinReturn,LossBefore,LossAfter,5NumTrajs,6NumTrajs,1PolicyExecTime,4Perplexity,3StdReturn,ItrTime,3ProcessExecTime,1ProcessExecTime,3AverageReturn,7MinReturn,6Entropy,MeanKL,2AveragePolicyStd,7StdReturn,0EnvExecTime,ComputeUpdatedDistTime,0Perplexity,0ProcessExecTime,0StdReturn,4MinReturn,1AveragePolicyStd,0MinReturn,3ExplainedVariance,2Perplexity,6ExplainedVariance,3MaxReturn,3AveragePolicyStd,5ProcessExecTime,7EnvExecTime,6MaxReturn,1ExplainedVariance,4ProcessExecTime,2ProcessExecTime,1EnvExecTime,2ExplainedVariance,7NumTrajs,4ExplainedVariance,dLoss,4AverageReturn,7MaxReturn,7PolicyExecTime,5ExplainedVariance,4MaxReturn,5Perplexity,3PolicyExecTime,6ProcessExecTime,1MinReturn,7ProcessExecTime,7Entropy,5MaxReturn,5EnvExecTime,Time,0AverageReturn,5AveragePolicyStd,4PolicyExecTime,4StdReturn,6StdReturn,1AverageReturn,1Perplexity,0ExplainedVariance,1StdReturn,1NumTrajs,2Entropy,3EnvExecTime,6PolicyExecTime,2NumTrajs,2MaxReturn,0Entropy,3Entropy,2PolicyExecTime,2EnvExecTime,7ExplainedVariance,1MaxReturn,3NumTrajs,5AverageReturn,5StdReturn,MeanKLBefore,0PolicyExecTime,6AverageReturn,0AveragePolicyStd,3MinReturn,0MaxReturn,4AveragePolicyStd,7AverageReturn,5Entropy,4Entropy,7AveragePolicyStd,6Perplexity,5PolicyExecTime,2MinReturn,7Perplexity,2AverageReturn,6AveragePolicyStd,6EnvExecTime,4NumTrajs,2StdReturn,4EnvExecTime,0NumTrajs,1Entropy,6MinReturn,3Perplexity
-131.087707258,-0.0645081102848,-0.0645081102848,814,818,27.437520503997803,16.7698,22.1743948497,394.0358626842499,0.7334389686584473,0.6952569484710693,-58.0476136691,-171.466148675,2.82501,0.316741526127,0.995716,22.0904786289,3.303891181945801,0.6665830612182617,17.0795,0.6629397869110107,30.1498567775,-218.071880286,1.00012,-180.532641143,0.51996637344,16.9282,0.54149347879,-4.00374387394,0.989834,0.7268228530883789,3.227294921875,-0.126863159133,0.539300564001,0.6775262355804443,0.7067568302154541,3.365323781967163,0.510619865625,819,0.574882463694,0.0,-87.349505989,-0.00664271843516,27.483001947402954,0.538224578433,-0.00629893180671,16.3083,29.209438800811768,0.7387139797210693,-152.749680927,0.724301815032959,2.81252,-0.105283931369,3.2650208473205566,394.03585982322693,-72.1770498469,0.977465,26.899429082870483,35.6024515589,21.1048246449,-61.7241506906,17.0798,0.502860319926,23.2855122978,812,2.82898,3.302346706390381,27.893061876296997,813,-0.0905761528473,2.83788,2.81704,26.841481924057007,3.363387107849121,0.523327963483,-0.00893275588891,806,-54.3775858985,20.1251638251,0.316741526127,4.427913427352905,-53.9002469165,1.0,-146.749864484,-0.551226600145,0.991075,-54.7766846245,2.79167,2.81958,0.987958,16.8611,28.06354570388794,-207.61257268,16.6519,-77.9377088763,0.99437,3.4506101608276367,805,36.1721337188,3.3182501792907715,807,2.8379,-131.544725864,16.7272
-177.440313914,-0.0241430141032,-0.0241432972252,819,818,24.816386461257935,16.5576,26.2455006589,239.62142992019653,0.6262392997741699,0.6491496562957764,-60.9680222006,-168.431013216,2.72921,0.209088757634,1.00396,23.7172014369,3.279144048690796,0.6529185771942139,17.0795,0.6804907321929932,31.2515279798,-145.088355204,0.997555,-214.054751508,0.492589839198,17.2116,0.496218116424,-0.0071009065788,1.00213,0.615436315536499,3.259941816329956,-0.00464620014648,0.519760200738,0.6088507175445557,0.63336181640625,3.246920108795166,0.488226384661,818,0.519449152432,2.83122062683e-07,-57.7680257887,-0.00557832951303,24.433258533477783,0.495725239068,-0.383047812053,15.8627,25.426557779312134,0.6107096672058105,-163.470729177,0.5975072383880615,2.67511,-0.0113324939355,3.159451723098755,635.1845607757568,-72.287370092,0.964057,24.401970863342285,21.9780490646,29.132547686,-60.7049979132,16.9918,0.501325690171,24.6066078361,815,2.84558,3.178499460220337,23.875195741653442,814,-0.00683257855483,2.83788,2.8417,25.495511770248413,3.2941062450408936,0.509193839022,-1.41848678994,816,-58.6334221422,26.1335901804,0.209088727832,2.5227675437927246,-63.5587790894,1.0,-147.579449719,-1.57662120975,0.985247,-54.8088402413,2.76397,2.80684,0.922486,15.3208,25.11777424812317,-154.800889661,14.5139,-64.3003471124,0.947466,3.2017862796783447,811,27.5957782967,3.2216150760650635,805,2.83273,-178.583175644,17.1449
-142.436781966,-0.0998184382915,-0.0998182892799,813,807,25.537541389465332,16.8157,23.7342956597,242.08469343185425,0.6049857139587402,0.6275544166564941,-61.7520210012,-162.99157636,2.79086,0.717130422592,0.994508,22.5594089593,3.20586895942688,0.7224431037902832,17.0795,0.6514897346496582,30.3884993398,-162.852060202,0.995373,-202.190423414,0.529152013086,16.8877,0.518583030922,-0.652802546097,0.994585,0.6082773208618164,3.166721820831299,-1.43320986103,0.499912657007,0.61965012550354,0.6134824752807617,3.1841320991516113,0.510091397311,810,0.500923809004,-1.49011611938e-07,-61.4124656553,-1.66781442392,28.760730504989624,0.553435902498,-0.504593489157,16.6307,24.87884545326233,0.5739157199859619,-168.167989881,0.612694501876831,2.78167,-1.11708619511,3.257246971130371,878.8788688182831,-72.8682105063,0.986966,24.17718005180359,24.7282091802,23.5688894199,-59.8829656028,16.9179,0.505147841065,25.1098396637,819,2.82659,3.138256549835205,24.117668867111206,808,-0.80118808149,2.83788,2.82674,24.11917233467102,3.1822872161865234,0.576346442288,-1.05810519871,811,-62.9509998516,22.9686052815,0.717113137245,2.48159122467041,-59.1581623068,1.0,-183.519703386,-4.40975182442,0.992346,-64.8517843871,2.81125,2.82231,0.972471,16.295,25.06331777572632,-171.29927937,16.146,-71.6900701641,0.976963,3.2196478843688965,815,29.3913414909,3.223383665084839,803,2.82837,-170.680737436,16.8903
-163.270290354,-0.0517941527069,-0.0517941713333,822,816,26.075637817382812,15.9395,24.8364604714,240.03534579277039,0.6251077651977539,0.6157071590423584,-60.3126661535,-149.169785835,2.72494,0.301417559385,0.997387,23.3481876882,3.2491400241851807,0.721132755279541,17.0795,0.6729726791381836,31.3996338843,-189.236616047,0.997216,-190.044194083,0.521156477525,16.9862,0.55016830354,-0.281191200347,0.963689,0.5889496803283691,3.1072330474853516,-0.935858069566,0.517798561652,0.6075596809387207,0.6054937839508057,3.1508495807647705,0.499523843255,815,0.543023279248,1.86264514923e-08,-71.837612206,-1.01901020353,25.16732358932495,0.509138560471,-0.766545605471,15.5915,24.520566940307617,0.6084334850311279,-177.621418078,0.5437595844268799,2.70578,-0.241850779494,3.201249599456787,1120.5423409938812,-71.6935403959,0.956091,25.013238191604614,29.5734638567,24.0324670705,-60.0581590327,16.981,0.49409315486,24.44482973,814,2.8324,3.2214009761810303,24.98915147781372,810,-0.928176077277,2.83788,2.76348,24.064149618148804,3.171598434448242,0.54988731585,-0.894702183302,815,-53.8022736636,22.4630561753,0.301416367292,2.4800643920898438,-61.1483323711,1.0,-170.507625597,-0.30695643123,0.96638,-61.7131969559,2.74673,2.7688,0.936602,15.2556,24.39361023902893,-180.60976362,14.9661,-71.0453777626,0.945738,3.301661252975464,813,30.7070921694,3.2073707580566406,812,2.83209,-142.258284996,15.855
-176.719637463,-0.0379784628749,-0.037978310138,815,818,24.398633241653442,16.5312,24.069960907,240.8592495918274,0.5819392204284668,0.595879077911377,-58.2292002988,-136.718754969,2.78255,0.181802913547,0.983502,19.9496109827,3.269509792327881,0.7143619060516357,17.0795,0.6742825508117676,31.3252775045,-186.755916927,0.99543,-192.71579007,0.501275578081,16.5167,0.512534839273,-0.127423910326,0.975867,0.5840442180633545,3.247786521911621,-0.102740693657,0.505991761653,0.6058118343353271,0.6296262741088867,3.215008497238159,0.473019981795,814,0.495816833501,-1.52736902237e-07,-60.7946104824,-0.133798775615,25.485151052474976,0.533724196182,-0.107816471347,16.1211,25.346304655075073,0.5724453926086426,-167.94208402,0.554781436920166,2.7517,-0.283570068248,3.2382493019104004,1362.9669375419617,-70.9299009969,0.972167,25.853161334991455,25.9650016378,23.5963789251,-61.4973071802,16.9184,0.501025518524,25.3926613673,817,2.80437,3.2039554119110107,24.735588312149048,814,-0.620995205665,2.83788,2.78871,25.38993215560913,3.2515695095062256,0.531081660045,-0.241785917424,814,-62.7190160825,26.7778782931,0.181802943349,2.4861927032470703,-58.0714998702,1.0,-154.900151929,-0.0071148293129,0.984081,-51.9101717595,2.78013,2.80525,0.960127,16.1602,24.087505102157593,-179.401153239,15.6692,-66.5795954832,0.973976,3.226918935775757,816,29.9724639955,3.1946749687194824,812,2.8284,-163.87297567,16.2601
-195.930655718,-0.0471013225615,-0.0471014268696,816,811,24.351263284683228,16.242,23.9404454758,241.09446668624878,0.6172599792480469,0.6061146259307861,-58.9177962519,-144.103578392,2.8169,0.413177758455,0.994471,22.8235298515,3.231515884399414,0.6565070152282715,17.0795,0.6674447059631348,32.0558354928,-169.524682282,0.993719,-194.406417868,0.514624332365,16.8847,0.516355283148,-0.00891977153692,0.993572,0.5769302845001221,3.168489694595337,-0.119449698122,0.530006750734,0.6070091724395752,0.6217777729034424,3.1465823650360107,0.520876326363,814,0.529016188155,1.04308128357e-07,-61.7746242163,-0.00467452595746,25.200249195098877,0.514292537211,-0.010491490996,16.8324,24.896682500839233,0.571692705154419,-164.739831488,0.5452427864074707,2.81509,-0.00591038039641,3.20096755027771,1605.5797710418701,-71.7573836463,0.992964,25.74913263320923,24.3639365736,27.9952836938,-59.7944344506,16.8616,0.49010403474,23.3509502166,813,2.82641,3.2214481830596924,25.09945034980774,814,-0.00847847417732,2.83788,2.82443,25.788161039352417,3.167217969894409,0.534255274204,-1.58922414939,817,-64.88569888,28.4029433923,0.413178682327,2.4655542373657227,-64.0724626962,1.0,-150.312222539,-0.763575933942,0.975544,-57.4093462356,2.82331,2.7876,0.988846,16.7249,24.80033254623413,-211.737985081,16.6947,-82.7220087726,0.989851,3.2105538845062256,813,36.8219828055,3.2669808864593506,811,2.82504,-188.149212663,16.8514
-190.062169814,-0.0931710749865,-0.0931711047888,812,815,24.791983366012573,17.6425,24.6951203688,246.49379706382751,0.6067485809326172,0.5977129936218262,-59.7743975342,-149.486624103,2.88596,0.543457090855,1.01112,23.9997734695,3.2133939266204834,0.7177844047546387,17.0795,0.6825606822967529,29.893760276,-191.735048399,0.996896,-193.497309481,0.519965219198,17.4556,0.522373277305,-0.105980433491,1.01773,0.5604081153869629,3.1711935997009277,-0.12177651102,0.520886579439,0.6056461334228516,0.6045033931732178,3.2295174598693848,0.51772100709,808,0.490381601257,2.98023223877e-08,-60.3973741508,-0.287542483975,24.60858392715454,0.578242852922,-0.283693810742,17.6588,24.565557718276978,0.549943208694458,-151.384827787,0.5322554111480713,2.8745,-0.250595803647,3.2069790363311768,1853.501302242279,-68.9526834704,1.01708,25.30440878868103,26.8591284505,25.1338202044,-59.3452867393,16.9694,0.489594349958,23.7240125254,814,2.85966,3.202449083328247,25.439120531082153,811,-0.183833265398,2.83788,2.87275,25.49409532546997,3.189540386199951,0.592264510909,-0.3851029326,823,-74.1847302833,29.3923901885,0.54345703125,4.7232794761657715,-58.3650537613,1.0,-153.940737175,-0.157129202442,1.01666,-67.4467901859,2.87124,2.87031,1.01866,17.9208,25.089120149612427,-174.540890679,17.7165,-69.2702327639,1.02475,3.149000883102417,814,28.4029342964,3.2333831787109375,812,2.83141,-166.532741792,17.6857
-147.127643617,-0.0362731479108,-0.0362731479108,818,820,24.664696216583252,17.3506,26.8122685627,244.86720752716064,0.593411922454834,0.5897350311279297,-58.0659877436,-157.00363377,2.86164,0.217703312635,0.998453,23.4076745798,3.2546863555908203,0.6381745338439941,17.0795,0.6648094654083252,30.1470449908,-164.967530783,0.99611,-196.430466128,0.481260697385,17.0223,0.529835482445,-0.006025354942,1.00308,0.5626235008239746,3.199841260910034,-0.0860557214636,0.514017317301,0.5921568870544434,0.6187217235565186,3.198190450668335,0.490356759136,822,0.52223013546,0.0,-65.0773797059,-0.300191830131,25.215813398361206,0.52617482221,-0.102525056269,17.6425,25.00216269493103,0.6107680797576904,-167.87482669,0.5891096591949463,2.80906,-0.0341273379825,3.1948041915893555,2099.842367172241,-69.948416557,1.01665,24.828022241592407,27.9881274865,23.5448711978,-60.5429576316,16.9419,0.503593181526,24.4371820104,816,2.83453,3.1865930557250977,26.102598428726196,821,-0.0085624979568,2.83788,2.84378,24.81984257698059,3.198587417602539,0.50818084608,-0.00686024745136,825,-54.4474134921,22.1036213498,0.217703208327,2.498469829559326,-57.8643988413,1.0,-201.35605157,-0.341320772007,1.00805,-52.6443932026,2.87031,2.85362,0.986149,17.4902,25.266802072525024,-200.693414737,16.5943,-70.1948905556,1.01244,3.1469178199768066,823,33.1123846538,3.201389789581299,807,2.82979,-143.980577416,17.1805
-177.748066148,-0.0193946994841,-0.0193941146135,816,811,25.926355838775635,15.7003,25.7382997521,243.07524299621582,0.5726451873779297,0.5746746063232422,-58.2192363514,-201.017014767,2.69712,0.0903520435095,0.983363,26.6776404129,3.1993274688720703,0.6695971488952637,17.0795,0.6400694847106934,29.8202820013,-168.379281569,0.999481,-175.687524733,0.510120516126,16.5113,0.51851376714,-0.0102167678069,0.967751,0.5836920738220215,3.1336898803710938,-0.548116559089,0.520936305196,0.56888747215271,0.5972814559936523,3.199632167816162,0.494630356908,815,0.516248995897,-5.84870576859e-07,-63.8689148274,-0.134987238205,25.47178053855896,0.502981999653,-0.0102167678069,15.2355,25.865442514419556,0.5533061027526855,-151.156324418,0.5471987724304199,2.68832,-0.180113955753,3.1739137172698975,2344.5374488830566,-71.4946962464,0.945097,25.74115562438965,26.6407297383,25.1637573257,-61.8233415113,17.0566,0.514469834856,24.4963357383,810,2.80404,3.179246425628662,25.059947729110718,813,-0.0097694378117,2.83788,2.77177,24.84285855293274,3.2058517932891846,0.50254745997,-0.0102167678069,817,-62.2195467421,26.5970095119,0.0903521105647,2.4612061977386475,-61.5617156981,1.0,-176.103780456,-0.00792332450925,0.959319,-57.9849611432,2.72363,2.75368,0.928729,14.8369,25.378715753555298,-206.57359522,14.7069,-67.1831294781,0.932746,3.1434993743896484,814,30.4089085911,3.1272199153900146,813,2.83654,-153.425251623,15.9869
-150.426669746,-0.081756092608,-0.0817560628057,810,816,26.311909437179565,17.096,22.8272890132,249.1666181087494,0.5546469688415527,0.583540678024292,-59.7360528151,-142.937925061,2.78396,0.44633063674,1.00256,23.5800534177,3.237740993499756,0.6612465381622314,17.0795,0.6698293685913086,32.0665998833,-219.180095656,0.997431,-195.660583785,0.528667195056,17.1616,0.506831948252,-1.20457687976,1.00256,0.548032283782959,3.1239607334136963,-0.121500929449,0.514270909226,0.566694974899292,0.5896131992340088,3.1151552200317383,0.492701533667,814,0.502442466488,-2.98023223877e-08,-71.2685020931,-1.70917684806,25.98630928993225,0.546150018311,-1.46922061905,17.5756,25.50138211250305,0.5463013648986816,-169.784309912,0.5144789218902588,2.78885,-0.663362421232,3.222520351409912,2595.21937251091,-72.8421417771,1.01469,25.862410306930542,32.2107308891,22.7794752337,-61.7299362989,16.9873,0.493246444333,24.8738349944,812,2.84267,3.183241844177246,25.342146396636963,809,-1.78514696157,2.83788,2.84255,26.206039667129517,3.1143274307250977,0.564108617531,-0.736542142995,809,-64.8716900557,24.2399975688,0.446330606937,2.4591121673583984,-56.712605433,1.0,-148.423244957,-0.111232219564,1.00069,-67.0643848151,2.86651,2.83884,0.975929,16.183,25.89775538444519,-174.874470472,16.2623,-69.6847469042,0.97354,3.1766462326049805,809,29.4783890079,3.157836437225342,814,2.83246,-143.358283492,17.1594
