MeanKL,NumTrajs,AverageReturn,ItrTime,Time,AveragePolicyStd,TotalExecTime,Perplexity,LossAfter,LossBefore,MinReturn,Entropy,StdReturn,ExplainedVariance,MaxReturn,MaxKL
0.956953,40,720.0,7.364487171173096,7.364485502243042,0.982009,7.253229379653931,16.3558,-0.102261,0.0299576,0.0,2.79458,407.553677446,0.243892977038,2000.0,45.7334
0.0408328,40,2522.5,7.64371919631958,15.012350082397461,0.99595,7.540284633636475,16.8532,-0.0368012,-0.0139406,300.0,2.82454,930.722165848,0.544739286856,4300.0,1.56354
0.0930794,40,2422.5,7.071411848068237,22.088081121444702,0.992706,6.989879131317139,16.7361,-0.0459025,-0.0153693,400.0,2.81757,1231.15545322,0.506998623112,4900.0,7.71458
0.141233,40,2665.0,7.761455535888672,29.856842041015625,0.989608,7.693553447723389,16.608,-0.0848617,-0.0437303,100.0,2.80989,1070.64233057,0.517834241793,4900.0,7.13066
0.157756,40,2727.5,7.1364076137542725,37.01585054397583,0.978299,7.099169731140137,16.2488,-0.0579677,-0.0194379,300.0,2.78802,1377.67693963,0.511815224671,5500.0,70.1525
0.0836032,40,3315.0,7.08277153968811,44.105504274368286,0.973175,7.029062509536743,16.0917,-0.0695568,-0.0354127,300.0,2.7783,1635.77963063,0.615054184576,5700.0,3.19568
0.125711,40,3297.5,7.053098678588867,51.17100477218628,0.964465,7.000949144363403,15.8093,-0.0560878,-0.0249088,600.0,2.7606,1218.70576843,0.649489742435,6100.0,20.2638
