Entropy,Perplexity,LossAfter,StdReturn,MeanKL,LossBefore,TotalExecTime,AveragePolicyStd,NumTrajs,AverageReturn,Time,ExplainedVariance,ItrTime,MaxReturn,MaxKL,MinReturn
2.76679,15.9075,-0.0131242,1080.8051397,0.0108049,-0.00519165,14.05486512184143,0.965264,200,785.5,363.9440622329712,0.763780711695,14.132116079330444,2800.0,0.382847,0.0
2.76419,15.8662,0.00751158,1012.0,0.00351995,0.0101578,13.977487087249756,0.963996,200,684.0,378.0391595363617,0.738251361508,14.083188533782959,2900.0,0.0982789,0.0
2.76927,15.947,-0.0227551,1000.90446597,0.0005731,-0.0212259,14.148842334747314,0.966417,200,615.5,392.24232482910156,0.747124297761,14.200432300567627,2900.0,0.00626707,0.0
2.75866,15.7787,0.0104315,1077.31146842,0.00629673,0.0159652,14.440734148025513,0.961236,200,890.0,406.7511796951294,0.747749055132,14.500633001327515,2800.0,0.0446263,0.0
2.76664,15.9051,-0.00614402,1077.32991697,0.0039801,-0.00182753,14.104724168777466,0.965108,200,810.5,420.9120087623596,0.739425389482,14.15637993812561,3000.0,0.079129,0.0
2.76573,15.8906,-0.0102635,1101.55526416,0.0195595,0.00527664,14.672155141830444,0.96469,200,924.0,435.65016746520996,0.763853272596,14.728398561477661,2800.0,0.490771,0.0
2.76837,15.9326,-0.0270603,1068.37715719,0.0222601,-0.0118153,14.149511098861694,0.96607,200,904.5,449.85899782180786,0.768923111758,14.201627492904663,2800.0,0.422452,0.0
2.76246,15.8387,-0.020458,1085.31838647,0.00235936,-0.0180482,14.444849491119385,0.963221,200,878.0,464.3817708492279,0.737383423715,14.51576018333435,2900.0,0.0382865,0.0
2.75343,15.6964,-0.0217266,1108.4218511,0.0220182,-0.0168034,13.86000370979309,0.958858,200,851.0,478.33872652053833,0.738440776838,13.951560020446777,2900.0,1.57519,0.0
2.74503,15.5651,0.00478319,1104.70708787,0.0029357,0.00718548,14.3803391456604,0.954913,200,1008.5,492.79577684402466,0.746441885532,14.450653076171875,2900.0,0.101526,0.0
2.74863,15.6212,-0.0186791,1100.31529572,0.00900641,-0.0119081,14.074780464172363,0.95662,200,1167.5,506.9330847263336,0.760698224031,14.131433725357056,2900.0,0.180559,0.0
2.74267,15.5284,-0.00369325,1141.66545012,0.0134881,0.00276155,13.988951444625854,0.953721,200,1100.0,520.9896538257599,0.758879622551,14.041361570358276,2900.0,0.163351,0.0
2.74405,15.5499,-0.0212803,1102.6530506,0.0336384,-0.00550867,13.766991138458252,0.95438,200,1262.5,534.8349509239197,0.779737063291,13.8401939868927,2900.0,0.229111,0.0
2.7413,15.5071,-0.0214685,1058.95184026,0.0188723,-0.0105412,13.558645963668823,0.953056,200,1411.0,548.5090596675873,0.752751677917,13.655860662460327,2900.0,0.270159,0.0
2.73603,15.4256,-0.218947,1044.24661838,0.255522,-0.0192799,13.273133993148804,0.950596,200,1443.0,561.9104115962982,0.746246676852,13.39847993850708,3000.0,27.4748,0.0
2.72639,15.2776,-0.0221549,976.764941017,0.0240752,-0.0129079,17.392820596694946,0.94594,200,1619.5,579.4234211444855,0.765756925993,17.51049780845642,2900.0,0.541761,0.0
2.71993,15.1793,-0.0423823,812.05849543,0.0154613,-0.0339572,16.82837748527527,0.942952,200,1819.0,596.3618507385254,0.832838519608,16.93477988243103,2900.0,0.249857,0.0
2.70296,14.9238,-0.0307534,807.263897372,0.0347681,-0.0172332,16.910497665405273,0.935034,200,1975.0,613.394469499588,0.83094449875,17.02858304977417,2900.0,1.08782,0.0
2.69434,14.7957,-0.0249853,709.278506653,0.0334448,-0.012625,17.07460117340088,0.930921,200,2018.0,630.5621380805969,0.869691642387,17.16236186027527,2900.0,0.383418,0.0
2.68803,14.7026,-0.0374292,606.761691276,0.029968,-0.0223847,17.270110845565796,0.928015,200,2065.5,647.9119985103607,0.859396025814,17.344921350479126,2900.0,0.409298,0.0
2.67683,14.539,-0.0632414,471.546392203,0.0487416,-0.0428496,16.711880207061768,0.9228,200,2262.0,664.7505342960358,0.91358993214,16.820600271224976,2900.0,1.35084,200.0
