MeanKLBefore,1EnvExecTime,1AveragePolicyStd,ComputeUpdatedDistTime,1ExplainedVariance,0Entropy,dLoss,0MaxReturn,0Perplexity,MeanKL,0EnvExecTime,LossBefore,1ProcessExecTime,LossAfter,1AverageReturn,0AveragePolicyStd,0MinReturn,1NumTrajs,0PolicyExecTime,1Perplexity,0NumTrajs,0ExplainedVariance,1PolicyExecTime,0StdReturn,0AverageReturn,1MaxReturn,1MinReturn,0ProcessExecTime,1StdReturn,Time,ItrTime,1Entropy
-1.16415277418e-09,14.230318546295166,0.998468,0.6646180152893066,0.0477014896621,2.83788,0.0067014535889,500.0,17.0795,0.0075272731483,13.846593618392944,-1.86264514923e-09,0.5939340591430664,-0.00670145545155,5.5,1.0,0.0,800,14.323042631149292,17.027,800,0.0606821272206,23.38952326774597,35.0604388877,2.875,1200.0,0.0,0.598520040512085,64.7668896891,70.75276803970337,70.75276827812195,2.8348
6.98492208517e-10,13.747998714447021,1.00328,0.08307313919067383,0.0803426174939,2.84659,0.00543548859423,1500.0,17.2289,0.0072981081903,13.49491548538208,4.07453626394e-10,0.5811161994934082,-0.00543548818678,17.75,1.00437,0.0,800,13.67942476272583,17.1913,800,0.0409747627679,22.605592012405396,71.8814127574,5.75,1900.0,0.0,0.5765712261199951,125.836948072,139.0561559200287,67.2310438156128,2.8444
-1.16415231621e-10,14.344929933547974,1.00661,0.0713357925415039,0.243811740124,2.84655,0.00869667576626,1700.0,17.2282,0.00873786490411,13.607902526855469,-1.39698386192e-09,0.6041970252990723,-0.00869667716324,84.5,1.00435,0.0,800,13.81890082359314,17.3056,800,0.0613864999966,23.4375638961792,152.19046455,24.25,2300.0,0.0,0.5923788547515869,326.243390738,209.32788920402527,68.86235237121582,2.85103
-1.04773734133e-09,14.171030759811401,1.00039,0.07383513450622559,0.268535183515,2.83627,0.00653488031821,1900.0,17.052,0.0070405700244,14.208162069320679,-2.50292941928e-09,0.6035912036895752,-0.00653488282114,184.0,0.999215,0.0,800,14.366619348526001,17.092,800,0.0722234599174,23.201878786087036,206.666397849,42.0,2400.0,0.0,0.6136829853057861,476.753605125,280.3114495277405,69.69327855110168,2.83861
4.07453598639e-10,13.810861825942993,0.987292,0.06928157806396484,0.369611584645,2.81873,0.00636445195414,2600.0,16.7556,0.00767969759181,13.517582416534424,1.16415321827e-09,0.5826900005340576,-0.00636445078999,318.625,0.990546,0.0,800,13.653094291687012,16.6438,800,0.104847535928,22.623677492141724,292.921037782,76.875,2700.0,0.0,0.5955610275268555,686.37861955,348.8783185482025,67.23742914199829,2.81204
1.03027693044e-08,14.09569764137268,0.984566,0.10221242904663086,0.368392425668,2.80943,0.0051193945983,2100.0,16.6005,0.00746558094397,13.567745447158813,5.52972778678e-10,0.6001813411712646,-0.00511939404532,366.75,0.986134,0.0,800,13.76936388015747,16.5427,800,0.0629349642538,23.11217713356018,250.609132914,59.75,2700.0,0.0,0.5968010425567627,695.679119638,418.48650193214417,68.215167760849,2.80594
-2.56113685815e-09,13.61386227607727,0.970922,0.07236504554748535,0.376013375688,2.7867,0.00488312222296,1900.0,16.2273,0.00695275515318,13.493258714675903,-4.07453626394e-10,0.5752732753753662,-0.00488312263042,389.875,0.974964,0.0,800,13.690333843231201,16.0932,800,0.0806404168174,22.2315571308136,293.571089133,81.875,2600.0,0.0,0.5854003429412842,720.649002202,486.35752749443054,66.54843831062317,2.7784
-3.49246298548e-10,13.624629259109497,0.972797,0.07365846633911133,0.400024668548,2.78527,0.00577265536413,1900.0,16.2042,0.00708720879629,13.321273565292358,-2.32830643654e-09,0.5797910690307617,-0.00577265769243,503.5,0.974352,0.0,800,13.54528522491455,16.1487,800,0.0874908380728,22.530477046966553,325.531872479,98.0,2900.0,0.0,0.5824217796325684,820.617298136,554.091010093689,66.65976643562317,2.78184
1.62981428353e-09,14.103097438812256,0.965048,0.0715799331665039,0.350228496553,2.77052,0.00534884887747,2100.0,15.9669,0.0069991867058,13.813058853149414,2.56113708019e-09,0.5986263751983643,-0.00534884631634,501.625,0.967348,0.0,800,14.06108832359314,15.8904,800,0.0601787420604,23.07414984703064,320.819263761,90.0,2800.0,0.0,0.6041152477264404,784.95850806,624.1938018798828,68.63094401359558,2.76571
0322
848.904358202,-0.00567790633067,-9.31322574615e-10,0.5979893207550049,0.939994,68.60190010070801,800,2.71767,2.71329,13.910586833953857,0.0949794757457,0.00836563017219,104.75,800,22.414585828781128,0.0,0.00567790539935,534.625,14.362788677215576,0.378497042161,1900.0,15.0789,0.5945367813110352,9.31321963993e-10,0.0,0.9421,14.188155174255371,15.145,2800.0,0.07439088821411133,342.348415361,708.3019406795502
847.406327788,-0.0061559304595,1.04773789644e-09,0.5761325359344482,0.921924,67.30254054069519,800,2.67533,2.674,13.399168729782104,0.0781698271281,0.00695912679657,112.625,800,22.236964225769043,0.0,0.00615593150724,596.125,13.9595046043396,0.407616820877,2300.0,14.4979,0.5891745090484619,-3.72529118664e-09,0.0,0.922578,14.079161405563354,14.5171,2700.0,0.07442140579223633,358.508171978,777.0183653831482
825.046930483,-0.00691007077694,-1.16415321827e-10,0.5775554180145264,0.908708,68.39418816566467,800,2.64581,2.64466,13.249089241027832,0.0639363029001,0.00641746027395,71.75,800,22.981117486953735,0.0,0.00691007066052,595.25,13.870668888092041,0.394237323566,1900.0,14.0787,0.6193430423736572,-1.11758744481e-08,0.0,0.909163,14.612446308135986,14.0948,2800.0,0.07490992546081543,274.7761589,846.5486845970154
