2Perplexity,2NumTrajs,1ProcessExecTime,2AverageReturn,0AveragePolicyStd,0StdReturn,0AverageReturn,2MaxReturn,1EnvExecTime,1AveragePolicyStd,ItrTime,2PolicyExecTime,2AveragePolicyStd,0Entropy,1NumTrajs,2StdReturn,2Entropy,2ExplainedVariance,1ExplainedVariance,0EnvExecTime,MeanKL,0ExplainedVariance,1MaxReturn,LossAfter,Time,0Perplexity,2MinReturn,2EnvExecTime,0NumTrajs,0ProcessExecTime,0PolicyExecTime,2ProcessExecTime,1Entropy,0MaxReturn,1MinReturn,1AverageReturn,1StdReturn,LossBefore,dLoss,1PolicyExecTime,MeanKLBefore,ComputeUpdatedDistTime,1Perplexity,0MinReturn
17.187,1600,0.871478796005249,3.0,1.0,30.9596511608,2.0,1000.0,17.8469557762146,0.999182,166.8252191543579,35.120670557022095,1.00315,2.83788,1600,49.7845357516,2.84415,0.0342520998011,0.0355322572166,18.308983325958252,0.000307052425342,0.02472127318,1100.0,-0.000172493804712,166.82521533966064,17.0795,0.0,17.798879861831665,1600,0.9105195999145508,23.497130393981934,0.8569502830505371,2.83623,700.0,0.0,3.375,48.2297561159,-0.000172492669662,1.13504938781e-09,41.45454430580139,0.000307053735014,0.43123555183410645,17.0514,0.0
17.267,1600,0.861337423324585,4.75,1.0,40.9305337584,2.4375,1100.0,17.912314414978027,1.00325,153.02680778503418,33.93853545188904,1.0055,2.83788,1600,59.1813948805,2.8488,0.049453653543,0.0510436347501,18.320082664489746,0.00824361015111,0.0270470128005,1200.0,-0.00281914835796,322.67819452285767,17.0795,0.0,18.033788442611694,1600,0.9302148818969727,22.44977355003357,0.870333194732666,2.84433,900.0,0.0,4.3125,56.900372088,-0.000651670095976,0.00216747826198,33.142982006073,0.000541278044693,0.11182713508605957,17.19,0.0
17.0785,1600,0.885115385055542,17.5625,1.00275,78.6093982931,6.75,1900.0,18.203608751296997,1.0032,173.1244797706604,33.1263473033905,0.999985,2.84334,1600,130.71078224,2.83782,0.0794869524463,0.070548895414,18.472110509872437,0.00625288160518,0.052575449582,1600.0,-0.00460026785731,498.7719738483429,17.173,0.0,17.94166851043701,1600,0.9576010704040527,41.21208620071411,0.8743619918823242,2.84424,1700.0,0.0,11.0,104.482055876,-0.000620415550657,0.00397985230666,34.558284521102905,0.0013430431718,0.11745738983154297,17.1885,0.0
17.1654,1600,0.8710052967071533,58.6875,1.00484,124.018080839,17.875,1800.0,18.055237293243408,1.00431,155.74284553527832,32.95143413543701,1.00255,2.84745,1600,226.659496478,2.8429,0.132219387446,0.0882557542054,18.216211080551147,0.00412564445287,0.0613337344307,1700.0,-0.00143696682062,657.3068399429321,17.2437,0.0,17.994125604629517,1600,0.9305551052093506,24.55185079574585,0.8831610679626465,2.8464,1500.0,0.0,24.625,140.021817496,-0.00143696565647,1.16415321827e-09,33.80159139633179,0.00412565423176,0.11592721939086914,17.2256,0.0
17.116,1600,0.8752791881561279,61.3125,1.00484,110.597083342,16.1875,1600.0,18.193452835083008,1.00356,158.63965249061584,33.73061013221741,1.00113,2.84745,1600,227.287323324,2.84002,0.132943140916,0.111526914087,18.63685965538025,0.00746837398037,0.064171587029,1900.0,-0.00639456277713,818.6352462768555,17.2437,0.0,18.26030993461609,1600,0.9711916446685791,25.712202548980713,0.8822295665740967,2.84486,1800.0,0.0,31.1875,167.991338597,-0.00122128275689,0.00517328002024,34.37683129310608,0.00374238099903,0.10276293754577637,17.1991,0.0
17.4237,1600,0.8777408599853516,203.0625,1.01747,141.466523757,23.3125,2300.0,17.983839750289917,1.01587,160.5298662185669,31.818147897720337,1.01021,2.8723,1600,462.773563521,2.85783,0.226182025911,0.14409954445,18.124956846237183,0.00914857722819,0.0659017641787,2000.0,-0.00695090182126,981.5539786815643,17.6776,0.0,18.07277202606201,1600,0.9413139820098877,30.615240573883057,0.8754615783691406,2.86909,1900.0,0.0,55.875,228.370279097,-0.00153721333481,0.00541368848644,34.4071786403656,0.0108928792179,0.09121584892272949,17.621,0.0
17.3073,1600,0.8619608879089355,282.625,1.01437,180.698255041,36.375,2400.0,17.79811382293701,1.01505,161.80477142333984,35.92131519317627,1.00667,2.86638,1600,564.732776962,2.85113,0.218879322273,0.191140210956,18.21535873413086,0.0169637408108,0.0656369621069,2100.0,-0.00338702695444,1145.8942251205444,17.5733,0.0,18.380234956741333,1600,0.9358515739440918,21.692203760147095,0.8929080963134766,2.86768,2000.0,0.0,125.4375,357.591503805,-0.00338702858426,-1.62981450558e-09,35.26240301132202,0.0169637463987,0.1203298568725586,17.5962,0.0
17.5042,1600,0.8473498821258545,300.5625,1.01437,205.772591409,41.625,2300.0,17.861981868743896,1.0129,157.3985722064972,33.123297691345215,1.01245,2.86638,1600,591.09511383,2.86244,0.224050225508,0.202589585405,18.44503617286682,0.0231471061707,0.0774534226241,2000.0,-0.00619824090973,1305.6867036819458,17.5733,0.0,18.16080355644226,1600,0.9523632526397705,24.277997493743896,0.8774595260620117,2.86345,2000.0,0.0,140.3125,368.824012699,-0.00619823951274,1.39698386192e-09,35.373491048812866,0.0231471005827,0.11362242698669434,17.5218,0.0
17.3791,1600,0.859405517578125,301.8125,1.01437,209.510506524,47.6875,2400.0,17.799670696258545,1.0112,160.69903898239136,41.74749255180359,1.00878,2.86638,1600,591.821734008,2.85527,0.210029085926,0.203704679574,18.150985717773438,0.0305826552212,0.0832819947944,2000.0,-0.00359253399074,1469.6843163967133,17.5733,0.0,18.25316619873047,1600,0.9278011322021484,21.74737858772278,0.9002299308776855,2.86013,1700.0,0.0,129.625,365.988195677,-0.0035925344564,-4.65661287308e-10,32.88570427894592,0.0305826570839,0.09604477882385254,17.4638,0.0
17.2806,1600,0.8553917407989502,279.0625,1.01437,194.037649375,41.375,2400.0,17.80585503578186,1.01393,156.010178565979,36.22496223449707,1.00593,2.86638,1600,569.181755763,2.84958,0.23022517994,0.186574473083,18.44608974456787,0.0222462564707,0.0723973193371,2200.0,-0.00392743665725,1627.9820816516876,17.5733,0.0,18.424808263778687,1600,0.9525070190429688,22.059102773666382,0.9019603729248047,2.86548,1700.0,0.0,120.125,351.436316244,-0.00392743712291,-4.65661287308e-10,32.941673278808594,0.0222462583333,0.10889339447021484,17.5575,0.0
