NumTrajs,Time,Entropy,LossBefore,MaxKL,ExplainedVariance,Perplexity,MaxReturn,LossAfter,ItrTime,AveragePolicyStd,AverageReturn,MeanKL,MinReturn,StdReturn
200,550.4208073616028,2.43905,-0.0313851,0.0261228,0.990675948741,11.4622,2900.0,-0.0359902,16.726306676864624,0.819281,2583.5,0.00549354,2100.0,161.48606751
200,567.3150506019592,2.42336,-0.0417037,0.0360563,0.991631795885,11.2837,3000.0,-0.047109,16.57316303253174,0.812897,2594.0,0.00996537,2200.0,153.179633111
200,584.1186919212341,2.40251,-0.0321869,0.018869,0.992519172332,11.0508,2900.0,-0.03614,16.617799282073975,0.804519,2610.5,0.00684876,2100.0,141.20817965
200,600.7872245311737,2.38641,-0.0430706,0.00220151,0.992121586794,10.8744,3000.0,-0.0454386,16.421918392181396,0.798127,2616.0,0.000477276,2200.0,146.437700064
200,617.2537713050842,2.36488,-0.0220829,0.0655497,0.992674420433,10.6427,2800.0,-0.0284074,16.259567975997925,0.789544,2600.5,0.0209645,2200.0,130.19120554
200,633.848795413971,2.35384,-0.0250343,0.0404056,0.99262333559,10.5259,3000.0,-0.0292927,16.387271404266357,0.785186,2619.0,0.0109996,1900.0,149.12746226
200,650.7699644565582,2.34132,-0.0337205,0.0333008,0.993477729087,10.3949,3000.0,-0.036538,16.72524404525757,0.780244,2633.0,0.00733667,2100.0,143.565316146
200,667.2897384166718,2.32446,-0.0190414,0.00142938,0.993879540862,10.2212,2900.0,-0.0196568,16.317426443099976,0.773705,2635.5,0.000233041,2300.0,121.613116069
200,683.9274051189423,2.31494,-0.0487852,0.0114536,0.993447239471,10.1243,2900.0,-0.0515776,16.43542218208313,0.769999,2643.5,0.00435678,2200.0,141.977991252
200,700.6096746921539,2.29055,-0.0338225,0.0914117,0.992391950432,9.88033,2900.0,-0.0406833,16.484318017959595,0.760696,2634.5,0.0191852,2200.0,143.734999217
200,717.1633832454681,2.27364,-0.0247126,0.00735441,0.993907468803,9.71465,3000.0,-0.0263931,16.322840690612793,0.754214,2665.5,0.000759073,2200.0,121.90057424
200,733.5302994251251,2.26128,-0.0238293,0.0388573,0.993931736918,9.59535,2900.0,-0.0266423,16.1598539352417,0.749616,2648.5,0.00489875,2200.0,128.053699673
200,750.0538055896759,2.24936,-0.0214386,0.147524,0.992784588105,9.4817,3000.0,-0.030675,16.199649572372437,0.745132,2653.0,0.0361749,2100.0,138.531584846
200,766.6368591785431,2.23864,-0.0206602,0.14473,0.993938237304,9.3806,3000.0,-0.029039,16.380135536193848,0.74114,2663.5,0.0376672,2200.0,129.297138406
200,783.7327761650085,2.22831,-0.0120473,0.062597,0.994512642033,9.2842,3000.0,-0.0153719,16.89429020881653,0.73734,2670.0,0.00791175,2200.0,113.578166916
200,800.6807618141174,2.22229,-0.00461713,0.181859,0.994944631365,9.22844,3000.0,-0.0144749,16.754896640777588,0.735112,2677.0,0.0515509,2400.0,119.042009392
200,817.6239101886749,2.21998,-0.00697601,0.0140478,0.994658085895,9.20717,3000.0,-0.00831962,16.74029779434204,0.734291,2671.0,0.003741,2300.0,121.074357318
200,835.0055656433105,2.21649,-0.0289986,0.0415058,0.994482186606,9.17511,3000.0,-0.0330808,17.1687490940094,0.733024,2662.0,0.0106114,2300.0,122.29472597
