LossAfter,ExplainedVariance,ItrTime,TotalExecTime,Perplexity,MaxKL,MaxReturn,AveragePolicyStd,MinReturn,AverageReturn,Entropy,Time,MeanKL,StdReturn,LossBefore,NumTrajs
-0.136926,0.494816360377,6.070813417434692,6.006757020950317,11.0609,2.90269,4100.0,0.805297,600.0,2240.0,2.40341,6.0708088874816895,1.04559,769.675256196,0.00639232,40
-0.129383,0.775862836567,4.772193193435669,4.694638967514038,11.1318,5.75822,6500.0,0.808248,2900.0,4972.5,2.4098,10.846747875213623,0.351695,942.334202924,-0.0298667,40
-0.137373,0.833655864328,4.6898393630981445,4.652379751205444,10.9668,1.66835,7400.0,0.802272,2900.0,5590.0,2.39487,15.540940523147583,0.35207,927.577490024,-0.034034,40
-0.102271,0.858071849275,4.62126898765564,4.567132949829102,10.7817,0.826627,7000.0,0.795644,3900.0,5537.5,2.37785,20.168662071228027,0.231343,783.162658711,-0.0404351,40
-0.0833788,0.871623071341,4.66035270690918,4.617587566375732,10.5659,1.78063,7800.0,0.787429,4300.0,6470.0,2.35764,24.83288335800171,0.266622,857.088093489,-0.0139102,40
-0.126087,0.862427384712,4.674965143203735,4.640801906585693,10.4927,7.48771,7500.0,0.784303,3900.0,5717.5,2.35068,29.516738653182983,0.498538,812.984470946,-0.00595768,40
-0.134658,0.734354797913,4.717059850692749,4.692026376724243,10.4615,6.04084,7000.0,0.782935,1900.0,4935.0,2.3477,34.239105224609375,0.614959,1113.67634437,0.0162842,40
