ItrTime,0ProcessExecTime,0MaxReturn,LossBefore,MeanKL,LossAfter,0ExplainedVariance,1NumTrajs,0EnvExecTime,1Entropy,0PolicyExecTime,dLoss,1ProcessExecTime,1MaxReturn,1AveragePolicyStd,1StdReturn,1Perplexity,0Entropy,0NumTrajs,0Perplexity,1ExplainedVariance,0AverageReturn,0MinReturn,1PolicyExecTime,1AverageReturn,1MinReturn,MeanKLBefore,1EnvExecTime,ComputeUpdatedDistTime,0AveragePolicyStd,Time,0StdReturn
195.56827449798584,1.9512178897857666,6500.0,2.91038339262e-11,0.00910636316985,-0.00291546923108,0.078702207943,400,51.17562961578369,2.83863,16.33536124229431,0.00291546926019,1.766634225845337,18000.0,1.00038,1356.699672,17.0923,2.83788,400,17.0795,0.151603120664,53.75,0.0,52.60632920265198,154.0,0.0,-8.62492210985e-09,51.08693504333496,5.639890670776367,1.0,195.56827425956726,462.802266092
188.3096947669983,1.7413325309753418,6900.0,4.6566139833e-11,0.00924356002361,-0.00328089320101,0.0693520331781,400,51.10233497619629,2.8322,15.684074640274048,0.00328089324757,1.7761857509613037,19200.0,0.997182,1506.75976851,16.9827,2.83332,400,17.0017,0.0792458082709,94.25,0.0,54.10960602760315,185.0,0.0,6.79283385097e-09,52.13172125816345,0.3759329319000244,0.997727,384.84536123275757,587.9557275
196.96074748039246,2.0529987812042236,18900.0,6.49015452492e-10,0.00810860935599,-0.00330037693493,0.063856551654,400,53.68342328071594,2.83638,18.468602418899536,0.00330037758395,1.9719645977020264,5300.0,0.999265,382.940922337,17.0539,2.83565,400,17.0414,0.0725715969668,125.5,0.0,56.02078461647034,42.5,0.0,8.12870215583e-09,53.712722301483154,0.478985071182251,0.998887,583.0454933643341,1086.66910787
193.9623522758484,1.7937946319580078,2800.0,-3.7543940179e-10,0.00638726959005,-0.00302751222625,0.0441008676654,400,51.41817235946655,2.84091,15.385445356369019,0.00302751185081,1.7919292449951172,5300.0,1.00153,704.83881136,17.1314,2.84068,400,17.1273,0.11240446097,48.25,0.0,56.867807149887085,176.5,0.0,-3.02680241981e-10,54.72212886810303,0.42195916175842285,1.0014,778.0542397499084,262.672681297
236.00024676322937,2.0776119232177734,14000.0,-4.04543287758e-10,0.00665809493512,-0.00389676261693,0.0636973099507,400,58.40073919296265,2.84005,21.005332469940186,0.00389676221239,2.1930723190307617,12000.0,1.00112,954.979024639,17.1166,2.83722,400,17.0682,0.0758800306177,205.0,0.0,75.18554139137268,280.25,0.0,1.09604991749e-08,62.44346618652344,0.46512556076049805,0.999687,1015.3424825668335,893.014557552
235.78859281539917,2.1783487796783447,10600.0,3.58704704828e-10,0.00934258010238,-0.00385304167867,0.0712683920266,400,59.27255702018738,2.84311,22.972816705703735,0.00385304203737,2.1040048599243164,18600.0,1.00266,1642.96909207,17.169,2.84231,400,17.1553,0.0774208676593,386.25,0.0,73.97419023513794,457.25,0.0,2.00234895331e-09,61.97899150848389,0.46179676055908203,1.00224,1252.394361257553,1140.585787
243.08624291419983,2.123898506164551,25500.0,-3.72529035397e-10,0.00936383008957,-0.00370581774041,0.0589105580283,400,59.252849102020264,2.83681,26.208638906478882,0.00370581736788,2.2780635356903076,14400.0,0.999539,1569.51774042,17.0612,2.83769,400,17.0763,0.0776627452326,632.5,0.0,76.9092185497284,566.25,0.0,7.59027507513e-09,63.221309661865234,1.105818271636963,0.999954,1496.7822034358978,1835.48188496
263.95442175865173,2.2721571922302246,10900.0,3.34694147397e-11,0.00812482554466,-0.00302964658476,0.0596427237876,400,61.21339964866638,2.84084,25.770319938659668,0.00302964661823,2.503230333328247,18800.0,1.00159,1923.67407258,17.1301,2.84342,400,17.1744,0.0498504836651,537.0,0.0,87.66306662559509,701.75,0.0,-8.2189153261e-09,70.6797239780426,0.4599790573120117,1.00285,1762.060801744461,1385.00216606
291.558584690094,2.598586320877075,11500.0,-9.74978292545e-11,0.009361974895,-0.00417531561106,0.0566665591121,400,68.71315455436707,2.83791,28.24530816078186,0.00417531551357,2.847538709640503,14100.0,1.00006,1637.92360933,17.0801,2.83809,400,17.0831,0.0676842556527,544.25,0.0,92.51054549217224,772.5,0.0,-1.0011707019e-09,77.87232542037964,0.4525728225708008,1.00014,2054.942212820053,1410.37829588
304.42858934402466,2.8155455589294434,9100.0,5.1222737163e-10,0.00873661506921,-0.00342362048104,0.0559200970506,400,77.20055651664734,2.83709,26.51821279525757,0.00342362099327,2.81707763671875,14100.0,0.99963,1721.24228393,17.066,2.83728,400,17.0693,0.0772785209603,600.0,0.0,94.60889673233032,865.0,0.0,-9.43000166842e-09,80.25624251365662,0.5758528709411621,0.999717,2361.003112077713,1228.75953709
264.425496339798,2.5420548915863037,15100.0,-4.5183701225e-10,0.00829139910638,-0.00378753198311,0.0363498907382,400,66.53972458839417,2.83376,30.343618869781494,0.00378753153127,2.284250497817993,24700.0,0.998,2215.37666098,17.0093,2.83387,400,17.0112,0.0358475418496,741.0,0.0,81.37026309967041,702.5,0.0,3.21306070639e-09,66.57756781578064,0.4768543243408203,0.998043,2627.781643629074,1945.73096804
258.0860240459442,2.3156166076660156,18800.0,1.16997389554e-09,0.00975474901497,-0.00404510833323,0.0408500461824,400,62.540820837020874,2.84001,28.455315351486206,0.0040451095032,2.3226304054260254,10600.0,1.0011,1834.68278934,17.1159,2.83758,400,17.0744,0.0499909136327,810.0,0.0,80.83744502067566,936.25,0.0,1.71130665194e-09,66.58701348304749,0.4462623596191406,0.999868,2887.1806247234344,1703.34964115
