MaxKL,StdReturn,MaxReturn,ExplainedVariance,MeanKL,TotalExecTime,Entropy,MinReturn,NumTrajs,AverageReturn,LossAfter,ItrTime,Perplexity,AveragePolicyStd,Time,LossBefore
0.0530623,197.360077017,2900.0,0.986333013124,0.018491,26.954686880111694,2.53157,1900.0,200,2457.0,-0.050572,27.218603372573853,12.5732,0.858031,799.1399302482605,-0.0399324
0.0653268,178.840711249,2900.0,0.988041067199,0.0227049,25.77910351753235,2.5116,2000.0,200,2496.0,-0.0741046,25.945189714431763,12.3247,0.849496,825.097900390625,-0.0616125
0.00587098,179.286781442,3000.0,0.989290631647,0.0032487,26.69020414352417,2.4808,2000.0,200,2542.5,-0.051647,26.97586226463318,11.9508,0.836531,852.0989162921906,-0.0476817
0.0132858,173.61955535,2900.0,0.989492523039,0.00594339,27.93206262588501,2.45695,2000.0,200,2557.5,-0.0376734,28.159767389297485,11.6692,0.826603,880.2664635181427,-0.0333186
0.025758,164.005335279,3000.0,0.990939806446,0.010032,26.502596378326416,2.4403,2100.0,200,2576.5,-0.0521052,26.742228746414185,11.4764,0.819765,907.0181977748871,-0.0462195
0.0258868,145.089627472,2900.0,0.992009419105,0.0102103,26.907604455947876,2.41719,2000.0,200,2593.0,-0.0434014,27.12543296813965,11.2142,0.810368,934.1601269245148,-0.0373689
0.00218296,153.765243147,3000.0,0.991238212879,0.00127639,27.72355008125305,2.3985,2100.0,200,2602.5,-0.0533287,28.017028093338013,11.0067,0.802862,962.1817862987518,-0.0501776
0.0564335,134.884209602,2800.0,0.992353757501,0.0183568,26.94410490989685,2.37341,2200.0,200,2587.5,-0.0302081,27.172199726104736,10.734,0.792825,989.3802185058594,-0.0244695
0.0439221,154.009739952,3000.0,0.992394426007,0.0156119,25.392003774642944,2.36118,1900.0,200,2609.0,-0.0330213,25.67301082611084,10.6034,0.787992,1015.0564622879028,-0.0278032
0.00659491,146.040234182,3000.0,0.993341727457,0.00177299,26.326552152633667,2.34728,2100.0,200,2633.5,-0.036738,26.516175508499146,10.457,0.782502,1041.6022148132324,-0.0351958
0.00164056,121.069195091,2900.0,0.994398513972,0.00024266,27.35103464126587,2.32968,2300.0,200,2631.5,-0.0158323,27.58051061630249,10.2746,0.775664,1069.2164158821106,-0.0152973
0.00292921,148.215215143,2900.0,0.992632557475,0.0018702,25.850573301315308,2.32203,2200.0,200,2638.5,-0.0511272,25.919381618499756,10.1963,0.772697,1095.1411349773407,-0.0489027
0.0480753,139.681781203,2900.0,0.993007503786,0.0160258,28.017579555511475,2.29758,2200.0,200,2633.0,-0.0420993,28.20988965034485,9.95006,0.763327,1123.3563153743744,-0.0359459
0.00137523,122.718173063,3000.0,0.993938286731,0.000763615,27.633869886398315,2.27961,2200.0,200,2665.5,-0.0255725,27.913131713867188,9.77282,0.756447,1151.2940516471863,-0.0243183
0.0050621,130.720120869,2900.0,0.993707467806,0.00168173,28.10481548309326,2.26745,2200.0,200,2646.5,-0.02019,28.421288013458252,9.65471,0.751895,1179.7365982532501,-0.0193133
0.0767366,136.014705087,3000.0,0.992863454865,0.0245344,27.94813561439514,2.25779,2100.0,200,2650.0,-0.0349473,28.26357913017273,9.56193,0.748261,1208.0222890377045,-0.0283136
0.0875053,129.228479833,3000.0,0.994099313247,0.0264811,28.037381887435913,2.24363,2200.0,200,2660.0,-0.021076,28.276936292648315,9.42752,0.742981,1236.3185193538666,-0.0148224
0.0211452,116.377618123,3000.0,0.994221943048,0.00687565,28.668413639068604,2.23622,2200.0,200,2662.5,-0.0143711,28.93147039413452,9.3579,0.740254,1265.2718398571014,-0.0128755
0.101613,119.372316724,3000.0,0.994876157144,0.031713,28.270057439804077,2.22978,2400.0,200,2675.5,-0.0131459,28.536478519439697,9.29786,0.737874,1293.8207931518555,-0.00691334
0.00895339,120.655501325,3000.0,0.994739992722,0.00301738,30.002707719802856,2.22633,2300.0,200,2668.5,-0.00779074,30.310866832733154,9.26577,0.736627,1324.1437804698944,-0.00676211
0.065166,124.173266044,3000.0,0.99439138165,0.02084,28.692057132720947,2.22295,2300.0,200,2659.0,-0.0360639,28.850732564926147,9.2345,0.735396,1352.997447013855,-0.0299684
