MeanKL,TotalExecTime,LossBefore,MaxKL,ExplainedVariance,MinReturn,Perplexity,Entropy,StdReturn,NumTrajs,MaxReturn,Time,AveragePolicyStd,AverageReturn,ItrTime,LossAfter
0.994809,13.596183776855469,-0.0194609,3.94741,0.994139698239,2400.0,4.92414,1.59415,116.162601555,200,2900.0,405.7009348869324,0.536982,2667.5,13.682027578353882,-0.0690522
0.387823,13.42034912109375,0.00333958,1.69681,0.995078943878,2300.0,4.87646,1.58442,115.541118222,200,2900.0,419.21026635169983,0.534412,2675.5,13.503568410873413,-0.0167205
0.201028,13.525330066680908,0.035142,2.01062,0.994597114316,2400.0,4.8846,1.58609,112.800709218,200,3000.0,432.8228554725647,0.534859,2674.0,13.60250735282898,0.0204579
0.176621,13.326553583145142,0.00426252,1.0527,0.995083728754,2400.0,4.97119,1.60366,117.088641635,200,3000.0,446.2152817249298,0.539601,2684.5,13.388742923736572,-0.00491952
0.0371667,13.367924213409424,-0.0151574,0.190983,0.994778802719,2300.0,4.9818,1.60579,115.731369991,200,3000.0,459.6780173778534,0.54018,2687.5,13.439788103103638,-0.0191133
0.196247,13.302102327346802,-0.00567276,1.28548,0.99516515912,2300.0,4.94418,1.59821,112.471107401,200,3000.0,473.0863654613495,0.538114,2675.5,13.39220380783081,-0.0231452
0.26897,13.36255955696106,-0.0187955,1.92418,0.994576209679,2400.0,4.93018,1.59538,127.479410102,200,3000.0,486.5386848449707,0.537352,2693.0,13.446752548217773,-0.029312
0.0597261,12.932901382446289,0.00940091,0.696435,0.994602131899,2400.0,4.88406,1.58598,119.461290802,200,3000.0,499.5519917011261,0.534809,2677.0,13.004039287567139,0.00529275
0.290167,12.16650128364563,0.00575001,1.74741,0.994413529993,2300.0,4.90708,1.59068,131.362094989,200,3000.0,511.7794899940491,0.536101,2688.0,12.220942735671997,-0.0174004
0.0701333,12.018385648727417,-0.00986146,0.353021,0.994842208819,2300.0,4.92121,1.59355,109.890854943,200,2900.0,523.8891859054565,0.536862,2682.0,12.097842454910278,-0.0173019
0.180171,12.18334436416626,-0.00952777,1.33859,0.994912988379,2400.0,4.897,1.58862,124.354332454,200,3000.0,536.1362061500549,0.535529,2694.0,12.23852801322937,-0.0214275
0.15943,11.9933762550354,0.0120371,1.28226,0.994992612135,2400.0,4.87372,1.58386,107.419737479,200,2900.0,548.1936190128326,0.534233,2681.0,12.045912027359009,0.00452548
0.130682,11.665513515472412,-0.00527298,1.11325,0.995457603711,2400.0,4.90315,1.58988,103.130984675,200,2900.0,559.970773935318,0.535817,2692.0,11.772809743881226,-0.01551
0.140416,10.798583745956421,-0.00307917,1.03359,0.994934181153,2300.0,4.89024,1.58724,115.081492865,200,2900.0,570.8250541687012,0.535112,2677.5,10.851595878601074,-0.017447
0.146433,10.63720965385437,-0.01272,1.28999,0.99523652756,2400.0,4.88271,1.5857,103.197625942,200,3000.0,581.5259234905243,0.534698,2675.5,10.695677518844604,-0.0215986
0.398668,10.691301822662354,-0.0215132,2.84006,0.994709789365,2300.0,4.85176,1.57934,122.228270052,200,3000.0,592.2834324836731,0.532998,2685.5,10.744945764541626,-0.0466118
0.0558495,10.690315961837769,0.0152454,0.453346,0.995129166235,2400.0,4.79985,1.56858,113.154761279,200,3000.0,603.0491046905518,0.530137,2686.0,10.760504245758057,0.00931224
0.305096,10.69912075996399,-0.026196,2.21968,0.995170762515,2300.0,4.83658,1.57621,110.163514831,200,3000.0,613.8382694721222,0.532177,2692.0,10.771157026290894,-0.0427551
0.32793,10.748725175857544,0.00117772,2.23589,0.994783712883,2300.0,4.77364,1.56311,118.321595662,200,2900.0,624.6478786468506,0.528701,2680.0,10.801076650619507,-0.0209032
0.0802015,10.572174787521362,-0.00854295,0.792882,0.99504841851,2400.0,4.77645,1.5637,115.731369991,200,3000.0,635.2884411811829,0.528879,2692.5,10.630222797393799,-0.0172748
0.145997,10.67171597480774,0.0140986,0.936824,0.995090754675,2300.0,4.75609,1.55943,115.325625947,200,3000.0,646.0188739299774,0.527732,2690.0,10.726712465286255,-3.2302e-05
