MaxKL,LossAfter,AveragePolicyStd,ExplainedVariance,AverageReturn,MeanKL,ItrTime,MinReturn,MaxReturn,Entropy,Time,NumTrajs,TotalExecTime,StdReturn,LossBefore,Perplexity
2.71555,-0.000839185,0.805297,0.00689525752048,5.0,0.0788672,4.950886487960815,0.0,100.0,2.40341,4.950882434844971,40,4.875319957733154,21.7944947177,0.0319488,11.0609
0.807778,-0.00324792,0.818348,0.0262313699276,7.5,0.0532465,4.726839065551758,0.0,200.0,2.43536,9.684574842453003,40,4.6388022899627686,34.5506874027,0.0204373,11.4199
2.52294,-0.0506487,0.822437,0.0279030566174,42.5,0.140523,4.639087200164795,0.0,400.0,2.44558,14.326951026916504,40,4.606173276901245,99.7183533759,-0.0109391,11.5372
1.35315,-0.00370838,0.820211,0.167778964712,377.5,0.0994244,4.749539852142334,0.0,1000.0,2.44011,19.081319332122803,40,4.681207180023193,285.032892839,0.0335859,11.4743
2.56046,-0.0666293,0.827062,0.387910486753,1452.5,0.22015,4.967728614807129,500.0,3500.0,2.4569,24.060100078582764,40,4.924898147583008,679.333312888,0.000261135,11.6686
5.48887,-0.0876678,0.826954,0.716206950959,4050.0,0.142114,4.488965749740601,2200.0,6200.0,2.45703,28.56018304824829,40,4.416576623916626,860.523096727,-0.0365948,11.6701
6.96967,-0.0371455,0.819511,0.737512378776,5235.0,0.0742047,4.548799276351929,0.0,7000.0,2.43874,33.116504430770874,40,4.514506578445435,1545.88971146,-0.00546024,11.4585
