AverageReturn,LossAfter,Perplexity,NumTrajs,MaxReturn,MeanKL,MinReturn,MaxKL,StdReturn,AveragePolicyStd,ItrTime,ExplainedVariance,LossBefore,TotalExecTime,Time,Entropy
7.7,0.0577304,5.60742,2000,1500.0,2.54435,0.0,45.1161,86.5488879189,0.574709,78.92533111572266,0.183142151449,0.00146984,78.64086246490479,78.9253282546997,1.72409
874.25,-0.0410988,5.61567,2000,2700.0,0.203438,0.0,2.12291,1002.74719521,0.57513,78.88090085983276,0.807526295976,-0.00305208,78.60197472572327,157.8085858821869,1.72556
1185.05,-0.0075846,5.60711,2000,3000.0,0.0174657,0.0,0.182486,1188.297731,0.574615,79.17634439468384,0.826471178389,-0.00546316,78.925546169281,236.98747396469116,1.72404
1134.9,-0.00871508,5.59181,2000,2900.0,0.0173121,0.0,0.158218,1202.98461752,0.573832,79.09728050231934,0.82428837807,-0.00618571,78.81856298446655,316.0872368812561,1.7213
1144.15,-0.0062463,5.57454,2000,2900.0,0.0304526,0.0,0.248688,1213.9793151,0.57293,79.07995343208313,0.82352779044,-0.00121216,78.81257104873657,395.169846534729,1.71821
1265.25,-0.00961317,5.57117,2000,2900.0,0.0108186,0.0,0.195853,1240.01106346,0.572728,79.56488275527954,0.825999392835,-0.00654594,79.2951991558075,474.73707389831543,1.71761
1245.0,-0.00385231,5.55297,2000,3000.0,0.0135157,0.0,0.145046,1238.43651432,0.57177,79.79590511322021,0.827404186938,-0.00351201,79.47067046165466,554.5356523990631,1.71433
