MaxKL,LossAfter,StdReturn,Perplexity,MeanKL,Entropy,AveragePolicyStd,ExplainedVariance,LossBefore,NumTrajs,MaxReturn,TotalExecTime,Time,ItrTime,AverageReturn,MinReturn
2.88062,-0.0579577,1349.54622003,14.777,0.230485,2.69307,0.930467,0.180629630936,-0.0222403,20,5000.0,4.948583126068115,5.044915676116943,5.044917106628418,1565.0,0.0
1.63561,-0.0755991,3076.43868783,14.452,0.205829,2.67083,0.92035,0.80399998766,-0.0137553,20,22200.0,4.940007209777832,10.058618307113647,5.01068639755249,18745.0,11700.0
0.506537,-0.0148014,644.127316608,14.353,0.0314789,2.66396,0.917158,0.985248147445,-0.00305498,20,22200.0,5.24652361869812,15.36522626876831,5.3002564907073975,21190.0,19600.0
0.562219,-0.0151135,475.263085038,14.331,0.0416976,2.66243,0.916312,0.988569320157,-0.00476985,20,22500.0,5.668928623199463,21.08251428604126,5.7049314975738525,21725.0,20600.0
0.592673,-0.030415,585.042733482,14.2969,0.0792628,2.66004,0.915235,0.988153737324,-0.0115072,20,22500.0,5.892512559890747,27.009644031524658,5.919716835021973,21565.0,20500.0
0.820304,-0.00168771,467.974358272,14.2149,0.0360641,2.65429,0.912741,0.989055412082,0.0101033,20,22300.0,5.076905727386475,32.130136251449585,5.115070819854736,21700.0,20400.0
0.480717,-0.00468732,311.448230048,14.2869,0.0295921,2.65934,0.91507,0.992918917706,0.00425262,20,22400.0,4.7608559131622314,36.937345027923584,4.80281138420105,21900.0,21200.0
