MinReturn,MeanKL,MaxReturn,TotalExecTime,StdReturn,ExplainedVariance,ItrTime,Entropy,LossAfter,NumTrajs,Time,AverageReturn,MaxKL,Perplexity,LossBefore,AveragePolicyStd
0.0,0.867184,1700.0,5.005889654159546,454.972526643,0.212543581576,5.069964408874512,2.79458,-0.149702,40,5.069961786270142,750.0,65.897,16.3558,-0.0122021,0.982009
0.0,0.0653155,5300.0,5.288170337677002,1527.99705497,0.474200547687,5.365406513214111,2.78238,-0.00892514,40,10.437889575958252,2515.0,1.34244,16.1574,0.0125447,0.97644
0.0,0.0738563,5200.0,6.223845481872559,1377.46143322,0.506530201821,6.260931730270386,2.78865,-0.0159817,40,16.7065167427063,2710.0,6.28434,16.2591,0.00353457,0.979382
0.0,0.0897267,5900.0,4.994552373886108,1498.58057841,0.542105696541,5.079246997833252,2.79042,-0.0345868,40,21.792067766189575,3322.5,12.0975,16.2879,-0.00931238,0.980008
0.0,0.13086,6300.0,5.078846454620361,1441.90845757,0.493818880006,5.1541361808776855,2.78576,-0.0202734,40,26.94931674003601,2870.0,3.97871,16.2122,0.0185141,0.977355
0.0,0.157566,5100.0,5.9863080978393555,1710.48969596,0.481492034164,6.078001499176025,2.79502,-0.0357536,40,33.03234004974365,2665.0,7.54883,16.363,0.00714892,0.981562
2100.0,0.128059,6100.0,5.007703542709351,1042.47002355,0.659761161794,5.056189775466919,2.7986,-0.0755713,40,38.09365463256836,3677.5,1.20111,16.4216,-0.0285043,0.982502
