StdReturn,Time,Perplexity,MeanKL,AverageReturn,AveragePolicyStd,ItrTime,LossAfter,ExplainedVariance,LossBefore,MaxKL,TotalExecTime,Entropy,NumTrajs,MaxReturn,MinReturn
2224.83145429,6.954275608062744,13.0471,0.665542,16425.0,0.87453,6.954280376434326,-0.0719315,0.803930659627,0.00653294,1.44271,6.885270357131958,2.56857,20,21100.0,13700.0
1772.96362061,13.295798301696777,13.1327,0.145649,3460.0,0.87746,6.33696174621582,-0.0305603,0.176362483668,0.0067902,0.313991,6.293030738830566,2.5751,20,7500.0,900.0
2115.65592666,19.923251390457153,13.1773,0.188458,17300.0,0.879161,6.623671293258667,-0.0953609,0.849715147654,-0.0437842,0.473535,6.536484241485596,2.5785,20,19600.0,10200.0
1794.43584449,26.303375244140625,12.892,0.209408,17200.0,0.869522,6.377725601196289,-0.0433524,0.866604597989,0.0111158,0.394219,6.349844694137573,2.55661,20,21000.0,14300.0
1948.71752699,32.89453077316284,12.9638,0.305735,16350.0,0.871732,6.585882186889648,-0.0842202,0.846859915254,-0.00930245,0.646834,6.554123640060425,2.56216,20,19500.0,12300.0
1967.99390243,39.432267904281616,12.9037,0.173755,16000.0,0.869662,6.530441761016846,-0.0648453,0.803396301863,-0.0210152,0.354268,6.476454019546509,2.55751,20,19300.0,13000.0
1532.97097168,45.79574227333069,12.7688,0.0375993,19400.0,0.865183,6.343053579330444,-0.0626655,0.934830500254,-0.0501084,0.0799096,6.296085357666016,2.547,20,21300.0,15600.0
