MaxReturn,MaxKL,Entropy,ExplainedVariance,Perplexity,AveragePolicyStd,AverageReturn,StdReturn,MeanKL,NumTrajs,LossBefore,LossAfter,TotalExecTime,ItrTime,Time,MinReturn
200.0,0.372299,2.72206,0.125266525997,15.2117,0.947542,20.0,50.9901951359,0.029776,20,2.04872e-05,-0.0173746,5.697075605392456,5.783824682235718,5.78382134437561,0.0
400.0,0.524576,2.72208,0.348968121149,15.212,0.947296,105.0,135.922772191,0.0430089,20,-0.00792843,-0.0378747,5.566946983337402,5.650907278060913,11.440200805664062,0.0
500.0,0.145573,2.71812,0.897259786921,15.1518,0.945184,335.0,72.6291952317,0.00836322,20,0.000622362,-0.00485896,5.605707883834839,5.640047550201416,17.082515954971313,200.0
500.0,0.550538,2.71843,0.931707152854,15.1565,0.945151,385.0,47.6969600708,0.0288649,20,0.0193997,0.0119896,5.168492078781128,5.217955589294434,22.305305242538452,300.0
500.0,0.285243,2.72813,0.742364808428,15.3042,0.949688,350.0,159.687194227,0.0270361,20,-0.0232356,-0.04011,5.398673057556152,5.429587125778198,27.74167251586914,0.0
600.0,0.0597791,2.71651,0.924776837148,15.1275,0.944355,480.0,50.9901951359,0.00685421,20,0.0124202,0.00738592,5.669824838638306,5.7171876430511475,33.46183657646179,400.0
600.0,0.00932121,2.72272,0.925036318617,15.2217,0.947272,485.0,57.2276157113,0.000906392,20,-0.0385478,-0.040696,5.648158550262451,5.7152862548828125,39.187744140625,400.0
