MaxKL,LossAfter,Time,ExplainedVariance,ItrTime,AveragePolicyStd,MinReturn,TotalExecTime,NumTrajs,Perplexity,AverageReturn,Entropy,LossBefore,MaxReturn,StdReturn,MeanKL
0.0,-0.0,26.4027316570282,1,26.402737379074097,0.681555,0.0,26.253341674804688,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,53.150248289108276,1,26.739742517471313,0.681555,0.0,26.4893057346344,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,78.84242033958435,1,25.679717540740967,0.681555,0.0,25.508866548538208,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,103.1965925693512,1,24.3328058719635,0.681555,0.0,24.16064453125,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,129.29134893417358,1,26.0664222240448,0.681555,0.0,25.893272161483765,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,156.2822802066803,1,26.97471332550049,0.681555,0.0,26.691915273666382,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,182.25782108306885,1,25.967133283615112,0.681555,0.0,25.807424545288086,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,208.0944013595581,1,25.83052158355713,0.681555,0.0,25.753832817077637,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,233.21776962280273,1,25.116196632385254,0.681555,0.0,24.92721962928772,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,257.8652546405792,1,24.619290590286255,0.681555,0.0,24.441004037857056,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,283.6496458053589,1,25.7804057598114,0.681555,0.0,25.600213766098022,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,310.8287923336029,1,27.16643261909485,0.681555,0.0,26.92385244369507,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,336.41231417655945,1,25.564546585083008,0.681555,0.0,25.342921495437622,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,362.7932915687561,1,26.37125587463379,0.681555,0.0,26.104835987091064,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,390.2952938079834,1,27.492740869522095,0.681555,0.0,27.1716890335083,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,416.12398529052734,1,25.813145399093628,0.681555,0.0,25.62823796272278,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,441.029577255249,1,24.877230405807495,0.681555,0.0,24.68908405303955,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,466.9630699157715,1,25.92684817314148,0.681555,0.0,25.732862949371338,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,491.68734073638916,1,24.700339794158936,0.681555,0.0,24.470458269119263,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,518.2736485004425,1,26.567971229553223,0.681555,0.0,26.449298620224,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,545.4689183235168,1,27.18730640411377,0.681555,0.0,26.97242021560669,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
0.0,-0.0,572.5734827518463,1,27.096341133117676,0.681555,0.0,27.02236557006836,200,7.93364,0.0,2.07111,-0.0,0.0,0.0,0.0
4.3402,-0.0462767,600.6041581630707,0.0453536351883,28.022078275680542,0.681555,0.0,27.79710078239441,200,7.93364,1.0,2.07111,0.00671311,200.0,14.1067359797,0.408524
3.46859,-0.0634972,628.8394861221313,0.794993943846,28.226555585861206,0.682701,0.0,28.058547258377075,200,7.96031,811.0,2.07447,-0.00350956,2700.0,977.741785954,0.492555
