0AveragePolicyStd,0ProcessExecTime,1Perplexity,LossBefore,1StdReturn,dLoss,1ProcessExecTime,0NumTrajs,0MaxReturn,1Entropy,0EnvExecTime,1MinReturn,0ExplainedVariance,0StdReturn,1AverageReturn,1AveragePolicyStd,LossAfter,Time,0Perplexity,MeanKL,ItrTime,1PolicyExecTime,0PolicyExecTime,0MinReturn,0AverageReturn,1NumTrajs,1MaxReturn,ComputeUpdatedDistTime,0Entropy,MeanKLBefore,1ExplainedVariance,1EnvExecTime
1.0,0.021307706832885742,17.0795,0.0,265.412414932,0.0108675714582,0.02002429962158203,40,0.0,2.83788,0.44367170333862305,0.0,1,0.0,42.5,1.0,-0.0108675714582,4.586893796920776,17.0795,0.0079093137756,4.586895704269409,1.0991957187652588,0.598473072052002,0.0,0.0,40,1700.0,0.8150289058685303,2.83788,0.0,0.215265249548,0.471724271774292
0.99926,0.02009105682373047,16.9583,8.14907252789e-10,496.38694584,0.00808863516431,0.02086663246154785,40,1500.0,2.83076,0.4519081115722656,0.0,0.489074756263,296.131305336,140.0,0.996606,-0.00808863434941,7.813613653182983,17.0542,0.00759874004871,2.918046712875366,0.9209930896759033,0.46246767044067383,0.0,67.5,40,2200.0,0.08716464042663574,2.8364,-9.31322685638e-10,0.360704079874,0.4692726135253906
0.996594,0.020706892013549805,17.0526,1.62981450558e-09,255.929677841,0.00868848967366,0.01833653450012207,40,1100.0,2.8363,0.4416813850402832,0.0,0.333449323707,201.183995387,50.0,0.999258,-0.00868848804384,10.823549270629883,16.9618,0.00854879524559,2.778925895690918,0.8540852069854736,0.4744141101837158,0.0,45.0,40,1600.0,0.08260393142700195,2.83096,0.0,0.220801213544,0.4428067207336426
1.00088,0.019138097763061523,16.9517,-3.0267983675e-09,311.036573412,0.00926155853085,0.019035816192626953,40,700.0,2.83037,0.4395017623901367,0.0,0.285723444764,117.792189894,97.5,0.996294,-0.00926156155765,13.818611145019531,17.1094,0.00687079550698,2.7739644050598145,0.8560864925384521,0.46988463401794434,0.0,25.0,40,1200.0,0.11386656761169434,2.83963,-1.16415332929e-09,0.292964113873,0.42159152030944824
1.00643,0.020669221878051758,17.336,-1.86264514923e-09,633.166644731,0.0075018312782,0.018877029418945312,40,1100.0,2.85278,0.4471700191497803,0.0,0.192272838795,201.183995387,210.0,1.00767,-0.00750183314085,16.93353796005249,17.2992,0.00768579961732,2.872671365737915,0.8591465950012207,0.5674726963043213,0.0,45.0,40,2300.0,0.0968775749206543,2.85066,0.0,0.460755475859,0.43885016441345215
1.01514,0.02015089988708496,17.2089,-3.72529029846e-09,531.977443131,0.00738233001903,0.019280195236206055,40,1100.0,2.84542,0.43961238861083984,0.0,0.120403255384,176.847391838,200.0,1.00413,-0.00738233374432,20.404804944992065,17.5963,0.00538217462599,3.2824764251708984,1.133887767791748,0.4574582576751709,0.0,35.0,40,2000.0,0.09666252136230469,2.86769,2.79396772385e-09,0.324604211634,0.45895981788635254
1.01022,0.020745038986206055,17.348,-2.79396772385e-09,285.482048472,0.012915157713,0.019895076751708984,40,1300.0,2.85348,0.4453012943267822,0.0,0.2552522411,202.962434948,100.0,1.00805,-0.012915160507,24.298975229263306,17.4207,0.00915156491101,3.7097764015197754,1.528057336807251,0.7211575508117676,0.0,32.5,40,1100.0,0.10463333129882812,2.85766,-2.32830671409e-10,0.26289541415,0.4427332878112793
1.00912,0.02003931999206543,17.0867,3.72529029846e-09,578.359749637,0.00513873109594,0.02060103416442871,40,700.0,2.8383,0.45614194869995117,0.0,0.119997740135,142.104714911,250.0,1.00111,-0.00513872737065,27.422580003738403,17.368,0.00769355800003,2.920063018798828,0.9199109077453613,0.4907417297363281,0.0,32.5,40,1900.0,0.07999014854431152,2.85463,0.0,0.550792566678,0.46152424812316895
1.00938,0.020827054977416992,17.3844,3.95812094212e-09,15.612494996,0.00489900144748,0.020025968551635742,40,0.0,2.85557,0.4759681224822998,0.0,1,0.0,2.5,1.00938,-0.00489899748936,30.852142572402954,17.3844,0.00620530126616,3.217832088470459,1.137648105621338,0.4822554588317871,0.0,0.0,40,100.0,0.0953364372253418,2.85557,0.0,0.0438739064295,0.47106266021728516
0.9994,0.022007226943969727,16.8879,-3.95812094212e-09,196.150452459,0.0100669085514,0.020112037658691406,40,300.0,2.8266,0.4766204357147217,0.0,0.110311256196,46.837484988,55.0,0.994818,-0.0100669125095,34.42622184753418,17.0418,0.00912928860635,3.0702197551727295,0.990891695022583,0.5082519054412842,0.0,7.5,40,900.0,0.10213208198547363,2.83567,0.0,0.0950107631139,0.4700312614440918
