StdReturn,ExplainedVariance,Perplexity,MinReturn,AverageReturn,MeanKL,Time,MaxReturn,LossAfter,TotalExecTime,MaxKL,Entropy,LossBefore,ItrTime,AveragePolicyStd,NumTrajs
94.3398113206,0.0339387508958,5.67789,0.0,40.0,0.280415,6.117010831832886,300.0,-0.018253,6.03642463684082,0.643009,1.73658,0.025995,6.117015838623047,0.58088,40
403.353133123,0.167754748426,5.82742,0.0,532.5,0.162702,12.505309343338013,1500.0,-0.0293599,6.301822185516357,0.428993,1.76257,0.0163671,6.383458614349365,0.588029,40
913.769664631,0.503734926675,5.8753,1100.0,2495.0,0.20109,18.739922761917114,5200.0,-0.0912926,6.195713043212891,0.399779,1.77076,-0.0248418,6.229105472564697,0.590295,40
2587.00478353,0.545955139901,5.80278,0.0,3612.5,0.246533,25.266260862350464,7200.0,-0.0316745,6.459264278411865,0.749214,1.75834,0.0282331,6.5207579135894775,0.586376,40
863.70929716,0.819071351992,5.88527,3000.0,5072.5,0.461888,31.945814609527588,6800.0,-0.133242,6.589821815490723,0.913958,1.77245,-0.0266858,6.656263113021851,0.590442,40
3081.15136759,0.537655157236,5.80727,0.0,4452.5,0.0440721,38.52034592628479,8000.0,-0.00594984,6.512632846832275,0.119151,1.75911,0.00871981,6.566847324371338,0.586761,40
1786.36327492,0.769089853162,5.83264,0.0,6412.5,0.0242251,44.8158700466156,8000.0,-0.00642525,6.187351226806641,0.16588,1.76347,0.0142874,6.282501220703125,0.587755,40
