1ExplainedVariance,0PolicyExecTime,0ExplainedVariance,1PolicyExecTime,0AverageReturn,0EnvExecTime,MeanKL,0MaxReturn,0ProcessExecTime,LossBefore,1EnvExecTime,MeanKLBefore,0MinReturn,1ProcessExecTime,1AverageReturn,1MinReturn,0NumTrajs,0StdReturn,LossAfter,1MaxReturn,dLoss,ComputeUpdatedDistTime,0AveragePolicyStd,1AveragePolicyStd,0Perplexity,Time,1StdReturn,0Entropy,1Entropy,1Perplexity,1NumTrajs,ItrTime
0.0396277281067,163.19930148124695,0.0446908079046,246.33239555358887,57.85,145.43457984924316,0.00662166066468,9400.0,6.10384464263916,2.91038304567e-11,144.5662486553192,1.83627113515e-09,0.0,5.87425971031189,53.2,0.0,2000,524.498214964,-0.00132955005392,6000.0,0.00132955008303,1.036506175994873,1.0,0.999881,17.0794,736.0729768276215,441.972578335,2.83788,2.83764,17.0753,2000,736.0729827880859
0.0793924673835,163.5617597103119,0.0564813209884,246.85292196273804,103.15,146.12145948410034,0.00829167384654,10600.0,6.1469244956970215,6.40284270048e-10,144.68644976615906,-2.32833891056e-10,0.0,5.858977317810059,134.7,0.0,2000,720.593559158,-0.00170588260517,12500.0,0.00170588324545,0.2832210063934326,1.00012,1.00076,17.0834,1476.7956759929657,843.555516845,2.83811,2.8394,17.1054,2000,736.244722366333
0.109690559024,166.81611585617065,0.0892957052029,246.237455368042,262.9,146.38999772071838,0.00712309172377,13400.0,6.201667070388794,1.01863406599e-10,145.93406343460083,-2.56841978796e-08,0.0,6.088123798370361,314.7,0.0,2000,1356.07654282,-0.00136093015317,15700.0,0.00136093025503,0.2819099426269531,0.997818,0.997724,17.0048,2221.46755695343,1435.1389863,2.83349,2.83329,17.0014,2000,740.3284435272217
0.132116735732,163.44550371170044,0.11391410461,247.7318079471588,473.65,146.94914722442627,0.00934374518692,15800.0,6.2907092571258545,3.63797880709e-10,146.52723503112793,-1.49884602507e-08,0.0,6.035784721374512,538.8,0.0,2000,1975.75825381,-0.00158548355103,16300.0,0.00158548391482,0.26511454582214355,0.993132,0.993426,16.8448,2965.79789352417,2053.07928731,2.82404,2.82464,16.8549,2000,739.9237701892853
0.126619107776,163.49122428894043,0.0998383257995,248.79590225219727,820.75,147.35000014305115,0.0080788936466,17100.0,6.363224029541016,-1.41881173477e-09,147.70703148841858,-1.16418041873e-10,0.0,6.203772306442261,990.9,0.0,2000,2606.22225405,-0.00144121341873,19300.0,0.00144121199992,0.2647380828857422,0.992311,0.992595,16.8165,3712.8653013706207,3049.84051878,2.82236,2.82291,16.8258,2000,742.8048191070557
0.166073116353,168.07601118087769,0.0908972535636,247.70201230049133,1285.2,147.31183218955994,0.00845750700682,20800.0,6.383594512939453,-1.92812876776e-10,147.52640962600708,-1.51340384669e-09,0.0,6.183077335357666,2128.65,0.0,2000,3259.61208735,-0.0018000244163,20200.0,0.00180002422348,0.26711201667785645,0.989356,0.988259,16.7174,4463.201114177704,4446.78245223,2.81645,2.81422,16.6802,2000,745.9533936977386
0.105642085663,163.65796828269958,0.0841329715337,248.17173218727112,1536.2,146.88041853904724,0.00772317778319,19700.0,6.432728052139282,-6.11180439591e-10,147.171288728714,1.39698386192e-09,0.0,6.192256450653076,2015.6,0.0,2000,3795.8331839,-0.00156896468252,21100.0,0.00156896407134,0.2658982276916504,0.977004,0.976286,16.3027,5209.376295566559,4461.62488786,2.79133,2.78985,16.2786,2000,741.3325669765472
0.132290533773,163.89328527450562,0.0755210147479,248.43282198905945,1867.1,147.2315936088562,0.00716366013512,20900.0,6.5021209716796875,1.16415321827e-10,145.79472398757935,1.07102149371e-08,0.0,5.911866903305054,2800.85,0.0,2000,4477.47893239,-0.00166114489548,20700.0,0.00166114501189,0.26599764823913574,0.971451,0.971069,16.1182,5954.4879648685455,5400.54944219,2.77995,2.77915,16.1054,2000,740.7015035152435
0.13499915953,161.60257840156555,0.0846482767515,245.69674348831177,2392.05,145.44544053077698,0.00900654774159,21200.0,6.037723064422607,-1.24418875203e-09,145.01300263404846,-2.88709678387e-08,0.0,5.785683870315552,3645.5,0.0,2000,5010.52410407,-0.00205708341673,21700.0,0.00205708217254,0.2576863765716553,0.969415,0.968644,16.0506,6691.245492696762,6120.01958739,2.77575,2.77415,16.025,2000,732.3301827907562
0.174255857335,161.17857336997986,0.0720244327026,244.4343273639679,2455.7,144.91416144371033,0.00994014553726,20500.0,6.028378248214722,1.87537807506e-09,145.91498160362244,1.86264603741e-09,0.0,5.791423797607422,4912.3,0.0,2000,5063.00281552,-0.00286999205127,22500.0,0.00286999392665,0.27800869941711426,0.955153,0.954851,15.5814,7426.565473079681,7157.96191035,2.74608,2.74544,15.5714,2000,731.2043116092682
0.222526654021,162.28235125541687,0.0619756428646,244.37122058868408,2376.45,146.67633771896362,0.00667794700712,20700.0,5.978132009506226,-5.82076609135e-10,146.1000952720642,3.72529873616e-09,0.0,5.776657819747925,5659.05,0.0,2000,4957.41973183,-0.00230472721159,22100.0,0.00230472662952,0.2881195545196533,0.9476,0.946851,15.3359,8164.81538271904,7653.10382116,2.73019,2.72862,15.3117,2000,733.9830467700958
0.243955742767,161.4186396598816,0.0661607199564,246.1039800643921,2943.25,145.38254570960999,0.00969415251166,20800.0,5.979065179824829,-4.61113813799e-10,145.62047052383423,7.45057215923e-09,0.0,5.784566640853882,6999.8,0.0,2000,5428.55822825,-0.00312583008781,22400.0,0.0031258296267,0.26951074600219727,0.935037,0.932603,14.9322,8902.497777223587,8377.00781664,2.70352,2.6983,14.8545,2000,732.843770980835
