0MaxReturn,MeanKL,Time,LossBefore,1ProcessExecTime,0ProcessExecTime,1Perplexity,0StdReturn,dLoss,LossAfter,1NumTrajs,1MinReturn,1StdReturn,1EnvExecTime,0NumTrajs,1MaxReturn,0Perplexity,1ExplainedVariance,0ExplainedVariance,1PolicyExecTime,MeanKLBefore,ComputeUpdatedDistTime,1AveragePolicyStd,1Entropy,0PolicyExecTime,0Entropy,1AverageReturn,0MinReturn,0AverageReturn,0AveragePolicyStd,0EnvExecTime,ItrTime
300.0,0.00998072978109,9.535688400268555,-2.03726813197e-10,0.07047820091247559,0.06651163101196289,17.0223,33.3307290649,0.000758960755775,-0.000758960959502,80,0.0,111.775444531,1.6069629192352295,80,600.0,17.0795,0.105592711257,0.0400772455246,2.532557964324951,-3.2014216278e-10,0.7138090133666992,0.998334,2.83452,1.62965989112854,2.83788,27.5,0.0,3.75,1.0,1.4487495422363281,9.535696268081665
500.0,0.00515726488084,16.910521984100342,-9.31322574615e-10,0.0656285285949707,0.047614336013793945,17.0092,56.5132727773,0.00536119937897,-0.00536120031029,80,0.0,185.59027453,1.5323669910430908,80,1200.0,16.9629,0.173410760496,0.0385148121108,2.412198781967163,9.31322685638e-10,0.08574461936950684,0.998043,2.83375,1.0801200866699219,2.83103,42.5,0.0,7.5,0.996673,0.9923090934753418,6.721686601638794
800.0,0.0064696604386,24.478240728378296,3.72529029846e-09,0.06927323341369629,0.060910701751708984,16.682,117.686022959,0.00956535898149,-0.0095653552562,80,0.0,489.92346341,1.5925610065460205,80,2000.0,16.8781,0.288264377298,0.0383306014327,2.509096622467041,1.86264537128e-09,0.23168587684631348,0.988359,2.81433,1.2706563472747803,2.82602,215.0,0.0,20.0,0.994095,1.2876286506652832,7.563127040863037
1200.0,0.00675464235246,32.05849361419678,-1.86264514923e-09,0.06357049942016602,0.05887317657470703,16.9762,165.63797119,0.0103936176747,-0.0103936195374,80,0.0,736.698717251,1.5111427307128906,80,2100.0,17.051,0.427854828173,0.0722461433352,2.393602132797241,6.98491986473e-10,0.0833888053894043,0.997001,2.83182,1.2134239673614502,2.83621,405.0,0.0,26.25,0.999192,1.2256355285644531,7.03554105758667
300.0,0.00815895851701,39.124502658843994,-9.31322574615e-10,0.06897163391113281,0.052645206451416016,17.486,33.3307290649,0.00811393838376,-0.00811393931508,80,0.0,274.291701479,1.5898187160491943,80,2100.0,17.2421,0.129527345118,0.0280976967233,2.548933267593384,0.0,0.07857227325439453,1.01192,2.8614,1.1413450241088867,2.84735,53.75,0.0,3.75,1.00475,1.1139330863952637,7.058367013931274
1400.0,0.00679753208533,46.67543053627014,-9.31322574615e-10,0.06130194664001465,0.06395792961120605,17.2228,248.41686235,0.00988074485213,-0.00988074578345,80,0.0,768.261023351,1.4036529064178467,80,2500.0,17.2857,0.424757365225,0.114037374337,2.2754533290863037,-5.82076678524e-11,0.10179996490478516,1.00419,2.84623,1.2947380542755127,2.84988,395.0,0.0,56.25,1.00602,1.3416967391967773,7.074069261550903
1600.0,0.00777920894325,53.84111404418945,2.79396772385e-09,0.06723308563232422,0.054405927658081055,17.3349,228.579171186,0.0100035676733,-0.0100035648793,80,0.0,939.407226659,1.5656280517578125,80,2700.0,17.2162,0.481710786696,0.10241781491,2.5362167358398438,0.0,0.08560490608215332,1.00766,2.85272,1.178589105606079,2.84585,533.75,0.0,48.75,1.00424,1.1844162940979004,7.160797834396362
1200.0,0.0069150198251,61.33453607559204,0.0,0.06303787231445312,0.05991005897521973,17.2959,185.703897374,0.00887370947748,-0.00887370947748,80,0.0,979.234394821,1.4464106559753418,80,2700.0,17.2022,0.517668755275,0.0673096110745,2.317993402481079,-9.31322685638e-10,0.07880282402038574,1.00646,2.85047,1.2905035018920898,2.84504,560.0,0.0,46.25,1.00367,1.2749390602111816,6.9855427742004395
1000.0,0.00898776110262,68.50260400772095,6.98491930962e-10,0.07000732421875,0.05315804481506348,16.8678,120.830459736,0.00762295280583,-0.00762295210734,80,0.0,917.836280335,1.5909833908081055,80,2600.0,16.9307,0.506543140975,0.0257094459515,2.5255515575408936,0.0,0.10242772102355957,0.993889,2.8254,1.1479897499084473,2.82913,521.25,0.0,20.0,0.995756,1.1351640224456787,7.161628246307373
1000.0,0.00660164607689,75.48865222930908,-2.32830643654e-09,0.06087613105773926,0.04632711410522461,16.716,196.198241582,0.00415628449991,-0.00415628682822,80,0.0,1154.9830897,1.4103362560272217,80,2800.0,16.6599,0.547391473537,0.0957910060481,2.3101704120635986,1.86264537128e-09,0.09497332572937012,0.98949,2.81637,1.033499002456665,2.81301,666.25,0.0,47.5,0.987711,0.967191219329834,6.466620206832886
1100.0,0.00455053383484,82.84980893135071,-3.11410985887e-09,0.06878900527954102,0.05077958106994629,16.6217,201.211176379,0.00035325504723,-0.00035325816134,80,0.0,1141.02749748,1.6102280616760254,80,2800.0,16.6254,0.561376617911,0.0750361931557,2.56750226020813,4.65661342819e-10,0.2533867359161377,0.986824,2.81071,1.1080312728881836,2.81093,657.5,0.0,53.75,0.986834,1.0980305671691895,7.356433153152466
1600.0,0.00628293026239,90.47584748268127,2.44472175837e-09,0.0650639533996582,0.05825352668762207,16.4397,184.661853126,0.00526801741216,-0.00526801496744,80,0.0,1138.29299282,1.4870691299438477,80,2800.0,16.3928,0.549420522436,0.0818190764862,2.4170453548431396,-2.32830671409e-10,0.08860635757446289,0.981352,2.7997,1.2472543716430664,2.79684,656.25,0.0,30.0,0.979954,1.2157878875732422,7.111932277679443
