AverageReturn,MaxReturn,MaxKL,TotalExecTime,StdReturn,MeanKL,NumTrajs,MinReturn,LossAfter,Entropy,ExplainedVariance,Time,ItrTime,LossBefore,AveragePolicyStd,Perplexity
395.0,3100.0,0.177849,14.059108972549438,781.328996006,0.00271544,20,0.0,-0.00511268,3.08155,0.293663989867,14.146190404891968,14.146194696426392,-0.00196625,1.12957,21.7921
135.0,1500.0,0.889643,13.527504920959473,394.049489278,0.00871781,20,0.0,-0.000645794,3.07958,0.435798491997,27.75497794151306,13.604626417160034,0.00320325,1.12846,21.7493
80.0,1400.0,0.500931,14.580708742141724,305.941170816,0.00509992,20,0.0,0.00324489,3.08118,0.326050909195,42.419296979904175,14.652720212936401,0.00591453,1.12938,21.7842
550.0,2200.0,0.919401,13.9361252784729,704.627561198,0.00829391,20,0.0,-0.00578001,3.08414,0.41571217817,56.421037673950195,13.992880821228027,-0.000831636,1.13105,21.8487
300.0,1500.0,0.293397,13.61427354812622,442.718872424,0.00118378,20,0.0,-0.00411808,3.08372,0.354720488321,70.10006809234619,13.665280818939209,-0.00209489,1.1308,21.8396
180.0,1500.0,0.665657,11.70759654045105,378.94590643,0.01032,20,0.0,0.00144788,3.08268,0.511747730137,81.85334897041321,11.747968912124634,0.00867071,1.13021,21.8168
375.0,3300.0,0.336002,9.883841276168823,799.296565738,0.00679454,20,0.0,0.00749561,3.08701,0.417108896821,91.77751994132996,9.919166088104248,0.0115164,1.13266,21.9115
