1PolicyExecTime,1StdReturn,0MinReturn,0MaxReturn,0PolicyExecTime,1EnvExecTime,0AveragePolicyStd,0Perplexity,0AverageReturn,0ProcessExecTime,Time,0EnvExecTime,1MinReturn,dLoss,1ProcessExecTime,0Entropy,1ExplainedVariance,1AveragePolicyStd,0NumTrajs,1Perplexity,1AverageReturn,1MaxReturn,ComputeUpdatedDistTime,0StdReturn,1NumTrajs,LossBefore,1Entropy,ItrTime,MeanKLBefore,0ExplainedVariance,MeanKL,LossAfter
320.34467363357544,638.008179806,0.0,13400.0,179.64256501197815,157.8017053604126,1.0,17.0794,31.45,6.539555311203003,852.7676923274994,155.85534048080444,0.0,0.00117936448078,6.545117378234863,2.83788,0.0518526454095,1.00143,2000,17.1283,60.75,13100.0,1.1287827491760254,470.33594111,2000,-2.61934474111e-10,2.84073,852.767694234848,1.74618250415e-10,0.0276495666677,0.00655985390767,-0.00117936474271
314.2734544277191,859.129662798,0.0,15800.0,185.95282983779907,156.27079916000366,1.00358,17.2021,136.65,6.706147909164429,1709.4966027736664,158.02971386909485,0.0,0.0010403897395,6.425146818161011,2.84503,0.0583248852857,1.00282,2000,17.1759,115.85,15800.0,0.2570791244506836,980.281478709,2000,-2.18278728426e-11,2.84351,852.3700020313263,5.12228082172e-09,0.0658948913299,0.0060395533219,-0.00104038976133
334.9930489063263,1531.23316236,0.0,16300.0,196.65793800354004,162.53818345069885,1.00351,17.1995,236.6,6.92877721786499,2608.1420476436615,161.18277955055237,0.0,0.00189222563858,6.862091541290283,2.84488,0.101581640879,1.00372,2000,17.2068,300.05,19600.0,0.25788044929504395,1381.5572518,2000,-6.18456397206e-11,2.84531,893.6922538280487,1.16415532769e-09,0.0828633960847,0.00636266218498,-0.00189222570043
333.170371055603,2072.89938914,0.0,17200.0,201.56197094917297,162.44790196418762,1.00407,17.2187,414.25,6.96605372428894,3510.939024209976,162.16237258911133,0.0,0.00179633252264,6.8035242557525635,2.846,0.0944485616543,1.00342,2000,17.1963,447.15,17600.0,0.2636222839355469,1980.02069118,2000,-1.06228981167e-09,2.84469,897.8876979351044,-1.07684050565e-09,0.0904545737434,0.00746966758743,-0.00179633358493
333.6972756385803,3105.91834407,0.0,21900.0,198.7693076133728,163.13030219078064,0.997778,17.0034,735.65,6.879554271697998,4412.303850412369,162.12206840515137,0.0,0.00115639579599,6.885980129241943,2.83342,0.117775189625,0.998418,2000,17.0253,831.8,21500.0,0.25129127502441406,2967.0598372,2000,4.94765117764e-10,2.8347,896.3093521595001,3.78347714269e-10,0.109475289923,0.00592505605891,-0.00115639530122
332.6242697238922,3270.60907936,0.0,21800.0,197.90737867355347,162.9909427165985,0.997725,17.0016,834.2,6.962461471557617,5311.271865367889,162.07017946243286,0.0,0.00146955194941,6.864339590072632,2.83331,0.100904199364,0.996287,2000,16.9526,877.5,21200.0,0.2608017921447754,3171.86543851,2000,-1.61526259035e-09,2.83042,894.1467981338501,1.1030356184e-08,0.100221540454,0.00846823118627,-0.00146955356468
334.01624941825867,4576.43759271,0.0,22500.0,198.25140810012817,163.1774914264679,0.989227,16.7131,1587.25,7.011276721954346,6212.839302301407,162.4485182762146,0.0,0.00129031816323,6.87523341178894,2.81619,0.112471512211,0.989416,2000,16.7196,1616.4,22400.0,0.253612756729126,4452.91841802,2000,8.8766682893e-10,2.81658,896.4884617328644,-1.97905891675e-09,0.103326040007,0.00791776552796,-0.00129031727556
334.63259291648865,4830.40112206,0.0,23000.0,198.95217370986938,163.32696962356567,0.995295,16.9191,1741.65,7.011141538619995,7116.256398439407,162.6432831287384,0.0,0.00127464067191,6.938107252120972,2.82845,0.10317606509,0.994549,2000,16.8937,1915.0,22800.0,0.255460262298584,4756.68479905,2000,4.65661287308e-10,2.82694,898.4733002185822,2.09547312835e-09,0.112907619609,0.00590538652614,-0.00127464020625
334.8994574546814,5477.61156322,0.0,23400.0,199.17666840553284,163.6448531150818,0.993447,16.8563,2187.25,7.068013429641724,8021.11607837677,162.87449598312378,0.0,0.00108121084122,6.9513843059539795,2.82473,0.100878832255,0.993181,2000,16.8472,2231.25,23200.0,0.2547268867492676,5503.69080141,2000,-1.85536919162e-10,2.82418,899.5908348560333,-4.83123629991e-09,0.108699629333,0.00568610243499,-0.00108121102676
336.02726340293884,6032.26687055,0.0,22900.0,199.2184476852417,163.92286682128906,0.992707,16.8313,2395.4,7.002852201461792,8925.33130455017,162.05714201927185,0.0,0.00174020785926,6.981446981430054,2.82324,0.103036752763,0.992302,2000,16.8174,2645.95,23200.0,0.2682008743286133,5713.79810984,2000,6.62112142891e-10,2.82241,899.6075949668884,9.31320187636e-10,0.0949941031739,0.00912106316537,-0.00174020719714
331.96028780937195,6304.08539837,0.0,23100.0,199.89616346359253,162.78327560424805,0.98227,16.4789,2405.4,6.972605466842651,9826.989644527435,164.17559909820557,0.0,0.00128945027245,6.674549579620361,2.80208,0.104672983519,0.980716,2000,16.4268,2852.7,22900.0,0.2571530342102051,5844.11591603,2000,-1.68802216649e-09,2.79892,897.0412273406982,-9.31321797459e-10,0.0931308567081,0.00681144464761,-0.00128945196047
329.8897113800049,7029.98433835,0.0,22800.0,196.74318647384644,162.27605533599854,0.976639,16.2907,2844.25,6.466977119445801,10719.5077688694,160.88773107528687,0.0,0.00114986605331,6.499357461929321,2.79059,0.0988031116957,0.975499,2000,16.2527,3587.95,23100.0,0.24286484718322754,6137.35667348,2000,3.71073838323e-10,2.78826,887.2199544906616,1.86264426105e-09,0.0723436642564,0.00668289931491,-0.00114986568224
