MeanKLBefore,0Perplexity,1Perplexity,1AverageReturn,1PolicyExecTime,0NumTrajs,0AveragePolicyStd,0ExplainedVariance,2NumTrajs,0Entropy,1ProcessExecTime,1NumTrajs,1ExplainedVariance,0PolicyExecTime,0AverageReturn,1MinReturn,2MinReturn,2StdReturn,ComputeUpdatedDistTime,1MaxReturn,0StdReturn,2EnvExecTime,2Entropy,2PolicyExecTime,2AveragePolicyStd,1EnvExecTime,ItrTime,2AverageReturn,LossBefore,2ProcessExecTime,0ProcessExecTime,MeanKL,2ExplainedVariance,1StdReturn,0EnvExecTime,1Entropy,2MaxReturn,LossAfter,dLoss,Time,0MinReturn,0MaxReturn,1AveragePolicyStd,2Perplexity
0.00193463487085,17.0795,16.9738,28.5833333333,24.795218467712402,1200,1.0,0.052046639145,1200,2.83788,0.6304683685302734,1200,0.184260607474,14.950020551681519,13.75,0.0,0.0,230.887764341,0.39395904541015625,2300.0,107.94722862,14.027634143829346,2.84552,22.399725914001465,1.00383,14.523092985153198,114.9963927268982,45.0833333333,-0.00226193922572,0.6018691062927246,0.6444735527038574,0.00926594343036,0.203335389458,168.051558722,14.67099404335022,2.83167,2400.0,-0.00443700700998,0.00217506778426,114.99638795852661,0.0,1700.0,0.99691,17.2105
0.0042325030081,17.2058,17.2746,65.6666666667,22.442912578582764,1200,1.00375,0.0950509888377,1200,2.84525,0.600121259689331,1200,0.172117714167,17.172945261001587,27.75,0.0,0.0,284.460002558,0.08369731903076172,2000.0,175.133104143,14.35596227645874,2.85505,24.909756422042847,1.00878,14.072507858276367,115.42547273635864,59.0833333333,-0.00287386449054,0.6121249198913574,0.6615016460418701,0.00423250440508,0.226994555269,274.841570525,14.970686674118042,2.84924,2600.0,-0.00287386355922,-9.31322574615e-10,232.2361352443695,0.0,1800.0,1.00577,17.3753
0.00388188380748,17.2058,17.1994,74.4166666667,24.900238037109375,1200,1.00375,0.0981007484942,1200,2.84525,0.6085948944091797,1200,0.197821791845,14.869603633880615,23.3333333333,0.0,0.0,330.66595262,0.10733842849731445,2400.0,163.26529195,14.093013525009155,2.84702,22.679293632507324,1.00464,14.38142704963684,112.55654549598694,80.1666666667,-0.00382667919621,0.5987110137939453,0.6397852897644043,0.00863446108997,0.207329148121,309.009967027,14.549576044082642,2.84488,2600.0,-0.00728249084204,0.00345581164584,346.9540355205536,0.0,1800.0,1.00357,17.2364
0.0110669238493,17.4222,17.5148,92.3333333333,22.416562795639038,1200,1.01005,0.063369266157,1200,2.85775,0.59281325340271,1200,0.244093147374,17.22592067718506,23.25,0.0,0.0,353.877087497,0.08384275436401367,2500.0,156.261866216,14.482698440551758,2.87363,25.157525539398193,1.01816,14.051011562347412,115.94862580299377,92.0833333333,-0.00553604867309,0.62886643409729,0.6703503131866455,0.0110668987036,0.230993686189,364.999391171,15.020050764083862,2.86304,2500.0,-0.00553604960442,9.31322574615e-10,465.0748312473297,0.0,1800.0,1.01274,17.7012
0.00676541170105,17.4222,17.3879,89.5833333333,25.16817307472229,1200,1.01005,0.0893657313771,1200,2.85775,0.6228244304656982,1200,0.237267519442,14.513895273208618,23.9166666667,0.0,0.0,396.796197338,0.07870268821716309,2700.0,155.840708382,13.631222248077393,2.84844,22.03432321548462,1.00541,14.650093078613281,111.4376289844513,108.333333333,-0.00390112074092,0.5810015201568604,0.6354165077209473,0.00944673363119,0.293599400536,357.910360829,14.32264494895935,2.85577,2600.0,-0.00694416277111,0.00304304203019,578.2652943134308,0.0,1800.0,1.00908,17.2608
0.00661522476003,17.5402,17.5144,73.6666666667,22.72436833381653,1200,1.01344,0.132085900198,1200,2.8645,0.6021883487701416,1200,0.187376214666,16.959969758987427,31.1666666667,0.0,0.0,401.266320194,0.08540010452270508,2400.0,177.18720483,14.680015087127686,2.87119,25.36748456954956,1.01682,14.129391193389893,115.773104429245,113.916666667,-0.00260173971765,0.6308887004852295,0.6668944358825684,0.00881826225668,0.29180967727,305.733907544,14.87216329574585,2.86302,2300.0,-0.00375210982747,0.00115037010983,696.1447715759277,0.0,1800.0,1.01272,17.658
0.00733358599246,18.2456,18.5135,82.0833333333,24.919854640960693,1200,1.03358,0.0970048641585,1200,2.90392,0.6158418655395508,1200,0.207898721812,14.38214921951294,25.3333333333,0.0,0.0,386.48407147,0.08416938781738281,2400.0,168.547388654,13.987853050231934,2.92914,23.292312622070312,1.04673,14.388753890991211,112.29064631462097,110.25,-0.00299778301269,0.5991144180297852,0.6266031265258789,0.00882351677865,0.234543175218,330.561128571,14.104130506515503,2.9185,2600.0,-0.00468709785491,0.00168931484222,810.5214993953705,0.0,2200.0,1.04115,18.7116
0.00563732767478,18.4031,18.2878,75.9166666667,23.372628927230835,1200,1.03805,0.0594994139154,1200,2.91252,0.6038124561309814,1200,0.197224449369,16.33284282684326,20.5833333333,0.0,0.0,348.009328978,0.0810093879699707,2500.0,139.04912701,14.288299083709717,2.91063,24.006413459777832,1.03709,14.050950050354004,114.24701189994812,105.583333333,-0.00378820579499,0.610424280166626,0.6753971576690674,0.00844629947096,0.263912264436,297.228856364,14.97145962715149,2.90623,2500.0,-0.00638392847031,0.00259572267532,926.7681500911713,0.0,1500.0,1.0348,18.3683
0.0225335583091,18.5092,18.4266,110.666666667,23.794020652770996,1200,1.04109,0.0694956689193,1200,2.91827,0.6094121932983398,1200,0.253331248347,15.557607889175415,24.5833333333,0.0,0.0,400.609223558,0.08003878593444824,2800.0,153.364466948,20.43381404876709,2.9194,33.37099075317383,1.04163,14.18666386604309,129.91745972633362,146.5,-0.00658894982189,0.8621821403503418,0.6495234966278076,0.0225335713476,0.291422155339,371.89096371,14.478547096252441,2.91379,2600.0,-0.00658895261586,2.79396772385e-09,1058.5148582458496,0.0,2000.0,1.03879,18.5302
0.00946965441108,18.5092,18.4685,100.333333333,34.559953689575195,1200,1.04109,0.108673166843,1200,2.91827,0.8858277797698975,1200,0.230056707479,21.21518063545227,33.8333333333,0.0,0.0,486.076097152,0.08409857749938965,2500.0,189.134799078,21.027064085006714,2.92449,34.10904335975647,1.04449,21.217561721801758,161.62603569030762,193.166666667,-0.0023852782324,0.8889904022216797,0.9018456935882568,0.00988498143852,0.340513323473,355.246236981,20.76861047744751,2.91606,2800.0,-0.00351308472455,0.00112780649215,1221.9849264621735,0.0,2000.0,1.03999,18.6247
