MeanKL,AverageReturn,LossBefore,ItrTime,AveragePolicyStd,StdReturn,Time,MaxKL,NumTrajs,MaxReturn,MinReturn,ExplainedVariance,LossAfter,Entropy,TotalExecTime,Perplexity
0.0,0.0,-0.0,13.465371131896973,0.55714,0.0,13.465364456176758,0.0,200,0.0,0.0,1,-0.0,1.66796,13.361215591430664,5.30132
0.0,0.0,-0.0,13.479290246963501,0.55714,0.0,26.947828769683838,0.0,200,0.0,0.0,1,-0.0,1.66796,13.408055067062378,5.30132
0.0,0.0,-0.0,13.24779486656189,0.55714,0.0,40.20236396789551,0.0,200,0.0,0.0,1,-0.0,1.66796,13.19297194480896,5.30132
0.0,0.0,-0.0,13.337501287460327,0.55714,0.0,53.544798135757446,0.0,200,0.0,0.0,1,-0.0,1.66796,13.286384105682373,5.30132
0.0,0.0,-0.0,13.349395990371704,0.55714,0.0,66.89895558357239,0.0,200,0.0,0.0,1,-0.0,1.66796,13.26973843574524,5.30132
0.0,0.0,-0.0,13.558873414993286,0.55714,0.0,80.47609877586365,0.0,200,0.0,0.0,1,-0.0,1.66796,13.461195230484009,5.30132
0.0,0.0,-0.0,13.338533163070679,0.55714,0.0,93.81743741035461,0.0,200,0.0,0.0,1,-0.0,1.66796,13.254595041275024,5.30132
0.0,0.0,-0.0,13.384605884552002,0.55714,0.0,107.21111536026001,0.0,200,0.0,0.0,1,-0.0,1.66796,13.32630205154419,5.30132
0.0,0.0,-0.0,13.279219627380371,0.55714,0.0,120.494624376297,0.0,200,0.0,0.0,1,-0.0,1.66796,13.214714288711548,5.30132
0.0,0.0,-0.0,13.383780479431152,0.55714,0.0,133.89056658744812,0.0,200,0.0,0.0,1,-0.0,1.66796,13.298013925552368,5.30132
0.0,0.0,-0.0,13.349823951721191,0.55714,0.0,147.246591091156,0.0,200,0.0,0.0,1,-0.0,1.66796,13.264544248580933,5.30132
0.0,0.0,-0.0,13.356502056121826,0.55714,0.0,160.61046433448792,0.0,200,0.0,0.0,1,-0.0,1.66796,13.293212175369263,5.30132
0.0,0.0,-0.0,13.379711389541626,0.55714,0.0,174.01575374603271,0.0,200,0.0,0.0,1,-0.0,1.66796,13.322415590286255,5.30132
0.0,0.0,-0.0,13.476884841918945,0.55714,0.0,187.49933624267578,0.0,200,0.0,0.0,1,-0.0,1.66796,13.398442029953003,5.30132
0.0,0.0,-0.0,13.328705787658691,0.55714,0.0,200.8407301902771,0.0,200,0.0,0.0,1,-0.0,1.66796,13.233213186264038,5.30132
0.0,0.0,-0.0,13.362160921096802,0.55714,0.0,214.20560956001282,0.0,200,0.0,0.0,1,-0.0,1.66796,13.308331489562988,5.30132
0.0,0.0,-0.0,13.321056604385376,0.55714,0.0,227.53744268417358,0.0,200,0.0,0.0,1,-0.0,1.66796,13.233825206756592,5.30132
0.0,0.0,-0.0,13.405951738357544,0.55714,0.0,240.9473168849945,0.0,200,0.0,0.0,1,-0.0,1.66796,13.340067148208618,5.30132
0.0,0.0,-0.0,13.33855152130127,0.55714,0.0,254.29356455802917,0.0,200,0.0,0.0,1,-0.0,1.66796,13.253816604614258,5.30132
0.0,0.0,-0.0,13.369808435440063,0.55714,0.0,267.669983625412,0.0,200,0.0,0.0,1,-0.0,1.66796,13.312618732452393,5.30132
0.0,0.0,-0.0,13.327803611755371,0.55714,0.0,281.00972175598145,0.0,200,0.0,0.0,1,-0.0,1.66796,13.256255149841309,5.30132
0.0,0.0,-0.0,13.325377464294434,0.55714,0.0,294.3460714817047,0.0,200,0.0,0.0,1,-0.0,1.66796,13.247151374816895,5.30132
0.0,0.0,-0.0,13.310479164123535,0.55714,0.0,307.67620849609375,0.0,200,0.0,0.0,1,-0.0,1.66796,13.235923051834106,5.30132
0.0,0.0,-0.0,13.440091609954834,0.55714,0.0,321.12005043029785,0.0,200,0.0,0.0,1,-0.0,1.66796,13.346698522567749,5.30132
0.0,0.0,-0.0,13.374844551086426,0.55714,0.0,334.49853110313416,0.0,200,0.0,0.0,1,-0.0,1.66796,13.310016870498657,5.30132
0.0,0.0,-0.0,13.495028495788574,0.55714,0.0,348.0028054714203,0.0,200,0.0,0.0,1,-0.0,1.66796,13.436007022857666,5.30132
0.0,0.0,-0.0,13.416791915893555,0.55714,0.0,361.4320077896118,0.0,200,0.0,0.0,1,-0.0,1.66796,13.33381700515747,5.30132
0.0,0.0,-0.0,13.37955617904663,0.55714,0.0,374.8156225681305,0.0,200,0.0,0.0,1,-0.0,1.66796,13.311171293258667,5.30132
0.0,0.0,-0.0,13.242467403411865,0.55714,0.0,388.0632562637329,0.0,200,0.0,0.0,1,-0.0,1.66796,13.150848865509033,5.30132
0.0,0.0,-0.0,13.335523843765259,0.55714,0.0,401.40405678749084,0.0,200,0.0,0.0,1,-0.0,1.66796,13.225062847137451,5.30132
0.0,0.0,-0.0,13.376810312271118,0.55714,0.0,414.7847330570221,0.0,200,0.0,0.0,1,-0.0,1.66796,13.285589456558228,5.30132
0.0,0.0,-0.0,13.487427473068237,0.55714,0.0,428.27586674690247,0.0,200,0.0,0.0,1,-0.0,1.66796,13.42945408821106,5.30132
0.0,0.0,-0.0,13.311251401901245,0.55714,0.0,441.60003995895386,0.0,200,0.0,0.0,1,-0.0,1.66796,13.203017234802246,5.30132
0.0,0.0,-0.0,13.372513771057129,0.55714,0.0,454.9753911495209,0.0,200,0.0,0.0,1,-0.0,1.66796,13.285137414932251,5.30132
0.0,0.0,-0.0,13.363848447799683,0.55714,0.0,468.3438501358032,0.0,200,0.0,0.0,1,-0.0,1.66796,13.277523040771484,5.30132
0.0,0.0,-0.0,13.511693000793457,0.55714,0.0,481.8605420589447,0.0,200,0.0,0.0,1,-0.0,1.66796,13.445878267288208,5.30132
0.0,0.0,-0.0,13.265433311462402,0.55714,0.0,495.13595366477966,0.0,200,0.0,0.0,1,-0.0,1.66796,13.194520950317383,5.30132
0.0,0.0,-0.0,13.24349594116211,0.55714,0.0,508.38434958457947,0.0,200,0.0,0.0,1,-0.0,1.66796,13.188672065734863,5.30132
0.0,0.0,-0.0,13.389093160629272,0.55714,0.0,521.7952179908752,0.0,200,0.0,0.0,1,-0.0,1.66796,13.322107076644897,5.30132
0.0,0.0,-0.0,13.299227237701416,0.55714,0.0,535.110365152359,0.0,200,0.0,0.0,1,-0.0,1.66796,13.1998131275177,5.30132
0.0,0.0,-0.0,13.178332090377808,0.55714,0.0,548.2917459011078,0.0,200,0.0,0.0,1,-0.0,1.66796,13.12420392036438,5.30132
0.0,0.0,-0.0,13.377766132354736,0.55714,0.0,561.677708864212,0.0,200,0.0,0.0,1,-0.0,1.66796,13.306151390075684,5.30132
0.0,0.0,-0.0,13.348207473754883,0.55714,0.0,575.0312914848328,0.0,200,0.0,0.0,1,-0.0,1.66796,13.272313594818115,5.30132
0.0,0.0,-0.0,13.593248128890991,0.55714,0.0,588.6292018890381,0.0,200,0.0,0.0,1,-0.0,1.66796,13.516347408294678,5.30132
0.0,0.0,-0.0,13.324897050857544,0.55714,0.0,601.960013628006,0.0,200,0.0,0.0,1,-0.0,1.66796,13.24236536026001,5.30132
0.0,0.0,-0.0,13.409203052520752,0.55714,0.0,615.3803596496582,0.0,200,0.0,0.0,1,-0.0,1.66796,13.345848321914673,5.30132
0.0,0.0,-0.0,13.395541906356812,0.55714,0.0,628.7913820743561,0.0,200,0.0,0.0,1,-0.0,1.66796,13.292654037475586,5.30132
0.0,0.0,-0.0,13.244547128677368,0.55714,0.0,642.0393221378326,0.0,200,0.0,0.0,1,-0.0,1.66796,13.163718461990356,5.30132
0.0,0.0,-0.0,13.444826364517212,0.55714,0.0,655.4873447418213,0.0,200,0.0,0.0,1,-0.0,1.66796,13.362272500991821,5.30132
0.0,0.0,-0.0,13.313244104385376,0.55714,0.0,668.8050537109375,0.0,200,0.0,0.0,1,-0.0,1.66796,13.208670616149902,5.30132
