0AveragePolicyStd,dLoss,1MaxReturn,0ExplainedVariance,1StdReturn,1ExplainedVariance,0Entropy,LossAfter,0NumTrajs,1PolicyExecTime,1AverageReturn,0EnvExecTime,1Entropy,0ProcessExecTime,0Perplexity,Time,LossBefore,1AveragePolicyStd,0AverageReturn,0MaxReturn,1ProcessExecTime,MeanKL,1EnvExecTime,0PolicyExecTime,0MinReturn,1MinReturn,ComputeUpdatedDistTime,0StdReturn,1Perplexity,MeanKLBefore,1NumTrajs,ItrTime
1.0,0.00411128471023,800.0,0.0330747012632,43.9184060377,0.0489196472482,2.83788,-0.00411128625274,1200,35.283576250076294,3.58333333333,14.597386598587036,2.8358,0.6604011058807373,17.0795,95.23590016365051,-1.54250301421e-09,0.998969,2.66666666667,700.0,0.9817450046539307,0.00652514770627,22.00075602531433,16.99425745010376,0.0,0.0,0.7374520301818848,35.7242525775,17.044,-2.4811028787e-09,1200,95.23590683937073
1.00645,0.00417859660229,1000.0,0.0331513759321,70.8282351106,0.0584339797548,2.85073,-0.00417859852314,1200,28.318732976913452,8.16666666667,19.347039937973022,2.84791,0.8637292385101318,17.3005,186.82232856750488,-1.92085281014e-09,1.00505,4.33333333333,1100.0,0.7385597229003906,0.00651908991858,16.667028188705444,20.59577512741089,0.0,0.0,0.08039021492004395,54.447732327,17.2517,2.32831115499e-10,1200,89.82890033721924
0.997741,0.00539061287418,1600.0,0.0373554627823,147.247995648,0.120408518462,2.83335,-0.00539061287418,1200,23.7900071144104,23.8333333333,15.531933546066284,2.83633,0.715825080871582,17.0024,262.01528429985046,0.0,0.999236,7.16666666667,1200.0,0.6213693618774414,0.00687167420983,13.709680557250977,16.01801609992981,0.0,0.0,0.0742805004119873,67.9360401816,17.053,-2.81724901185e-08,1200,73.43874502182007
0.993414,0.007706249482,1900.0,0.0567992829334,320.855789257,0.241061052244,2.82466,-0.0077062533237,1200,26.39580011367798,108.75,14.182029724121094,2.8226,0.6592197418212891,16.8552,338.12037205696106,-3.84170562029e-09,0.992395,18.1666666667,1400.0,0.6485915184020996,0.00863750651479,14.371891975402832,14.979608058929443,0.0,0.0,0.08194637298583984,120.013772358,16.8205,2.09547601493e-09,1200,74.32808375358582
0.988697,0.00912472873461,2200.0,0.046741021929,512.619897899,0.319803355239,2.81497,-0.00912473071367,1200,25.94093680381775,270.916666667,14.317694187164307,2.81491,0.6630685329437256,16.6926,414.03244638442993,-1.97906047106e-09,0.988673,24.0833333333,1700.0,0.6483216285705566,0.00715353339911,14.278650999069214,14.973118543624878,0.0,0.0,0.07946085929870605,147.913239397,16.6917,2.6193471836e-09,1200,73.9818606376648
0.978313,0.00928640319034,2500.0,0.0610124530595,624.490903768,0.368704145579,2.79363,-0.00928640086204,1200,23.592284202575684,406.666666667,14.8692147731781,2.79451,0.6948871612548828,16.3402,489.21661710739136,2.32830643654e-09,0.978708,38.8333333333,1600.0,0.619638204574585,0.00859541911632,13.576297760009766,15.574894666671753,0.0,0.0,0.0777750015258789,176.848255732,16.3546,1.34459510193e-08,1200,73.32033014297485
0.959782,0.00945784873329,2600.0,0.0716530874924,738.821203562,0.427437490891,2.7552,-0.00945784710348,1200,22.28767967224121,618.75,14.530742645263672,2.75847,0.6863470077514648,15.7242,561.7848653793335,1.62981450558e-09,0.961384,34.0833333333,1600.0,0.6152913570404053,0.0073464801535,13.214159727096558,14.816668510437012,0.0,0.0,0.1152181625366211,175.061873982,15.7757,-2.32830266178e-09,1200,70.41005325317383
0.943032,0.00983072712552,2500.0,0.0627381632709,769.220271697,0.442598475216,2.71954,-0.00983072817326,1200,23.64034914970398,649.583333333,13.209168434143066,2.72101,0.6327722072601318,15.1733,634.267541885376,-1.04773789644e-09,0.943755,35.0833333333,1600.0,0.6132245063781738,0.00667996751145,13.08689284324646,15.998423337936401,0.0,0.0,0.07511496543884277,173.23633103,15.1956,9.31322186037e-10,1200,70.25328063964844
0.930493,0.00970397341007,2500.0,0.0874707388576,830.832915413,0.463615282637,2.69332,-0.00970397423953,1200,25.94943881034851,770.0,13.126927375793457,2.69913,0.6368191242218018,14.7806,707.1927959918976,-8.29459168017e-10,0.933149,40.4166666667,1700.0,0.6156344413757324,0.0067753251642,13.314676761627197,14.412455320358276,0.0,0.0,0.08382654190063477,194.828539291,14.8668,1.49011807338e-08,1200,71.16178131103516
0.920093,0.00930787035031,2800.0,0.101190167227,897.083975847,0.498357342313,2.6709,-0.00930787436664,1200,25.547948360443115,841.416666667,13.551559925079346,2.67134,0.6550571918487549,14.4529,780.5807421207428,-4.01632860303e-09,0.920287,34.5,1800.0,0.6106102466583252,0.00722625013441,13.098405599594116,15.177401304244995,0.0,0.0,0.07451725006103516,184.281713689,14.4593,-1.86264470514e-09,1200,71.69752812385559
