Perplexity,Entropy,LossBefore,MaxReturn,AverageReturn,TotalExecTime,LossAfter,AveragePolicyStd,NumTrajs,MinReturn,StdReturn,ExplainedVariance,ItrTime,MaxKL,MeanKL,Time
6.98539,1.94382,-2.67009e-05,3000.0,2687.5,21.146109342575073,-0.00370991,0.640123,200,2400.0,108.137643769,0.995317933329,21.24333429336548,0.240865,0.0277185,633.2922978401184
6.9853,1.94381,0.00197236,3000.0,2669.0,21.50387144088745,-0.0042698,0.640109,200,2300.0,115.494588618,0.99494675954,21.62800621986389,0.351762,0.0499844,654.9240684509277
6.99219,1.94479,-0.000687633,3000.0,2679.0,21.39422369003296,-0.00788623,0.640389,200,2300.0,130.226725368,0.993900478023,21.453047275543213,0.429468,0.0771614,676.3812539577484
6.98979,1.94445,-0.0134802,3000.0,2673.5,20.86015748977661,-0.0369954,0.640335,200,2400.0,110.216831745,0.995050721395,20.956624746322632,1.54035,0.181627,697.3546569347382
6.94283,1.93771,0.00522562,3000.0,2684.5,20.91999363899231,-0.0243093,0.63819,200,2400.0,114.497816573,0.994507839691,21.044212102890015,2.24772,0.377079,718.4035334587097
6.961,1.94032,-0.00457746,3000.0,2689.0,23.22735333442688,-0.00980028,0.63892,200,2400.0,112.15614116,0.994718015424,23.324943780899048,0.285787,0.0555635,741.7343204021454
6.94508,1.93803,-0.00115078,3000.0,2675.0,23.032650232315063,-0.0138557,0.63821,200,2400.0,121.552457811,0.994179584632,23.107635736465454,1.79934,0.134172,764.8452281951904
6.94108,1.93746,-0.0276597,2900.0,2668.0,23.05011558532715,-0.0345385,0.637941,200,2200.0,128.747815515,0.993994544817,23.127100944519043,0.289891,0.0320088,787.9857959747314
6.84575,1.92363,0.00584682,3000.0,2679.5,22.866312503814697,0.00111397,0.633613,200,2400.0,120.123894376,0.994442635396,22.96475315093994,0.196467,0.032471,810.9601702690125
6.86579,1.92655,-0.00166928,3000.0,2679.0,22.961275339126587,-0.00852911,0.634557,200,2200.0,128.292634239,0.994705841788,23.039774179458618,0.285355,0.0607629,834.0095489025116
6.86006,1.92572,-0.00344843,2900.0,2664.0,23.106425762176514,-0.00424937,0.63421,200,2300.0,110.018180316,0.994576308703,23.269465923309326,0.0319702,0.00333228,857.2895312309265
6.84825,1.92399,0.00154858,3000.0,2687.5,23.498520135879517,-0.0156818,0.633672,200,2400.0,109.97158724,0.995516639818,23.56279158592224,0.913981,0.133469,880.8623783588409
6.85355,1.92477,0.0106806,3100.0,2703.0,22.84494400024414,-0.0013392,0.633939,200,2400.0,113.097303239,0.994928116442,22.919941425323486,0.983211,0.14852,903.7879683971405
6.89025,1.93011,-0.00866205,3000.0,2679.5,23.546593189239502,-0.0325437,0.63559,200,2400.0,109.22339493,0.995051370923,23.698118209838867,1.40914,0.31266,927.4999420642853
6.86047,1.92578,0.00262703,3000.0,2700.0,25.542210578918457,-0.00181556,0.63426,200,2400.0,117.898261226,0.995047329254,25.638479948043823,0.359937,0.0412437,953.1498119831085
6.86949,1.92709,-0.0256493,3000.0,2687.5,24.35650944709778,-0.0592513,0.634658,200,2300.0,114.864050077,0.994555222348,24.489515781402588,3.29262,0.271594,977.642450094223
6.78195,1.91426,-0.00823482,3000.0,2685.0,25.006168842315674,-0.0264365,0.63056,200,2400.0,115.650335062,0.995066896047,25.272055864334106,2.00703,0.280794,1002.9189991950989
6.75409,1.91015,0.00904924,2900.0,2681.0,27.122272968292236,-0.00772829,0.629117,200,2400.0,108.807168881,0.9947749117,27.209168910980225,1.03075,0.192136,1030.1375324726105
6.78472,1.91467,0.00396201,2900.0,2680.0,27.737208366394043,-0.00323626,0.630502,200,2400.0,111.803398875,0.995076319665,27.879399061203003,0.854415,0.0936908,1058.0338745117188
6.79817,1.91665,0.00155048,3000.0,2692.5,26.19687533378601,-0.00126588,0.631145,200,2400.0,118.717100706,0.994443715657,26.42170023918152,0.166969,0.0148765,1084.4646747112274
6.80344,1.91743,-0.00322113,3000.0,2687.0,28.09394907951355,-0.0168435,0.631371,200,2300.0,114.590575529,0.994641246211,28.303287982940674,0.61567,0.0914291,1112.787483215332
