ItrTime,MaxReturn,Entropy,Perplexity,Time,NumTrajs,LossBefore,ExplainedVariance,LossAfter,MeanKL,MinReturn,AveragePolicyStd,StdReturn,AverageReturn,MaxKL,TotalExecTime
35.598493337631226,2600.0,2.83788,17.0795,35.59848666191101,200,0.00703477,0.643886004692,-0.0984365,0.517982,0.0,1.0,361.944747165,86.0,33.8479,35.24080228805542
33.85162925720215,2700.0,2.84491,17.2001,69.46516823768616,200,-0.00998933,0.751983033192,-0.0114269,0.000598075,0.0,1.00357,742.845710764,330.5,0.0185202,33.47905421257019
36.15771794319153,2700.0,2.83992,17.1143,105.63663816452026,200,-0.00240669,0.75057331705,-0.0132921,0.0207067,0.0,1.00105,755.928402694,341.5,0.356464,35.882843017578125
33.934521198272705,2800.0,2.83871,17.0938,139.59958934783936,200,-0.00455706,0.74276498098,-0.00777879,0.00335931,0.0,1.00044,855.604902978,434.5,0.0674591,33.62829232215881
35.812166929244995,2700.0,2.83643,17.0549,175.43254446983337,200,0.00544348,0.704410928335,-0.0148199,0.0207848,0.0,0.999293,812.846233921,409.0,1.70254,35.44551920890808
35.71562647819519,2700.0,2.83916,17.1013,211.16034030914307,200,-0.0142596,0.728500152763,-0.0268576,0.0151398,0.0,1.00064,996.365269367,662.5,0.889363,35.4659628868103
35.68980288505554,2800.0,2.83203,16.9798,246.86333584785461,200,-0.000722773,0.7114367797,-0.00400159,0.00254398,0.0,0.997081,901.985448885,516.5,0.0822217,35.41078162193298
36.82554006576538,2900.0,2.83167,16.9737,283.71512031555176,200,-0.00986201,0.769848177822,-0.020671,0.01851,0.0,0.996911,984.928423795,696.0,0.23564,36.47308611869812
36.1218581199646,2700.0,2.82674,16.8902,319.84523725509644,200,-0.0210007,0.729326389818,-0.0401179,0.0269166,0.0,0.994463,1015.80989855,719.5,0.967798,35.84946250915527
34.629778146743774,2800.0,2.81623,16.7138,354.49534368515015,200,-0.00731677,0.723750208857,-0.0189412,0.0190348,0.0,0.989289,978.272840265,663.5,0.604055,34.41342544555664
34.875669956207275,2900.0,2.81258,16.6528,389.39922738075256,200,-0.00716798,0.754565363065,-0.0110959,0.00552969,0.0,0.987447,984.879561165,646.5,0.0963307,34.63232731819153
32.09870886802673,2800.0,2.80899,16.5932,421.512088060379,200,0.00475089,0.731701929463,-0.0262383,0.03686,0.0,0.985664,999.689826896,854.5,2.10502,31.755351781845093
34.177491188049316,2800.0,2.81137,16.6326,455.70347356796265,200,-0.00602107,0.708439538425,-0.011561,0.0110557,0.0,0.986833,1021.25364136,821.0,0.221357,33.828617095947266
34.82279992103577,2900.0,2.80836,16.5827,490.5380735397339,200,0.0184686,0.71268757133,-0.0120633,0.0518801,0.0,0.98535,1048.85640104,1049.5,2.48457,34.54915118217468
34.01813578605652,2900.0,2.81759,16.7365,524.5772902965546,200,-0.0107011,0.74082647079,-0.0194144,0.0209918,0.0,0.989909,1068.33094123,1263.0,0.565251,33.645989656448364
34.721956968307495,3000.0,2.81224,16.6472,559.3150382041931,200,-0.00457871,0.719575856641,-0.0181885,0.0270932,0.0,0.987266,1008.62480636,1376.0,0.348217,34.45966553688049
33.49137234687805,2900.0,2.80995,16.6091,592.8233590126038,200,0.000378,0.729376149273,-0.00738611,0.0127456,0.0,0.986145,970.972579427,1521.5,0.103256,33.22109031677246
35.4548442363739,3000.0,2.81014,16.6122,628.3004150390625,200,-0.015924,0.744491964953,-0.0247273,0.0149016,0.0,0.98623,894.125131064,1690.5,0.190406,35.13618087768555
34.31458330154419,2900.0,2.80218,16.4805,662.6272532939911,200,-0.0314464,0.793261371658,-0.0469975,0.0432375,0.0,0.98231,814.443982113,1891.0,1.00675,34.02255916595459
34.94137692451477,2900.0,2.78645,16.2234,697.5838177204132,200,-0.016612,0.821131905514,-0.0248544,0.0195341,0.0,0.974617,786.421642632,1971.0,0.402385,34.685750007629395
35.65910267829895,3000.0,2.77815,16.0892,733.2561409473419,200,-0.031375,0.905203367599,-0.0382405,0.109842,0.0,0.970578,537.84291387,2215.0,13.0829,35.5128538608551
35.666746377944946,2900.0,2.76246,15.8388,768.9305222034454,200,-0.00816762,0.897381145436,-0.0179659,0.031131,0.0,0.962997,515.626803027,2273.0,0.551072,35.44007587432861
36.44030427932739,2900.0,2.75838,15.7742,805.3877539634705,200,-0.0191273,0.934863925318,-0.027129,0.0182195,0.0,0.961032,441.893369491,2344.5,0.29696,36.15526080131531
36.106910943984985,2900.0,2.74881,15.6241,841.5147385597229,200,-0.0203122,0.951862945209,-0.0291708,0.0228057,300.0,0.956471,349.340807808,2431.0,0.232509,35.78359270095825
35.685863733291626,3000.0,2.73866,15.4662,877.217767238617,200,-0.0490985,0.974839616207,-0.0587018,0.0307026,1200.0,0.951629,279.988839063,2507.5,0.2618,35.36834096908569
35.00453424453735,3000.0,2.71411,15.0912,912.2347135543823,200,-0.0384629,0.975458988853,-0.0429854,0.00428785,1200.0,0.940027,254.79207209,2541.0,0.062798,34.67914342880249
36.52189803123474,3000.0,2.69488,14.8037,948.7721197605133,200,-0.0276978,0.975311648299,-0.0319025,0.0060318,1500.0,0.931009,235.052653676,2524.5,0.128507,36.205809593200684
33.976378202438354,2900.0,2.68103,14.6001,982.7633481025696,200,-0.0473485,0.982630022127,-0.0531281,0.0116335,1400.0,0.924573,219.339348955,2559.5,0.115,33.66748762130737
34.902392864227295,3000.0,2.65735,14.2585,1017.6764261722565,200,-0.0348519,0.984553532675,-0.0410566,0.0200812,1600.0,0.913717,212.155014082,2559.5,0.246209,34.65152978897095
