MaxKL,Perplexity,NumTrajs,MinReturn,TotalExecTime,StdReturn,Entropy,Time,ExplainedVariance,MaxReturn,ItrTime,MeanKL,AverageReturn,LossAfter,AveragePolicyStd,LossBefore
0.0,11.4353,40,0.0,3.6913931369781494,0.0,2.4367,3.753748893737793,1,0.0,3.753755807876587,0.0,0.0,-0.0,0.82843,-0.0
0.241246,11.4353,40,0.0,3.9554283618927,140.512454964,2.4367,7.777620792388916,0.52633392436,900.0,4.019104480743408,0.0155184,22.5,-0.000790089,0.82843,0.0143166
0.227657,11.5174,40,0.0,4.181344985961914,442.464687857,2.44386,12.02437973022461,0.587894927562,2400.0,4.241542339324951,0.0181627,115.0,-0.00197119,0.830817,0.00857837
1.17898,11.5669,40,0.0,4.176747798919678,1234.68366394,2.44815,16.241885662078857,0.496296461537,4000.0,4.20715069770813,0.187429,717.5,-0.0562141,0.832458,0.0178879
0.124397,11.6709,40,4400.0,4.223447799682617,565.414670839,2.45709,20.521700620651245,0.919305352882,7000.0,4.2751898765563965,0.0563061,5892.5,-0.0633457,0.836304,-0.0487726
1.40577,11.3897,40,3500.0,4.5615317821502686,779.098036193,2.43271,25.165428161621094,0.823503851769,6600.0,4.6370203495025635,0.819081,5127.5,-0.154677,0.826292,-0.0421578
2.09747,11.1521,40,0.0,4.315898895263672,634.896645132,2.41163,29.534148931503296,0.194373607437,2900.0,4.3623199462890625,1.26022,812.5,-0.147829,0.817421,0.0298814
