MaxKL,Time,Perplexity,MinReturn,StdReturn,AveragePolicyStd,LossBefore,TotalExecTime,MaxReturn,MeanKL,Entropy,AverageReturn,LossAfter,ExplainedVariance,NumTrajs,ItrTime
0.0248393,16.558423042297363,17.2706,0.0,90.0,1.00568,-0.00300443,16.334792375564575,300.0,0.00168955,2.849,30.0,-0.00626652,0.308444583859,20,16.558429479599
0.0,33.265440940856934,17.2187,0.0,0.0,1.00421,-0.0,16.405015468597412,0.0,0.0,2.846,0.0,-0.0,1,20,16.698703289031982
612.802,47.73695421218872,17.2187,0.0,124.49899598,1.00421,0.0192193,14.199612140655518,400.0,11.7834,2.846,50.0,3.06857,0.259813965061,20,14.452039003372192
11.6923,62.196842432022095,17.385,0.0,108.972473589,1.00902,-0.00181978,14.307411909103394,500.0,0.0568144,2.85561,25.0,-0.0854741,0.122138803474,20,14.449233055114746
0.0,79.01118206977844,17.3692,0.0,0.0,1.00864,-0.0,16.64570665359497,0.0,0.0,2.8547,0.0,-0.0,1,20,16.782692432403564
0.0,94.88583660125732,17.3692,0.0,0.0,1.00864,-0.0,15.622467279434204,0.0,0.0,2.8547,0.0,-0.0,1,20,15.845691442489624
0.949445,110.25548005104065,17.3692,0.0,43.5889894354,1.00864,0.00166303,15.109236240386963,200.0,0.0051092,2.8547,10.0,-0.00241018,0.0502171911982,20,15.324051856994629
