1PolicyExecTime,Time,0NumTrajs,0AveragePolicyStd,LossBefore,1Perplexity,0Perplexity,ComputeUpdatedDistTime,0PolicyExecTime,1MinReturn,1AverageReturn,0StdReturn,1AveragePolicyStd,MeanKL,dLoss,0MaxReturn,1ExplainedVariance,MeanKLBefore,0ProcessExecTime,1StdReturn,0EnvExecTime,0AverageReturn,1EnvExecTime,0Entropy,1ProcessExecTime,ItrTime,1MaxReturn,1NumTrajs,LossAfter,1Entropy,0MinReturn,0ExplainedVariance
12.45905065536499,47.452460289001465,400,1.0,1.47410905704e-09,17.1495,17.0795,5.04807186126709,2.149428367614746,0.0,99.25,164.377423937,1.00216,0.00742264650762,0.00585162135103,1300.0,0.0657176434911,2.4054318537e-09,0.3425414562225342,168.298655669,8.77729868888855,89.75,12.160513877868652,2.83788,0.4190835952758789,47.45246863365173,1500.0,400,-0.00585161987692,2.84197,0.0,0.0498038246874
11.987164974212646,84.63850355148315,400,0.997068,9.89530235529e-10,17.0067,16.9781,0.29305005073547363,1.6089651584625244,0.0,104.75,132.517923316,0.997998,0.00652632862329,0.00599817192415,1000.0,0.0775125716546,5.5879394445e-09,0.2556443214416504,157.646558795,7.469654560089111,67.0,11.339219093322754,2.83192,0.38051390647888184,36.22280240058899,1000.0,400,-0.00599817093462,2.83361,0.0,0.048425321528
12.46330451965332,123.10044026374817,400,1.00871,-1.16706366793e-09,17.2601,17.3776,0.31072306632995605,1.832719087600708,0.0,141.5,170.988120932,1.00541,0.00738499406725,0.00637534563139,900.0,0.0956617992391,-3.79513975801e-09,0.32335638999938965,212.197431653,8.446765661239624,111.75,11.971414804458618,2.85518,0.41991400718688965,38.4554500579834,1800.0,400,-0.00637534679845,2.8484,0.0,0.074528993279
12.475967407226562,161.92064452171326,400,1.00895,2.21189150329e-10,17.3873,17.3866,0.3112361431121826,1.6066346168518066,0.0,174.0,207.816625899,1.00909,0.00914511457086,0.00808885715669,1300.0,0.0906929495,-4.55184068215e-09,0.268204927444458,233.717778528,7.3321332931518555,121.5,12.614357948303223,2.8557,0.4193897247314453,37.857017993927,1500.0,400,-0.0080888569355,2.85574,0.0,0.0704334878474
12.452966690063477,199.37120175361633,400,1.00249,-1.16415349583e-10,17.0463,17.1645,0.29103755950927734,1.5848355293273926,0.0,312.0,348.189513771,0.99914,0.0091709215194,0.00854285515379,2100.0,0.122502183201,3.11993253455e-09,0.2571547031402588,355.395554277,7.328874588012695,226.25,12.367518424987793,2.84284,0.40905284881591797,37.44480776786804,1600.0,400,-0.00854285527021,2.83593,0.0,0.0801188376821
12.579395771026611,238.9775791168213,400,0.996971,-1.03609631985e-09,16.9572,16.9733,0.3052408695220947,1.7275941371917725,0.0,321.5,338.443126685,0.996744,0.00997441262007,0.00805376832141,1900.0,0.12139513919,-6.98490376649e-10,0.2882840633392334,382.475816229,8.125316143035889,212.5,12.542803525924683,2.83164,0.42119336128234863,38.75243639945984,2400.0,400,-0.0080537693575,2.83069,0.0,0.0639565002311
12.47585654258728,277.0538818836212,400,0.994818,7.10133507553e-10,16.8755,16.8996,0.30284738540649414,1.7241380214691162,0.0,366.5,363.892068476,0.994263,0.00739729730412,0.00702356199035,1800.0,0.117143965283,1.7695135357e-09,0.2671036720275879,428.634751274,8.046459436416626,234.75,12.159530401229858,2.82729,0.402240514755249,38.06683135032654,2000.0,400,-0.00702356128022,2.82586,0.0,0.054000482769
12.330198764801025,314.2893645763397,400,0.988225,1.01281338871e-09,16.8102,16.6776,0.3008108139038086,1.494279146194458,0.0,484.75,330.801205409,0.99228,0.00968749448657,0.00943677042378,1800.0,0.144138093456,-5.75673242409e-09,0.22197484970092773,554.790444673,6.337910175323486,193.25,12.41390061378479,2.81406,0.41750144958496094,36.380478382110596,2600.0,400,-0.00943676941097,2.82199,0.0,0.0462702063714
13.070378303527832,351.73914217948914,400,0.97593,2.32829866498e-11,16.3759,16.264,0.2855551242828369,1.4963994026184082,0.0,590.0,481.322137451,0.979416,0.00772037124261,0.00712681098375,2300.0,0.154472625434,5.35510413791e-10,0.2477409839630127,674.240313242,6.732083559036255,323.0,12.321939945220947,2.78895,0.45122265815734863,37.44306540489197,2900.0,400,-0.00712681096047,2.79581,0.0,0.0700180815462
12.324284076690674,390.2336368560791,400,0.962419,-2.91038304567e-09,15.671,15.8116,0.31642889976501465,1.772735357284546,0.0,576.0,571.024517862,0.958315,0.00851247180253,0.00870795070659,2600.0,0.141720981807,-1.14087042036e-08,0.2933328151702881,684.342019753,8.002229690551758,441.0,11.667843580245972,2.76075,0.39731907844543457,37.57911443710327,3000.0,400,-0.00870795361698,2.75181,0.0,0.103924486213
11.509387016296387,424.5888729095459,400,0.944939,5.15137710266e-10,15.2748,15.2345,0.3020315170288086,1.6045033931732178,0.0,660.0,463.338361783,0.946439,0.0088604670018,0.00537511944131,3400.0,0.191800980633,1.39698433377e-10,0.2658374309539795,817.587915762,6.9088544845581055,264.75,10.737905025482178,2.72356,0.3587687015533447,34.34944486618042,3200.0,400,-0.00537511892617,2.7262,0.0,0.0606639579534
11.876194953918457,461.14303612709045,400,0.946304,1.40717015817e-09,15.2624,15.2804,0.3017997741699219,1.6833486557006836,0.0,836.75,477.944557454,0.945889,0.00994449853897,0.00836008927872,2200.0,0.273982707108,3.26035642928e-09,0.2879657745361328,750.382860612,7.4285054206848145,363.0,11.112076997756958,2.72657,0.37775254249572754,35.72890567779541,2900.0,400,-0.00836008787155,2.72539,0.0,0.0841331753756
