1MaxReturn,ItrTime,MeanKL,0NumTrajs,ComputeUpdatedDistTime,0Entropy,1Perplexity,LossBefore,1AverageReturn,dLoss,1NumTrajs,MeanKLBefore,0ExplainedVariance,1StdReturn,0PolicyExecTime,1EnvExecTime,0AverageReturn,0EnvExecTime,1MinReturn,1AveragePolicyStd,LossAfter,1Entropy,1PolicyExecTime,0MinReturn,0Perplexity,Time,0ProcessExecTime,1ExplainedVariance,1ProcessExecTime,0AveragePolicyStd,0MaxReturn,0StdReturn
0.0,42.87828016281128,0.0,400,5.324885129928589,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,3.939748525619507,7.596094131469727,0.0,9.647615194320679,0.0,1.0,0.0,2.83788,8.872744083404541,0.0,17.0795,42.87827777862549,0.377504825592041,1,0.2958066463470459,1.0,0.0,0.0
0.0,32.59190917015076,0.0,400,0.30225181579589844,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.359855890274048,7.903005838394165,0.0,9.238923072814941,0.0,1.0,0.0,2.83788,9.286776304244995,0.0,17.0795,76.37358617782593,0.3390054702758789,1,0.3035135269165039,1.0,0.0,0.0
0.0,30.824509143829346,0.0,400,0.3083338737487793,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.191946268081665,7.526813268661499,0.0,8.37939453125,0.0,1.0,0.0,2.83788,8.903304815292358,0.0,17.0795,107.20294141769409,0.31428003311157227,1,0.2705223560333252,1.0,0.0,0.0
0.0,35.18745136260986,0.0,400,0.2929043769836426,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.4987025260925293,9.149731636047363,0.0,9.383585214614868,0.0,1.0,0.0,2.83788,10.057438850402832,0.0,17.0795,143.3096959590912,0.4030020236968994,1,0.325664758682251,1.0,0.0,0.0
0.0,35.21021628379822,0.0,400,0.31569385528564453,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.4990785121917725,8.940157413482666,0.0,9.527292966842651,0.0,1.0,0.0,2.83788,10.176587343215942,0.0,17.0795,178.5256588459015,0.3558993339538574,1,0.3320913314819336,1.0,0.0,0.0
0.0,36.12700915336609,0.0,400,0.3174574375152588,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.4530181884765625,9.494626998901367,0.0,9.222517490386963,0.0,1.0,0.0,2.83788,10.875558137893677,0.0,17.0795,215.49312138557434,0.3460855484008789,1,0.32795119285583496,1.0,0.0,0.0
0.0,38.01392412185669,0.0,400,0.3159611225128174,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.6551880836486816,10.005423069000244,0.0,9.939510345458984,0.0,1.0,0.0,2.83788,11.30868148803711,0.0,17.0795,253.51223182678223,0.3602612018585205,1,0.3579275608062744,1.0,0.0,0.0
0.0,37.03651738166809,0.0,400,0.30442333221435547,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.5800845623016357,9.755733013153076,0.0,9.670363426208496,0.0,1.0,0.0,2.83788,10.96805191040039,0.0,17.0795,291.7780511379242,0.366290807723999,1,0.3395659923553467,1.0,0.0,0.0
0.0,35.115782022476196,0.0,400,0.7141423225402832,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.5607106685638428,8.647925615310669,0.0,9.686558961868286,0.0,1.0,0.0,2.83788,9.952133417129517,0.0,17.0795,326.8985471725464,0.3693404197692871,1,0.331195592880249,1.0,0.0,0.0
0.0,36.891801595687866,0.0,400,0.3515927791595459,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.549276113510132,9.611767053604126,0.0,9.397511720657349,0.0,1.0,0.0,2.83788,11.281160354614258,0.0,17.0795,364.64653038978577,0.3599975109100342,1,0.3393378257751465,1.0,0.0,0.0
0.0,36.78995418548584,0.0,400,0.32470035552978516,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.525144100189209,9.721012115478516,0.0,9.41016960144043,0.0,1.0,0.0,2.83788,10.975791931152344,0.0,17.0795,401.4413731098175,0.3645339012145996,1,0.33591413497924805,1.0,0.0,0.0
0.0,33.39582109451294,0.0,400,0.30098652839660645,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.5644209384918213,8.042848825454712,0.0,9.686903476715088,0.0,1.0,0.0,2.83788,9.297443866729736,0.0,17.0795,435.64264965057373,0.3627948760986328,1,0.27623605728149414,1.0,0.0,0.0
0.0,36.86867046356201,0.0,400,0.3088407516479492,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.6105058193206787,9.629629373550415,0.0,9.926809072494507,0.0,1.0,0.0,2.83788,10.56278371810913,0.0,17.0795,472.52079701423645,0.3914835453033447,1,0.3283681869506836,1.0,0.0,0.0
0.0,34.46855163574219,0.0,400,0.32057857513427734,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.501025676727295,8.532821893692017,0.0,9.34668254852295,0.0,1.0,0.0,2.83788,10.170928001403809,0.0,17.0795,508.3763315677643,0.3341710567474365,1,0.2989828586578369,1.0,0.0,0.0
0.0,33.13255167007446,0.0,400,0.32097482681274414,2.83788,17.0795,0.0,0.0,0.0,400,0.0,1,0.0,2.4731860160827637,8.156400918960571,0.0,9.224012851715088,0.0,1.0,0.0,2.83788,9.524123668670654,0.0,17.0795,541.5131034851074,0.3491084575653076,1,0.2906033992767334,1.0,0.0,0.0
