LossAfter,MinReturn,AveragePolicyStd,StdReturn,Time,AverageReturn,ItrTime,NumTrajs,MeanKL,LossBefore,Perplexity,TotalExecTime,MaxReturn,ExplainedVariance,Entropy,MaxKL
-0.0,0.0,1.00326,0.0,8.15165662765503,0.0,8.151659488677979,20,0.0,-0.0,17.1557,8.092950820922852,0.0,1,2.84233,0.0
-0.0189527,0.0,1.00326,76.6485485838,16.149452209472656,25.0,7.993353605270386,20,0.069843,-0.00329736,17.1557,7.944321870803833,300.0,0.045742328994,2.84233,0.248346
-0.0445126,0.0,1.00273,1176.9770601,24.080918073654175,1815.0,7.926835298538208,20,0.16074,0.00250421,17.1274,7.88542914390564,4500.0,0.223296182765,2.84068,0.555703
-0.0632139,12100.0,1.00358,3052.62182394,32.04404139518738,18350.0,7.960049629211426,20,0.249792,-0.0151265,17.1489,7.9190943241119385,23600.0,0.556361525881,2.84193,0.408294
-0.0420611,13900.0,0.999692,3984.8337481,39.91060447692871,19610.0,7.861547470092773,20,0.250745,-0.00477488,17.0197,7.829454660415649,25600.0,0.513840735396,2.83437,0.636387
-0.0660836,8100.0,0.99847,2811.13411277,47.7804172039032,12655.0,7.866243600845337,20,0.347494,0.00855333,16.9791,7.767231225967407,18500.0,0.375536592759,2.83198,0.658032
-0.03718,0.0,1.00054,3637.98020885,55.677210092544556,9810.0,7.876616477966309,20,0.0795237,-0.0163922,17.0518,7.826098442077637,16000.0,0.401046056797,2.83626,0.157527
