0AverageReturn,MeanKLBefore,1ProcessExecTime,0StdReturn,0PolicyExecTime,0ProcessExecTime,1AveragePolicyStd,1EnvExecTime,0MaxReturn,dLoss,0Perplexity,MeanKL,1NumTrajs,1Entropy,1Perplexity,0Entropy,1ExplainedVariance,0NumTrajs,1StdReturn,1AverageReturn,0MinReturn,ComputeUpdatedDistTime,1MaxReturn,ItrTime,LossBefore,Time,1MinReturn,0ExplainedVariance,LossAfter,0AveragePolicyStd,1PolicyExecTime,0EnvExecTime
28.0,-5.58066204359e-10,0.8741381168365479,231.227161034,6.381036758422852,0.9671239852905273,0.998883,23.41336464881897,2600.0,0.00239152810536,17.0795,0.00784041918814,400,2.83562,17.0409,2.83788,0.0283215010922,400,148.229340888,14.25,0.0,5.284735202789307,2400.0,95.41376852989197,-2.32830643654e-10,95.41376495361328,0.0,0.0374940562383,-0.00239152833819,1.0,24.991151094436646,24.738675117492676
135.75,-2.06055572605e-09,0.8011951446533203,661.51110157,7.078952789306641,0.889441728591919,1.00059,23.28576683998108,7200.0,0.00144266230345,17.0784,0.00560011109337,400,2.83902,17.099,2.83781,0.0891805444098,400,1016.21229942,174.75,0.0,0.31336116790771484,14000.0,84.06364035606384,-3.69618641249e-10,180.20597052574158,0.0,0.0801338448662,-0.00144266267307,0.99997,23.488727569580078,23.59839415550232
197.25,2.35449704178e-09,0.8471944332122803,614.871887063,7.265638113021851,0.9103610515594482,1.00095,23.260600805282593,6500.0,0.00188836443922,17.1428,0.00893602240831,400,2.83965,17.1098,2.84158,0.115797990977,400,422.609083551,128.75,0.0,0.35817503929138184,3900.0,85.03003001213074,-8.12724498811e-10,265.954176902771,0.0,0.105507532725,-0.00188836525194,1.00185,23.410328149795532,24.412060737609863
128.25,8.51579073924e-09,0.8301866054534912,387.591198945,7.157030820846558,0.9405896663665771,0.997955,22.99604320526123,3400.0,0.00423071954283,17.1301,0.00924354419112,400,2.83368,17.0079,2.84084,0.109064385881,400,367.351245404,151.75,0.0,0.38603711128234863,2200.0,86.3961398601532,4.83123541173e-10,353.61494398117065,0.0,0.0709342276376,-0.00423071905971,1.00148,24.351465702056885,25.108211040496826
412.5,-6.20347995195e-09,0.8580694198608398,703.664515234,6.118926286697388,0.9142458438873291,1.00066,23.414647102355957,4800.0,0.00291052196699,17.187,0.00717095658183,400,2.83911,17.1005,2.84415,0.106982880314,400,710.568038614,404.25,0.0,0.362743616104126,4700.0,85.85316348075867,-5.44241651745e-10,440.27982902526855,0.0,0.123389319266,-0.00291052251123,1.00315,24.45932674407959,25.165647506713867
582.5,-1.12922893258e-09,0.8328993320465088,846.252769567,5.910062313079834,0.8786227703094482,1.00193,22.950565338134766,9000.0,0.00237585100112,17.1063,0.00664352253079,400,2.84158,17.1428,2.83945,0.107214517846,400,891.484015561,652.5,0.0,0.31349945068359375,5500.0,83.87151980400085,-6.17001172376e-10,524.9327943325043,0.0,0.118583234321,-0.00237585161813,1.00082,24.223356008529663,24.17517399787903
627.0,1.05239346126e-08,0.8421103954315186,905.743341129,5.994229078292847,0.8718917369842529,1.00338,23.40461277961731,5500.0,0.00253530921691,17.0862,0.00825266074389,400,2.84452,17.1932,2.83827,0.0943946061902,400,880.578077174,636.5,0.0,0.4004557132720947,4600.0,84.65923976898193,-4.25643548185e-10,610.3242466449738,0.0,0.0891889181046,-0.00253530964255,1.00021,24.499568223953247,24.141016244888306
594.0,-1.9092114556e-09,0.8218061923980713,905.43580667,6.6199915409088135,0.9036397933959961,1.0034,23.424488067626953,6600.0,0.00321849506581,17.2083,0.00828986242414,400,2.84453,17.1934,2.84539,0.087751216674,400,1176.13679051,751.5,0.0,0.8443939685821533,11100.0,86.69382834434509,7.10133507553e-10,697.8504154682159,0.0,0.0730390926281,-0.00321849435568,1.00379,23.87472176551819,25.022577047348022
1003.25,-1.16414190787e-10,0.8420450687408447,1222.23747181,7.195875406265259,0.9015133380889893,0.990804,23.136221647262573,8000.0,0.00385634413105,16.7624,0.00660895789042,400,2.81934,16.7657,2.81914,0.113592639146,400,1470.99352055,1298.25,0.0,0.40661001205444336,9000.0,86.77473735809326,-1.7462198354e-11,785.3583509922028,0.0,0.0869938128815,-0.00385634414852,0.990676,23.168620586395264,24.422341346740723
1330.5,1.69966440922e-09,0.8004026412963867,1505.81199026,6.781105279922485,0.9162495136260986,0.986328,23.199838161468506,10600.0,0.00316922380589,16.6091,0.00655682943761,400,2.81024,16.6139,2.80995,0.1241847035,400,1542.84135202,1426.75,0.0,0.34753870964050293,8300.0,85.6604516506195,6.05359651296e-10,871.8260884284973,0.0,0.0966063524423,-0.00316922320053,0.986141,23.216231107711792,25.664155960083008
1048.25,4.70900163307e-09,0.7999775409698486,1148.8241543,8.123075246810913,0.9237847328186035,0.990224,23.270885705947876,8500.0,0.00353425320936,16.7559,0.00648145517334,400,2.81816,16.746,2.81875,0.142047393075,400,1734.4951535,1518.75,0.0,0.38252758979797363,10900.0,87.11319756507874,-4.77302808388e-10,959.854184627533,0.0,0.0773986960641,-0.00353425368667,0.990494,23.797574043273926,25.120201110839844
1171.5,-5.76255487772e-10,0.8209829330444336,1281.36167806,7.355277061462402,0.903247594833374,0.995648,23.693984985351562,8500.0,0.00376458806859,16.8883,0.0073627200909,400,2.82902,16.9289,2.82662,0.144836242342,400,1772.42910648,1927.75,0.0,0.39239954948425293,9700.0,87.6208348274231,-8.44011041612e-11,1048.2431635856628,0.0,0.0758629120656,-0.00376458815299,0.994425,24.817635536193848,24.981029272079468
1524.75,3.25963478431e-10,0.8384215831756592,1512.10529974,7.7410619258880615,0.9560468196868896,0.985347,23.19773507118225,7500.0,0.00372935500345,16.6076,0.00789380446076,400,2.80826,16.581,2.80986,0.161050331576,400,2267.31657196,2500.75,0.0,0.35249924659729004,13700.0,85.2912118434906,4.13274442446e-10,1134.3235566616058,0.0,0.0900127782969,-0.00372935459018,0.986093,23.330220699310303,24.138631105422974
1733.75,3.35275962549e-09,0.8550829887390137,1709.6888423,7.981780529022217,0.8784663677215576,0.970546,23.492653608322144,8800.0,0.00379705874366,16.1463,0.00677294842899,400,2.778,16.0868,2.78169,0.195681860649,400,2903.82523579,3007.0,0.0,0.3595144748687744,14900.0,86.62159132957458,-9.02218744159e-10,1221.6887392997742,0.0,0.101013717063,-0.00379705964588,0.9723,23.531908750534058,24.49149489402771
