Entropy,NumTrajs,MeanKL,ExplainedVariance,MinReturn,AveragePolicyStd,MaxKL,MaxReturn,LossAfter,AverageReturn,ItrTime,Perplexity,StdReturn,LossBefore,Time,TotalExecTime
2.64941,20,0.111719,0.980963910338,19000.0,0.917354,1.26086,21100.0,-0.0320234,20250.0,7.6475465297698975,14.1457,620.886463051,-0.0091688,7.647540092468262,7.5717902183532715
2.64025,20,0.027425,0.968231946577,19200.0,0.914387,0.319311,23100.0,0.0182965,20640.0,7.420560598373413,14.0166,1003.19489632,0.032372,15.078322172164917,7.351280927658081
2.65643,20,0.0212529,0.952379544329,18900.0,0.922272,0.254386,23300.0,-0.0271448,21140.0,7.057649374008179,14.2454,1351.44367252,-0.00889145,22.146244287490845,7.021616458892822
2.65199,20,0.0225914,0.97187173718,18800.0,0.920104,0.228226,23100.0,-0.0344972,22210.0,7.419878959655762,14.1822,1043.02444842,-0.0224518,29.584200859069824,7.327916622161865
2.64076,20,0.180932,0.958067615603,18500.0,0.915742,0.480197,22900.0,-0.0597013,21575.0,7.200354337692261,14.0239,1135.72663965,-0.0118582,36.78797388076782,7.115706205368042
2.63483,20,0.142207,0.955963574679,19000.0,0.913352,0.558588,22900.0,-0.0558514,21040.0,7.2463414669036865,13.9409,1046.13574645,-0.0178488,44.03703856468201,7.191339015960693
2.62591,20,0.0660746,0.983571346354,20100.0,0.909834,0.248908,23100.0,-0.0540253,22165.0,7.401795864105225,13.8171,688.676266471,-0.0331609,51.44232749938965,7.333627939224243
