0EnvExecTime,2Entropy,1ExplainedVariance,1ProcessExecTime,2PolicyExecTime,1Perplexity,0AverageReturn,2EnvExecTime,1EnvExecTime,1Entropy,2AveragePolicyStd,ComputeUpdatedDistTime,2Perplexity,dLoss,1PolicyExecTime,2StdReturn,MeanKL,2MaxReturn,1StdReturn,0MaxReturn,1MinReturn,ItrTime,0ExplainedVariance,2MinReturn,1NumTrajs,1AveragePolicyStd,0StdReturn,2ExplainedVariance,2NumTrajs,Time,2ProcessExecTime,0PolicyExecTime,0NumTrajs,0ProcessExecTime,0Entropy,0MinReturn,LossAfter,LossBefore,1MaxReturn,1AverageReturn,2AverageReturn,0Perplexity,MeanKLBefore,0AveragePolicyStd
28.0506694316864,2.8396,0.16269559302,1.3724231719970703,45.68719959259033,17.0644,42.625,35.74595785140991,41.28884959220886,2.83699,1.00087,0.47739434242248535,17.1089,1.86264514923e-09,49.411853075027466,385.296943117,0.0123518165201,2600.0,350.272750867,1900.0,0.0,239.22448134422302,0.0649243472353,0.0,1600,0.999568,208.286123818,0.194563214474,1600,239.2244782447815,1.1790881156921387,25.078449726104736,1600,0.9686346054077148,2.83788,0.0,-0.00529892602935,-0.00529892416671,2300.0,103.0,121.125,17.0795,0.0123518155888,1.0
32.78181457519531,2.82847,0.194237174181,1.028064250946045,29.070798873901367,17.0082,62.3125,23.26044988632202,29.88436484336853,2.83369,0.995317,0.08469772338867188,16.9196,9.31322574615e-10,39.814616203308105,410.490845665,0.03058523871,2700.0,453.737839885,2200.0,0.0,192.8957130908966,0.0974648851371,0.0,1600,0.997913,259.226546372,0.184188528063,1600,434.7151746749878,0.8001694679260254,27.35235333442688,1600,1.1489613056182861,2.83788,0.0,-0.00439250841737,-0.00439250748605,2800.0,154.6875,126.875,17.0795,0.0305852517486,1.0
22.46722102165222,2.84202,0.17712705311,0.8368206024169922,31.116954565048218,17.1139,45.6875,23.65250277519226,23.748518228530884,2.83989,1.00209,0.10288310050964355,17.1504,-3.49245965481e-10,33.51976251602173,445.387081474,0.0321405380964,2700.0,370.128271684,1900.0,0.0,163.83066034317017,0.106301072308,0.0,1600,1.00102,217.758816914,0.207638433059,1600,601.3045310974121,0.8202011585235596,19.26462411880493,1600,0.8068468570709229,2.83788,0.0,-0.00050206517335,-0.000502065522596,2300.0,110.25,152.3125,17.0795,0.0321405380964,1.0
23.87295126914978,2.83718,0.188288140292,0.8458185195922852,31.248037576675415,17.0188,47.1875,23.64726758003235,23.772290468215942,2.83432,0.999667,0.10254144668579102,17.0676,2.32830643654e-09,34.11999320983887,404.692548231,0.0198839232326,2400.0,420.572229231,2400.0,0.0,168.23424577713013,0.0796173878181,0.0,1600,0.99823,235.567590818,0.215145826159,1600,772.6559267044067,0.8230345249176025,21.464791536331177,1600,0.8909246921539307,2.83788,0.0,-0.00260807806626,-0.00260807573795,2600.0,137.0,123.5625,17.0795,0.0198839325458,1.0
23.90593433380127,2.84171,0.203775344314,0.8373334407806396,31.613129377365112,17.1027,47.3125,23.778312921524048,23.65221667289734,2.83924,1.00193,0.08645486831665039,17.1451,-1.86264514923e-09,33.37438130378723,278.822272021,0.0512165799737,2000.0,449.373691757,1900.0,0.0,168.12488842010498,0.0687601216557,0.0,1600,1.00069,219.129590297,0.103133004585,1600,943.1308135986328,0.8425812721252441,21.84984564781189,1600,0.8777663707733154,2.83788,0.0,-0.00731563661247,-0.00731563847512,2700.0,156.1875,73.625,17.0795,0.0512165427208,1.0
23.813095092773438,2.83911,0.21694422984,0.87129807472229,34.56934595108032,17.0369,53.3125,25.160953760147095,24.17320418357849,2.83538,1.00065,0.09885859489440918,17.1006,0.0,34.60671353340149,371.748817878,0.0209415853024,2400.0,465.178997806,2000.0,0.0,173.79552388191223,0.086868574458,0.0,1600,0.998764,240.159379046,0.175807285868,1600,1119.4690940380096,0.9083633422851562,21.05355143547058,1600,0.8737740516662598,2.83788,0.0,-0.0052570393309,-0.0052570393309,2800.0,161.0,122.5625,17.0795,0.0209415778518,1.0
25.158355951309204,2.84179,0.169018346086,0.892911434173584,33.878541707992554,17.0193,58.3125,24.615245580673218,24.93367290496826,2.83435,1.00196,0.11039948463439941,17.1464,-6.98491930962e-10,36.535624265670776,362.176445043,0.0237512737513,2400.0,403.785984271,2300.0,0.0,179.26458430290222,0.121758542507,0.0,1600,0.998242,246.867175509,0.190929694228,1600,1301.4898571968079,0.8875105381011963,23.600942611694336,1600,0.9513716697692871,2.83788,0.0,-0.00314289564267,-0.00314289634116,2800.0,126.9375,104.6875,17.0795,0.0237512756139,1.0
24.727247953414917,2.8408,0.142872108921,0.8724527359008789,37.499632120132446,16.9912,47.4375,25.649847269058228,24.8504478931427,2.8327,1.00147,0.10421323776245117,17.1295,-2.56113708019e-09,36.89970564842224,383.121207159,0.00666681118309,2400.0,349.168202438,2700.0,0.0,183.71354365348816,0.0889572546105,0.0,1600,0.997419,232.014942609,0.177000745933,1600,1487.8238639831543,0.9152565002441406,23.37228536605835,1600,0.9234895706176758,2.83788,0.0,-0.00288529740646,-0.0028852999676,2300.0,100.5625,116.375,17.0795,0.00666679814458,1.0
25.705950260162354,2.83962,0.168407565418,0.9446592330932617,40.93387985229492,17.095,49.0625,26.650163412094116,26.539467811584473,2.83879,1.00089,0.10389542579650879,17.1093,0.0,43.663365602493286,367.801614112,0.00942462868989,2500.0,372.62455447,2400.0,0.0,200.92026948928833,0.0771522448893,0.0,1600,1.00046,226.520685797,0.178400737614,1600,1692.475689649582,0.9614458084106445,26.41653323173523,1600,0.9694950580596924,2.83788,0.0,-0.00450088921934,-0.00450088921934,2800.0,107.5625,114.6875,17.0795,0.00942460168153,1.0
26.455971479415894,2.82495,0.159797790408,0.9417252540588379,44.70505976676941,17.0146,48.5625,27.89738392829895,26.524288177490234,2.83407,0.993646,0.10656404495239258,16.8602,1.86264514923e-09,43.65754771232605,509.616261882,0.200917378068,2700.0,452.122040874,2500.0,0.0,209.60628843307495,0.121541552606,0.0,1600,0.998105,229.23336056,0.291577334236,1600,1905.010666847229,1.0159151554107666,29.01264190673828,1600,1.0104010105133057,2.83788,0.0,-0.0133994910866,-0.013399489224,2600.0,154.8125,184.875,17.0795,0.200917422771,1.0
