Entropy,MinReturn,LossBefore,ItrTime,NumTrajs,StdReturn,AveragePolicyStd,Time,MaxReturn,MaxKL,ExplainedVariance,AverageReturn,MeanKL,TotalExecTime,Perplexity,LossAfter
2.74043,0.0,0.0380843,6.832805871963501,20,333.878720496,0.95435,6.832803726196289,1400.0,2.11474,0.238852428332,205.0,0.251895,6.774201393127441,15.4937,-0.0195195
2.77852,0.0,0.0110571,4.887807369232178,20,1281.35670287,0.972702,11.723220586776733,4000.0,0.681949,0.401234406708,1625.0,0.0962895,4.831390857696533,16.0951,-0.025983
2.78405,0.0,-0.00180554,4.845454454421997,20,5058.78196802,0.975265,16.579970359802246,17900.0,0.706191,0.518432467542,9015.0,0.217324,4.793011426925659,16.1844,-0.0618643
2.78314,18400.0,-0.00349736,4.7641987800598145,20,880.497018734,0.974706,21.356008529663086,22100.0,0.11767,0.977172359394,20935.0,0.0394683,4.728536605834961,16.1698,-0.0134931
2.78139,0.0,-0.00484781,4.757715463638306,20,4597.86907165,0.974129,26.121367931365967,22100.0,0.163802,0.883909120138,19860.0,0.0121948,4.728487491607666,16.1415,-0.0117521
2.77897,20000.0,-0.0154046,5.291745185852051,20,643.428317686,0.972817,31.41804528236389,22500.0,0.500056,0.985762601425,21200.0,0.0626783,5.2517406940460205,16.1024,-0.0307799
2.77127,0.0,0.00732012,5.0163795948028564,20,6220.24718158,0.969574,36.44287085533142,21800.0,0.476535,0.851169226077,18395.0,0.127313,4.961584568023682,15.9789,-0.0153005
