1MinReturn,LossBefore,0AveragePolicyStd,ComputeUpdatedDistTime,1ExplainedVariance,0Entropy,0EnvExecTime,MeanKL,1EnvExecTime,0ExplainedVariance,1AveragePolicyStd,0Perplexity,0StdReturn,MeanKLBefore,LossAfter,1AverageReturn,dLoss,1Entropy,ItrTime,Time,0PolicyExecTime,1PolicyExecTime,1MaxReturn,1ProcessExecTime,1StdReturn,0MinReturn,1Perplexity,0MaxReturn,0NumTrajs,0ProcessExecTime,1NumTrajs,0AverageReturn
0.0,2.32830643654e-10,1.0,1.006814956665039,0.0777253129275,2.83788,37.78249669075012,0.0068202172406,38.77482867240906,0.107319552185,1.00032,17.0795,1584.88098922,-2.91036864747e-11,-0.00117424840573,184.5,0.00117424863856,2.83852,238.18293404579163,238.18292880058289,64.8651385307312,85.44892406463623,13300.0,1.5803523063659668,1104.13303093,0.0,17.0904,14700.0,400,1.6213805675506592,400,298.5
0.0,0.0,0.997534,0.11642169952392578,0.120227225777,2.83291,37.98732352256775,0.00701774237677,38.70976781845093,0.0834104937433,0.996806,16.9949,1344.27375839,-1.16416515317e-10,-0.00213197479025,414.75,0.00213197479025,2.83146,236.2107183933258,475.5244140625,64.68076801300049,85.60787391662598,13900.0,1.545351266860962,1715.1843742,0.0,16.9703,12900.0,400,1.599069356918335,400,298.25
0.0,-6.40284270048e-10,0.993212,0.10526037216186523,0.123645455174,2.82415,38.000815629959106,0.00917871110141,38.5194787979126,0.0882532492465,0.993681,16.8466,1254.10025018,1.2805685401e-09,-0.000974264694378,510.0,0.000974264054094,2.82506,237.97088646888733,714.5460288524628,65.34894728660583,86.49963760375977,17500.0,1.5779674053192139,2117.51033055,0.0,16.8619,9700.0,400,1.6528468132019043,400,302.75
0.0,-2.91038304567e-10,0.987835,0.11668539047241211,0.111621802871,2.81336,37.685023069381714,0.00912044290453,38.47232222557068,0.0764862643801,0.98764,16.6659,1533.3789486,-6.98491153805e-10,-0.000357791315764,665.5,0.000357791024726,2.81297,237.56297206878662,953.0420804023743,65.64180612564087,86.1051127910614,15300.0,1.5971453189849854,2233.35168525,0.0,16.6593,12600.0,400,1.6115374565124512,400,407.0
0.0,5.82076609135e-10,0.983982,0.11450624465942383,0.0937791442883,2.80551,37.936522006988525,0.00934658758342,38.64708065986633,0.0906162198938,0.983905,16.5355,1799.26484988,-6.98491431361e-10,-0.00188236031681,384.0,0.00188236089889,2.80534,247.9713966846466,1201.9848198890686,65.68956780433655,95.92764616012573,15100.0,1.6012401580810547,1804.35417809,0.0,16.5328,15100.0,400,1.6310279369354248,400,364.0
0.0,6.40284270048e-10,0.988906,0.112152099609375,0.116880732966,2.81549,37.968456745147705,0.00568954413757,38.9248104095459,0.0917117175079,0.990506,16.7014,1768.77696093,2.80560801258e-08,-0.00132196128834,645.0,0.00132196192862,2.8187,237.5190224647522,1440.5101418495178,64.63102078437805,86.38500642776489,17300.0,1.5963482856750488,2485.84492678,0.0,16.7551,14700.0,400,1.6327874660491943,400,498.25
0.0,2.32830643654e-10,0.981021,0.1314389705657959,0.125520131143,2.79947,38.08050084114075,0.00611230917275,39.1004376411438,0.075404661182,0.980783,16.436,1716.31756968,-6.98493207718e-10,-0.00137760164216,623.25,0.00137760187499,2.79895,237.97400403022766,1679.6199638843536,65.25698852539062,86.13646173477173,16900.0,1.5941236019134521,2161.88215162,0.0,16.4273,14500.0,400,1.6281731128692627,400,398.0
0.0,-2.32830643654e-10,0.981955,0.11192083358764648,0.102539266448,2.80146,37.887859582901,0.00950237177312,38.87286186218262,0.114476434299,0.980868,16.4686,2739.9415596,1.39698363988e-09,-0.00261339568533,530.0,0.0026133954525,2.79924,238.8939230442047,1919.465338230133,65.30379724502563,87.21187925338745,19400.0,1.6344199180603027,2394.337069,0.0,16.4321,17900.0,400,1.6340267658233643,400,654.5
0.0,-5.82076609135e-10,0.981312,0.12676620483398438,0.115964398428,2.80015,37.82913017272949,0.00864983350039,39.45641541481018,0.0873334235737,0.979778,16.4471,2475.54635384,4.65663840821e-10,-0.00268230470829,983.25,0.00268230412621,2.797,239.90572786331177,2160.2976729869843,65.34602284431458,87.58772015571594,20400.0,1.638056755065918,3182.92231094,0.0,16.3954,15400.0,400,1.6257917881011963,400,695.5
0.0,-1.15687726066e-09,0.987762,0.1229391098022461,0.0912020328463,2.81324,37.79369568824768,0.0069482922554,38.72004437446594,0.115258699496,0.98853,16.6639,4237.96613218,8.14907974434e-10,-0.00191048812121,1453.5,0.00191048696433,2.8148,246.4952712059021,2407.7694642543793,65.056884765625,95.63272500038147,21400.0,1.608853816986084,4086.71478697,0.0,16.6898,20400.0,400,1.6253786087036133,400,1591.75
