Time,ExplainedVariance,LossBefore,StdReturn,LossAfter,MaxReturn,MeanKL,MaxKL,NumTrajs,Perplexity,AveragePolicyStd,MinReturn,AverageReturn,Entropy,ItrTime
524.2901582717896,0.994651262518,0.0305053,114.70723604,0.0278754,3000.0,0.00403506,0.0213601,200,11.247,0.812014,2400.0,2668.5,2.4201,16.283528566360474
540.5673363208771,0.994770356679,-0.00301825,121.536002896,-0.00633387,3000.0,0.0148227,0.0611906,200,11.4198,0.818165,2300.0,2673.0,2.43535,16.02440619468689
557.1013646125793,0.994337683912,-0.0165776,122.784363825,-0.0177403,3000.0,0.00154419,0.00510882,200,11.4026,0.817547,2300.0,2682.0,2.43384,16.300801753997803
573.4606890678406,0.994773740801,-0.0149131,116.703684603,-0.015868,3000.0,0.000822575,0.00426275,200,11.3085,0.814265,2300.0,2669.5,2.42555,16.175368785858154
589.9908149242401,0.994071181626,-0.0241657,134.551105532,-0.0301614,3000.0,0.0287842,0.103585,200,11.2245,0.811261,2300.0,2686.0,2.4181,16.244864225387573
606.2456605434418,0.994402621361,0.00424474,121.074357318,0.00248462,3000.0,0.00643913,0.0270186,200,11.0897,0.806497,2400.0,2671.0,2.40601,16.079651355743408
622.0165824890137,0.994116744723,0.00595513,137.141350438,0.00227447,3000.0,0.0142116,0.0645289,200,11.1132,0.807203,2200.0,2681.5,2.40813,15.586018800735474
637.0535817146301,0.994329556454,-0.0177775,116.081867662,-0.0195772,2900.0,0.00292316,0.0127901,200,11.1464,0.808423,2200.0,2675.0,2.41111,14.855947017669678
652.0307033061981,0.994829324737,-0.014031,124.658533603,-0.0165912,3000.0,0.00507821,0.0265735,200,11.0477,0.804805,2400.0,2689.5,2.40222,14.755615234375
666.8515977859497,0.995083900776,0.0125979,107.739268607,0.00964329,2900.0,0.0108372,0.070545,200,10.9705,0.802077,2400.0,2681.5,2.39521,14.632908582687378
681.6881577968597,0.995558847874,-0.00834311,102.742396312,-0.0105375,2900.0,0.00494137,0.0202546,200,11.0398,0.804752,2400.0,2688.0,2.40151,14.646381139755249
696.6743140220642,0.994646724294,-0.00601117,118.0,-0.0070321,2900.0,0.00133405,0.0116344,200,10.9938,0.803091,2300.0,2676.0,2.39734,14.80105710029602
711.6942400932312,0.995288540763,-0.0122679,103.556747728,-0.014428,3000.0,0.00611002,0.0270617,200,10.9609,0.802056,2400.0,2674.0,2.39433,14.805229663848877
726.5956101417542,0.99445478035,-0.0237093,125.055987462,-0.0338401,3000.0,0.0538767,0.196108,200,10.8938,0.799626,2300.0,2681.0,2.3882,14.71122932434082
741.4737658500671,0.994752384628,0.00883882,116.086174887,0.0048936,3000.0,0.0185826,0.101079,200,10.7655,0.794938,2300.0,2682.0,2.37634,14.683003902435303
756.4373886585236,0.994964352337,-0.0299983,115.568161706,-0.0352315,3000.0,0.0243043,0.100978,200,10.8131,0.796549,2300.0,2688.0,2.38076,14.767143726348877
770.38840675354,0.994595043143,-0.00333479,120.710397232,-0.00702902,2900.0,0.0148245,0.0850621,200,10.6522,0.790552,2300.0,2677.0,2.36576,13.634501934051514
783.9335358142853,0.99480538014,-0.00784385,117.446796465,-0.00992555,3000.0,0.00568135,0.0293211,200,10.6344,0.789782,2400.0,2687.5,2.36409,13.346292972564697
797.6008155345917,0.994772822748,0.0092242,119.204655949,0.00692339,3000.0,0.00803123,0.0370289,200,10.5928,0.788317,2300.0,2684.5,2.36017,13.451439380645752
