1MaxReturn,Time,1ExplainedVariance,0NumTrajs,1EnvExecTime,1NumTrajs,0MaxReturn,1AverageReturn,ItrTime,LossAfter,0AverageReturn,0AveragePolicyStd,0PolicyExecTime,1Perplexity,1Entropy,MeanKLBefore,1ProcessExecTime,0MinReturn,1StdReturn,0StdReturn,LossBefore,1MinReturn,MeanKL,1PolicyExecTime,0ExplainedVariance,0Entropy,0EnvExecTime,0ProcessExecTime,0Perplexity,1AveragePolicyStd,dLoss,ComputeUpdatedDistTime
7700.0,110.18774557113647,0.0128964926247,400,25.375466346740723,400,2100.0,21.5,110.18774795532227,4.42378217391e-10,7.25,1.0,8.16396450996399,17.0561,2.83651,-6.10598416273e-09,0.9921872615814209,0.0,385.016558085,108.270205966,7.91624210628e-10,0.0,9.6042666875e-11,33.02331233024597,0.0133573532846,2.83788,25.93181562423706,1.0539889335632324,17.0795,0.999321,3.49245993236e-10,5.750284671783447
3100.0,210.526593208313,0.0190603650088,400,26.12534260749817,400,2000.0,16.0,99.43625497817993,-2.21189108696e-10,8.5,1.0,7.682519435882568,17.0759,2.83767,1.36787997596e-10,1.0054106712341309,0.0,194.149426989,116.737954411,-2.67755234651e-10,0.0,1.94995686265e-10,31.24319100379944,0.0168179890619,2.83788,25.91326379776001,1.0241529941558838,17.0795,0.999896,-4.65661259552e-11,0.37613344192504883
200.0,311.1043255329132,0.00328432599578,400,25.745056629180908,400,100.0,1.25,99.6694962978363,-0.000146680278704,0.25,1.0,8.255608797073364,17.0878,2.83836,0.0,0.9420881271362305,0.0,14.9478259289,4.99374608886,1.16415321827e-10,0.0,0.00966753158718,32.27287435531616,0.0037606468754,2.83788,25.75183868408203,1.0044162273406982,17.0795,1.00024,0.000146680395119,0.35382986068725586
4900.0,409.6249108314514,0.0133000093307,400,25.75852108001709,400,8100.0,25.0,97.12822771072388,-8.8209817477e-05,39.0,1.00047,7.942328691482544,17.0752,2.83762,3.07336711636e-09,0.9622626304626465,0.0,281.91310718,487.574609675,9.31322519104e-11,0.0,0.00990308448672,30.23733115196228,0.0301480649245,2.8388,25.782877206802368,1.0126471519470215,17.0953,0.999882,8.82099106093e-05,0.33774495124816895
600.0,514.0086424350739,0.0224850507271,400,25.9782292842865,400,200.0,4.0,103.51670002937317,-6.22821960672e-10,1.75,1.00039,8.354814291000366,17.1016,2.83917,-6.13508621683e-09,1.0176222324371338,0.0,39.1663120551,16.490527584,-3.43425232696e-10,0.0,-5.86733372998e-09,31.498671531677246,0.00472794239097,2.83865,25.70773148536682,0.9686989784240723,17.0927,1.00065,2.79396727976e-10,0.3607478141784668
2300.0,614.835287809372,0.0115092349726,400,25.8412184715271,400,300.0,9.5,99.88723301887512,-1.03038037196e-05,0.75,1.00039,8.61490535736084,17.0986,2.83899,-9.31322519104e-11,0.9505908489227295,0.0,136.966236715,14.9812382666,-1.86264517699e-10,0.0,0.00724821863696,29.44777512550354,0.00329613274364,2.83865,26.019756317138672,1.0271844863891602,17.0927,1.00056,1.03036174551e-05,0.35757970809936523
800.0,717.1772365570068,0.0166924876172,400,25.789709329605103,400,4800.0,4.5,101.41715931892395,1.39698391743e-10,13.0,1.00029,8.121410131454468,17.0881,2.83838,7.0431283028e-10,1.0055031776428223,0.0,46.6877928371,239.960413402,3.84170584233e-10,0.0,4.0163289361e-10,30.848500728607178,0.0125246420157,2.83846,25.51729416847229,0.9594621658325195,17.0894,1.00026,2.4447219249e-10,0.3406708240509033
100.0,818.619925737381,0.0110362662249,400,25.986550331115723,400,300.0,0.25,100.47365593910217,-1.08052051928e-06,1.5,1.00029,10.193206071853638,17.0891,2.83844,4.65661294247e-11,0.980431079864502,0.0,4.99374608886,18.648056199,9.31322588493e-11,0.0,0.00055401638383,30.324007034301758,0.0049606549684,2.83846,26.45029926300049,1.0117180347442627,17.0894,1.00028,1.08061365154e-06,0.37493395805358887
1100.0,919.6293404102325,0.00461634060169,400,25.779791116714478,400,2400.0,3.25,99.94992065429688,2.96859065108e-10,14.0,1.0003,8.968013286590576,17.0829,2.83808,1.45519221673e-10,0.984900951385498,0.0,55.8071455998,159.229394271,3.43425204941e-10,0.0,-3.84170528722e-10,30.741923332214355,0.0261357407379,2.83848,25.962565183639526,1.0408079624176025,17.0897,1.00011,4.6566139833e-11,0.4070291519165039
1600.0,1022.8267357349396,0.0122328378675,400,26.205835342407227,400,3900.0,7.75,102.3783688545227,3.376044444e-10,20.75,1.0003,11.3595130443573,17.1505,2.84203,-5.44824230175e-09,0.9283237457275391,0.0,92.5469475456,217.01252844,4.65661287308e-10,0.0,-5.96046589862e-09,30.401033639907837,0.0228209266474,2.83848,26.033432483673096,1.0279817581176758,17.0897,1.00209,1.28056842907e-10,0.38376832008361816
