Perplexity,MaxReturn,AverageReturn,NumTrajs,LossAfter,ExplainedVariance,Entropy,MaxKL,ItrTime,LossBefore,MeanKL,Time,AveragePolicyStd,StdReturn,MinReturn,TotalExecTime
12.6753,3000.0,2661.0,200,-0.0114867,0.994374657015,2.53966,0.649415,36.14417600631714,-0.0060065,0.0227699,1160.1937878131866,0.86169,118.232821162,2300.0,35.84009671211243
12.6373,3000.0,2666.5,200,-0.0236268,0.993765433899,2.53666,1.4487,33.356499910354614,-0.0123657,0.0847127,1193.5633232593536,0.86036,128.948633184,2100.0,33.108474254608154
12.5594,2900.0,2669.0,200,-0.0237933,0.994536104472,2.53047,1.13444,35.3057656288147,-0.0114455,0.0788232,1228.8932814598083,0.857721,118.486286126,2300.0,34.99563264846802
12.4878,3000.0,2670.5,200,-0.0180121,0.994137624378,2.52475,0.670058,35.39079666137695,-0.0117852,0.0154907,1264.3139779567719,0.855303,131.452462891,2300.0,35.15204191207886
12.4144,3000.0,2672.0,200,-0.0325475,0.994217908624,2.51886,0.347779,32.767378091812134,-0.0276392,0.0187016,1297.1132185459137,0.852781,124.963994815,2400.0,32.50991988182068
12.244,3000.0,2679.0,200,-0.0341528,0.994672520305,2.50504,19.5852,34.54625701904297,-0.0130825,0.233289,1331.6796526908875,0.846907,114.712684565,2300.0,34.31907534599304
12.1642,3000.0,2685.5,200,-0.0933545,0.994397811503,2.4985,24.9078,35.23482322692871,-0.0177817,0.311437,1366.936625957489,0.84407,124.658533603,2300.0,34.969534397125244
12.0565,3000.0,2681.0,200,-0.0186354,0.994579178022,2.48961,0.425721,35.72126245498657,-0.0111549,0.0291688,1402.693290233612,0.840306,121.815434162,2300.0,35.4707932472229
11.9895,3000.0,2676.5,200,-0.00894551,0.994498529249,2.48403,2.647,35.46566033363342,-0.0017583,0.0520899,1438.1782717704773,0.83792,123.684073348,2300.0,35.14461874961853
11.9789,2900.0,2666.5,200,-0.0413852,0.995043348734,2.48315,1.61994,35.25218319892883,-0.01947,0.0965127,1473.4485042095184,0.837546,113.700263852,2400.0,34.942490577697754
11.8629,2900.0,2683.5,200,-0.00986754,0.994435321625,2.47341,0.0473731,34.7765691280365,-0.00675038,0.00296348,1508.2484364509583,0.833511,123.198011348,2200.0,34.40565299987793
11.8229,3000.0,2679.0,200,-0.0210514,0.994354630902,2.47004,1.50135,33.5165855884552,-0.00507767,0.0740336,1541.7982187271118,0.83214,119.829044893,2400.0,33.24821972846985
11.7929,3000.0,2654.0,200,-0.0131995,0.993254646923,2.4675,9.2653,32.62808799743652,-8.52495e-05,0.183266,1574.4526009559631,0.83121,135.218341951,2300.0,32.26851511001587
11.7924,2900.0,2686.5,200,-0.0193211,0.994775685805,2.46746,0.088651,34.33073663711548,-0.0151673,0.0050725,1608.8007230758667,0.831193,110.759875406,2300.0,34.080098152160645
11.7033,3000.0,2670.0,200,-0.0017749,0.995559525009,2.45987,2.71871,37.01336646080017,0.0111358,0.103587,1645.834137916565,0.828012,111.803398875,2400.0,36.719128370285034
11.7687,3000.0,2675.5,200,-0.01545,0.993422725611,2.46544,1.75166,35.34582710266113,-0.00052261,0.0701693,1681.201058626175,0.830304,138.020831761,2200.0,35.031087160110474
11.7656,3000.0,2689.0,200,-0.0236287,0.995344875424,2.46518,0.235014,35.62076783180237,-0.0176623,0.0087778,1716.8416888713837,0.830205,110.358506695,2400.0,35.2913384437561
11.6621,3000.0,2682.0,200,-0.0148859,0.994800826368,2.45635,1.90216,35.26920175552368,-0.00457478,0.049074,1752.1280329227448,0.826564,118.220133649,2400.0,34.903738498687744
11.6355,3000.0,2680.0,200,-0.184823,0.995099257483,2.45406,59.8905,36.06442642211914,-0.00733307,0.54044,1788.2103402614594,0.825603,117.473401245,2400.0,35.83252716064453
11.5929,2900.0,2671.5,200,-0.00312665,0.994638042156,2.45039,2.33578,36.613927602767944,0.00992767,0.114362,1824.8448514938354,0.824089,118.481011137,2200.0,36.26910924911499
11.6506,3000.0,2680.0,200,-0.00283496,0.994134163112,2.45536,2.44318,33.9927773475647,0.00668909,0.0923542,1858.8579573631287,0.826129,129.228479833,2300.0,33.72811198234558
