Entropy,ExplainedVariance,Perplexity,StdReturn,MinReturn,LossAfter,Time,LossBefore,TotalExecTime,ItrTime,MaxReturn,NumTrajs,MeanKL,AveragePolicyStd,AverageReturn,MaxKL
2.7481,0.397607698959,15.613,4349.23843908,0.0,-0.0449869,32.77926540374756,-0.00390337,32.394880056381226,32.779271602630615,13200.0,20,0.474337,0.956152,3825.0,1.91672
2.7442,0.65552275059,15.5522,17450.484234,0.0,0.00100912,66.21011710166931,0.00507049,33.070701360702515,33.41229057312012,50700.0,20,0.0121785,0.954271,26460.0,0.0284149
2.74674,0.77951731723,15.5916,15882.8335004,0.0,-0.037978,102.60129261016846,-0.0107035,35.98014569282532,36.37819218635559,49200.0,20,0.0718043,0.955519,26840.0,0.229335
2.74138,0.847842620792,15.5084,18781.9827228,0.0,-0.0331145,134.68916177749634,-0.0240877,31.52504014968872,32.06651449203491,47400.0,20,0.0369486,0.952999,29075.0,0.231552
2.72934,0.833374222252,15.3228,12019.0848237,0.0,-0.0368366,169.76815342903137,0.0017344,34.807154178619385,35.065027475357056,48400.0,20,0.194593,0.947243,36640.0,1.27777
2.73021,0.843922387988,15.3361,18866.411291,0.0,-0.0330404,204.14400339126587,-0.0115183,33.9490282535553,34.362199783325195,48500.0,20,0.0897226,0.947658,29795.0,0.361275
2.72445,0.807116809094,15.248,14707.7692054,0.0,-0.0225765,237.94871258735657,-0.0102675,33.52410411834717,33.772093296051025,50400.0,20,0.0245343,0.944931,36955.0,0.0966877
