NumTrajs,MinReturn,AverageReturn,StdReturn,MeanKL,Perplexity,LossAfter,AveragePolicyStd,LossBefore,MaxReturn,TotalExecTime,MaxKL,ExplainedVariance,ItrTime,Time,Entropy
40,0.0,15.0,47.6969600708,0.0768921,11.0609,-0.0430476,0.805297,-0.0149197,200.0,5.457555055618286,2.21117,0.0791696833981,5.521149635314941,5.521147012710571,2.40341
40,0.0,95.0,156.444878472,0.0699965,10.897,-0.0258197,0.799652,0.000177883,600.0,4.594245195388794,2.68589,0.109011969988,4.691154718399048,10.228875398635864,2.38849
40,0.0,397.5,330.52042297,0.209317,10.898,-0.0205333,0.800036,0.0411105,1300.0,4.668918132781982,3.36255,0.217184470977,4.722964525222778,14.956427574157715,2.38858
40,700.0,2090.0,609.83604354,0.393512,11.1243,-0.111469,0.808775,-0.00630663,3500.0,4.704031944274902,4.08719,0.609891269549,4.780591011047363,19.742878675460815,2.40914
40,2300.0,6162.5,1052.30401976,0.0667294,11.0893,-0.0680576,0.807609,-0.0367151,7400.0,4.668638706207275,26.9508,0.866924383423,4.699795484542847,24.456562995910645,2.40598
40,2300.0,6652.5,858.192140491,0.0879511,10.8876,-0.0628975,0.800118,-0.03092,7500.0,4.736047267913818,1.44264,0.923613010597,4.780981540679932,29.243066549301147,2.38762
40,6700.0,7660.0,417.01318924,0.126555,10.7206,-0.0642253,0.79374,-0.0254926,8300.0,4.818692684173584,3.01622,0.978258599688,4.864546060562134,34.11453557014465,2.37217
