LossBefore,Perplexity,ExplainedVariance,MaxKL,MeanKL,MaxReturn,Entropy,StdReturn,LossAfter,AverageReturn,NumTrajs,TotalExecTime,Time,AveragePolicyStd,MinReturn,ItrTime
0.0135946,16.1446,0.733165227538,0.655997,0.0109138,2800.0,2.78158,992.581986538,0.00102157,759.0,200,22.066982984542847,701.7563939094543,0.972246,0.0,22.142940759658813
-0.0158871,16.2547,0.768494138667,0.232797,0.0107248,2800.0,2.78838,1035.35307987,-0.0221175,912.0,200,22.128450632095337,723.968209028244,0.975558,0.0,22.203195810317993
-0.0209665,16.1261,0.736099164331,0.807694,0.0215632,2800.0,2.78044,968.503871959,-0.0334739,825.5,200,22.471702098846436,746.5330581665039,0.971693,0.0,22.542735815048218
-0.0258623,15.9579,0.768727565926,0.0848443,0.0108235,2900.0,2.76995,1069.71666809,-0.0333533,1072.5,200,24.11162495613098,770.7438387870789,0.966615,0.0,24.18879222869873
-0.0172281,15.7529,0.717471963935,0.599317,0.0156009,2900.0,2.75702,1044.02957334,-0.0255998,1123.5,200,23.72935652732849,794.5684752464294,0.960387,0.0,23.81462073326111
-0.00617926,15.6178,0.745635121811,1.48844,0.0269716,2800.0,2.74841,1017.825992,-0.0172476,1244.5,200,23.71634268760681,818.3619422912598,0.956252,0.0,23.787723779678345
-0.01514,15.5696,0.750542790617,0.734953,0.0473972,2900.0,2.74532,904.747340422,-0.0378887,1386.5,200,23.679994106292725,842.166445016861,0.954776,0.0,23.795604467391968
-0.0244544,15.4522,0.809491675026,0.972926,0.0237999,3000.0,2.73775,864.724088944,-0.036088,1698.5,200,24.15672278404236,866.418751001358,0.95117,0.0,24.246669054031372
-0.0272532,15.2644,0.827775124356,0.232735,0.0261995,3000.0,2.72552,689.171785551,-0.043425,1931.5,200,24.03399109840393,890.5818610191345,0.945372,0.0,24.140923500061035
-0.0266336,15.0578,0.861414204811,1.11434,0.0595321,2800.0,2.7119,647.142758593,-0.0554803,2047.5,200,23.537017822265625,914.2314300537109,0.938953,0.0,23.644872426986694
-0.0386234,14.8586,0.905053496116,0.733081,0.0562117,2900.0,2.69858,515.87886175,-0.0624191,2213.0,200,23.915518760681152,938.2616291046143,0.932737,100.0,24.026562213897705
-0.036897,14.5744,0.958067874219,0.429245,0.00730608,2900.0,2.67927,324.308495109,-0.0447174,2382.0,200,23.784810304641724,962.2156083583832,0.923803,1300.0,23.949978590011597
-0.0167604,14.308,0.959757786405,0.491931,0.0310115,3000.0,2.66082,322.645316098,-0.0296866,2430.0,200,23.746241331100464,986.074342250824,0.915308,800.0,23.852771520614624
-0.0369562,14.1886,0.976824618002,0.295897,0.0303186,2900.0,2.65244,241.544509356,-0.0469663,2477.5,200,23.69892930984497,1009.920348405838,0.911502,1700.0,23.84194540977478
-0.0385477,13.9288,0.974705690056,0.916358,0.0335935,2900.0,2.63396,246.525860712,-0.0535491,2495.0,200,23.956620454788208,1034.0014264583588,0.903088,1100.0,24.071842670440674
-0.023969,13.6629,0.988954972389,0.808059,0.0462875,2900.0,2.61469,159.924982414,-0.0376738,2582.0,200,23.684449911117554,1057.806824207306,0.894408,2000.0,23.7950599193573
-0.0354892,13.5002,0.987908691513,0.306556,0.0145068,2900.0,2.6027,177.566184844,-0.0411535,2579.5,200,24.20743203163147,1082.0952126979828,0.889066,1900.0,24.283424139022827
-0.0150166,13.2627,0.990301203834,4.68494,0.0522306,2900.0,2.58496,156.048069517,-0.0361071,2607.0,200,24.01264977455139,1106.2395496368408,0.881213,2000.0,24.12461280822754
-0.031195,13.1635,0.99147234443,0.657583,0.0488116,3000.0,2.57745,158.237163776,-0.0414278,2619.0,200,23.39901375770569,1129.746842622757,0.877915,1900.0,23.493956327438354
-0.0216968,12.9598,0.991335272031,1.39662,0.0570158,2900.0,2.56185,151.121639748,-0.0323286,2628.5,200,22.532596826553345,1152.4308454990387,0.871097,2100.0,22.680325269699097
