0AverageReturn,0MaxReturn,MeanKL,1MaxReturn,0Entropy,1ProcessExecTime,0AveragePolicyStd,1NumTrajs,0NumTrajs,Time,LossBefore,1AverageReturn,1Perplexity,1MinReturn,dLoss,1PolicyExecTime,1ExplainedVariance,0ExplainedVariance,0Perplexity,1Entropy,MeanKLBefore,0MinReturn,0StdReturn,ComputeUpdatedDistTime,0ProcessExecTime,0PolicyExecTime,LossAfter,1StdReturn,0EnvExecTime,ItrTime,1EnvExecTime,1AveragePolicyStd
298.5,14700.0,0.00668243505061,13300.0,2.83788,1.7072675228118896,1.0,400,400,258.2710483074188,1.16415321827e-10,184.5,17.0904,0.0,0.00118053460028,95.53155970573425,0.0777244783174,0.107319552185,17.0795,2.83852,-1.19325815895e-09,0.0,1584.88098922,1.0984323024749756,1.6985139846801758,70.05054259300232,-0.00118053448386,1104.13303093,39.64384746551514,258.27105259895325,40.62046718597412,1.00032
267.0,12500.0,0.00969708617777,12900.0,2.83298,1.6772758960723877,0.997564,400,400,513.8474171161652,4.36557456851e-10,397.75,17.0125,0.0,0.00248987364466,95.16560053825378,0.114239472597,0.0781825222955,16.996,2.83395,-1.10594533531e-09,0.0,1268.60592778,0.11929202079772949,1.714155912399292,69.91537809371948,-0.00248987320811,1547.60134967,39.325995445251465,254.49300909042358,40.44447064399719,0.998044
312.5,9000.0,0.00791756715626,17600.0,2.82514,1.6935982704162598,0.993683,400,400,779.4319107532501,6.98491930962e-10,561.75,16.9164,0.0,0.00132322194986,94.8836305141449,0.153371652413,0.0961324746461,16.8632,2.82828,-5.82076553624e-10,0.0,1305.23704744,0.16685843467712402,1.7582685947418213,78.46401333808899,-0.00132322125137,2187.87841013,39.435691118240356,264.19095826148987,40.93460988998413,0.995262
572.5,13400.0,0.00882120523602,16200.0,2.82191,1.6792807579040527,0.992083,400,400,1033.1948909759521,1.16415321827e-10,766.25,16.7932,0.0,0.00194407999516,94.11153149604797,0.153108372418,0.0950866994836,16.8089,2.82097,2.32830976721e-10,0.0,1896.27101175,0.14891362190246582,1.7441833019256592,68.46773076057434,-0.00194407987874,2578.17492376,39.71601915359497,252.66157722473145,40.55803322792053,0.991614
347.25,16800.0,0.00655413232744,11000.0,2.82019,1.6591644287109375,0.991222,400,400,1291.2297897338867,1.22236087918e-09,226.75,16.8556,0.0,0.00184023421025,95.80287647247314,0.0843022478665,0.100597899748,16.7801,2.82468,1.86264503821e-09,0.0,1587.29091143,0.12615656852722168,1.756664514541626,68.85209202766418,-0.00184023298789,1229.19056191,40.28043508529663,256.60341143608093,40.70303916931152,0.993466
278.75,10200.0,0.00983545742929,15800.0,2.81918,1.6856019496917725,0.990723,400,400,1548.4647533893585,-1.01863406599e-09,473.0,16.7465,0.0,0.00248751734034,95.24372863769531,0.0930173770932,0.113236531947,16.7632,2.81819,-1.19325678227e-08,0.0,1372.59733261,0.12245011329650879,1.700753927230835,69.86015558242798,-0.00248751835898,1836.71473016,39.14253783226013,256.05887842178345,40.79918646812439,0.990242
352.75,20500.0,0.00942772254348,16900.0,2.81988,1.6926357746124268,0.991072,400,400,1806.547164440155,4.22005541623e-10,485.0,16.7948,0.0,0.00224763662845,95.90227580070496,0.117824144073,0.0703395118313,16.7748,2.82107,3.14321191297e-09,0.0,1623.94348347,0.12947678565979004,1.7508394718170166,70.68334603309631,-0.00224763620645,2178.83569826,39.329479932785034,256.92427372932434,40.8030424118042,0.99169
738.5,18500.0,0.00920109916478,20000.0,2.85707,1.7109146118164062,1.00964,400,400,2073.165244102478,-4.94765117764e-10,954.0,17.4014,0.0,0.00249288088526,96.45910382270813,0.144353033432,0.0935475017705,17.4104,2.85655,1.21343907145e-15,0.0,2610.46312941,0.13004612922668457,1.7300012111663818,78.80575370788574,-0.00249288138002,3281.46065038,39.317845582962036,265.5252273082733,40.964022397994995,1.00938
526.0,14400.0,0.00776996696368,19400.0,2.84871,1.7207906246185303,1.00544,400,400,2329.5717589855194,0.0,1672.25,17.2647,0.0,0.00217552646063,95.55192828178406,0.209516689184,0.093195328106,17.2656,2.84866,-2.03726990833e-09,0.0,2020.59991092,0.13302087783813477,1.7310714721679688,69.1350269317627,-0.00217552646063,4194.72346377,39.44634699821472,255.1981544494629,40.91441106796265,1.00541
839.75,18300.0,0.00885681062937,20500.0,2.86106,1.6863911151885986,1.01166,400,400,2584.3965287208557,1.16415321827e-10,1804.25,17.5121,0.0,0.00302246992942,94.76954793930054,0.185849761571,0.141871122714,17.48,2.86289,-9.31323462794e-10,0.0,2907.93654289,0.13083791732788086,1.7212975025177002,68.99878168106079,-0.003022469813,4699.25599829,39.583651065826416,253.70667386054993,40.513731956481934,1.01259
960.25,15400.0,0.00957359559834,21300.0,2.82191,1.6709668636322021,0.992075,400,400,2842.31085896492,4.65661287308e-10,1861.25,16.8255,0.0,0.00288000702858,96.1180899143219,0.206309451264,0.131321612959,16.8089,2.82289,-2.89874027004e-08,0.0,2979.755852,0.11042451858520508,1.6437106132507324,70.25555276870728,-0.00288000656292,4657.50184514,38.94362831115723,256.70983695983887,41.11291146278381,0.992585
1025.0,16300.0,0.00706735858694,20600.0,2.82872,1.602205514907837,0.995522,400,400,3097.095002889633,0.0,2485.25,16.9022,0.0,0.00274645583704,94.67637395858765,0.159873138667,0.117217803203,16.9238,2.82745,4.6566139833e-10,0.0,3036.75402362,0.11839938163757324,1.650672435760498,69.36488318443298,-0.00274645583704,5850.47070222,38.74467897415161,253.58877635002136,40.45843696594238,0.994865
