MeanKL,MaxReturn,AveragePolicyStd,TotalExecTime,MaxKL,MinReturn,LossBefore,ExplainedVariance,Perplexity,NumTrajs,Time,ItrTime,LossAfter,StdReturn,AverageReturn,Entropy
0.0,0.0,1.0,16.950187921524048,0.0,0.0,-0.0,1,17.0795,20,17.18955898284912,17.189565896987915,-0.0,0.0,0.0,2.83788
0.0,0.0,1.0,17.594684600830078,0.0,0.0,-0.0,1,17.0795,20,34.97041177749634,17.758167266845703,-0.0,0.0,0.0,2.83788
1.6892,300.0,1.0,16.709588050842285,181.003,0.0,-0.000934675,0.0611585188086,17.0795,20,51.91125798225403,16.91187596321106,0.652128,65.3834841531,15.0,2.83788
0.0308101,200.0,0.999767,15.56221318244934,4.92264,0.0,0.0323007,0.0902964380945,17.0715,20,67.79221940040588,15.87482213973999,0.030912,43.5889894354,10.0,2.83741
26.3882,100.0,1.00787,15.708476781845093,773.195,0.0,-0.0101931,0.0794760076485,17.3494,20,83.63991165161133,15.824826955795288,2.36911,21.7944947177,5.0,2.85356
14.2975,100.0,1.00531,16.569130420684814,765.88,0.0,0.0265575,0.0605760885801,17.2612,20,100.39915370941162,16.732815265655518,0.866517,21.7944947177,5.0,2.84846
16.2213,1100.0,1.01203,15.444640398025513,1657.83,0.0,0.0137884,0.451536511465,17.492,20,115.95156598091125,15.510612964630127,1.92514,239.582971014,60.0,2.86174
