Entropy,ExplainedVariance,MaxReturn,LossBefore,ItrTime,MaxKL,MinReturn,AveragePolicyStd,LossAfter,Perplexity,NumTrajs,StdReturn,MeanKL,AverageReturn,Time
2.39968,0.99359653911,3000.0,-0.0201256,16.49671173095703,0.0631673,2200.0,0.804041,-0.0242274,11.0197,200,141.752425023,0.01383,2652.5,533.1754643917084
2.38962,0.994375089594,3000.0,-0.0027356,16.464728355407715,0.0505286,2300.0,0.799891,-0.00577508,10.9094,200,125.155902777,0.00949452,2656.0,549.8346469402313
2.38825,0.993807121559,3000.0,-0.0236594,16.35071301460266,0.0770205,2100.0,0.79933,-0.0281286,10.8944,200,129.883601736,0.0175215,2644.5,566.392101764679
2.37642,0.993878822586,2900.0,-0.031506,16.31019425392151,0.092208,2200.0,0.794554,-0.0364994,10.7663,200,125.697056449,0.0198274,2649.5,582.8993968963623
2.36067,0.992263157226,2900.0,-0.0032743,16.02833580970764,0.125601,2300.0,0.788308,-0.00950216,10.5981,200,135.490774594,0.0274276,2643.5,599.2295978069305
2.35903,0.993715824873,2900.0,-0.00796906,16.366580963134766,0.0106135,2200.0,0.787767,-0.00899922,10.5807,200,126.323988221,0.00224665,2656.5,615.7985451221466
2.35505,0.992924790714,2900.0,0.00185378,16.02328324317932,0.00369422,2000.0,0.786342,0.00138492,10.5386,200,144.422124344,0.000684768,2656.5,632.011355638504
2.35598,0.993624441703,3000.0,-0.0131428,16.33335256576538,0.0438728,2300.0,0.786706,-0.0169755,10.5484,200,130.828131531,0.0107666,2672.0,648.5392594337463
2.3494,0.994688243558,3000.0,-0.0134807,16.53515100479126,0.116652,2300.0,0.7841,-0.0192802,10.4793,200,120.515559161,0.0290223,2676.0,665.2696030139923
2.34266,0.994783548055,2900.0,0.00394266,16.81416916847229,0.0426496,2300.0,0.781372,0.00167453,10.4089,200,121.753850042,0.00867196,2674.0,682.2827498912811
2.34464,0.994137159041,2900.0,0.00673286,17.874844789505005,0.0537019,2400.0,0.78209,0.00348453,10.4295,200,122.715117243,0.010914,2671.0,700.3514618873596
2.348,0.994255290659,3000.0,0.00412018,16.118905305862427,0.14232,2300.0,0.78337,-0.00286027,10.4646,200,121.404283285,0.0273215,2669.0,716.6535270214081
2.35006,0.995115570075,3000.0,0.00123703,16.49453377723694,0.0136494,2400.0,0.784197,-0.00045228,10.4862,200,121.118743388,0.00147139,2680.5,733.3501143455505
2.35068,0.995668679518,3000.0,-0.0204969,16.42007350921631,0.0570538,2300.0,0.784368,-0.0230728,10.4927,200,109.087121146,0.0112313,2690.0,749.9724764823914
2.34043,0.994640272587,2900.0,-0.0146662,16.334245204925537,0.0038107,2300.0,0.780431,-0.0154703,10.3857,200,119.766439373,0.000650054,2666.0,766.5045509338379
2.3331,0.994475770838,3000.0,-0.019809,17.048893690109253,0.0374833,2300.0,0.777702,-0.022606,10.3098,200,124.297023295,0.00617544,2675.5,783.7556235790253
2.32319,0.994860393951,3000.0,-0.0109048,16.565823793411255,0.0170884,2300.0,0.773653,-0.012175,10.2082,200,118.74342087,0.00128267,2690.0,800.635270357132
2.31774,0.994024135702,3000.0,-0.0251591,16.282973766326904,0.103881,2200.0,0.771516,-0.0304659,10.1527,200,126.995078645,0.0196541,2666.5,817.1191880702972
2.30516,0.995143250978,3000.0,0.0022407,16.403502941131592,0.147782,2400.0,0.766654,-0.00326365,10.0258,200,114.612390255,0.0262526,2692.0,833.7362818717957
