1MinReturn,0MaxReturn,0EnvExecTime,1NumTrajs,LossBefore,ComputeUpdatedDistTime,1ProcessExecTime,0NumTrajs,1StdReturn,ItrTime,1AveragePolicyStd,1MaxReturn,1ExplainedVariance,MeanKLBefore,1PolicyExecTime,0AverageReturn,0ProcessExecTime,0PolicyExecTime,LossAfter,1Entropy,dLoss,0Perplexity,Time,MeanKL,0StdReturn,1EnvExecTime,0ExplainedVariance,0MinReturn,1AverageReturn,1Perplexity,0Entropy,0AveragePolicyStd
0.0,10800.0,191.24810075759888,2000,-5.82076609135e-11,1.3040075302124023,8.02311372756958,2000,741.951858277,1142.3376066684723,0.999132,12800.0,0.0502611180239,2.21189444538e-09,410.62263441085815,119.9,8.162920236587524,298.95812153816223,-0.000846587005071,2.83614,0.000846586946864,17.0794,1142.337605714798,0.00599636835977,796.205997214,195.57666206359863,0.050540792026,0.0,108.8,17.0498,2.83788,1.0
0.0,13900.0,181.2064106464386,2000,-8.14907252789e-10,0.24848723411560059,7.681832551956177,2000,1404.4145791,1069.400327205658,1.00341,17300.0,0.0872119018345,-1.97905980492e-09,398.61165976524353,217.75,7.409370422363281,256.28089141845703,-0.00212288135663,2.84468,0.00212288054172,17.1914,2216.9108023643494,0.00972965545952,1237.96200972,191.4058656692505,0.0785913408611,0.0,256.3,17.196,2.84441,1.00327
0.0,17300.0,187.64813661575317,2000,5.3842086345e-10,0.2622191905975342,7.780555963516235,2000,1728.92501211,1107.200152873993,1.00755,17900.0,0.0869191802567,6.11179828969e-10,400.40604162216187,298.75,7.59521484375,282.61232566833496,-0.00167090003379,2.85287,0.00167090057221,17.3294,3329.401396036148,0.00720784952864,1500.92752573,193.56854009628296,0.0671445061409,0.0,356.95,17.3374,2.85241,1.00732
0.0,19400.0,195.95416975021362,2000,2.772139851e-09,0.26737523078918457,8.164668560028076,2000,2105.57549378,1179.515618801117,1.00082,20400.0,0.075483031245,4.65664673488e-10,428.7151839733124,475.35,8.21498990058899,307.94746947288513,-0.00147653149907,2.83948,0.00147653427121,17.1125,4514.181212425232,0.00690307281911,1848.40400819,201.9444456100464,0.0766538743033,0.0,542.8,17.1069,2.83981,1.00099
0.0,19000.0,189.2007749080658,2000,2.21916707233e-10,0.263913631439209,7.483719348907471,2000,2828.30298059,1051.8649506568909,0.999847,18800.0,0.0961390803466,-1.39698341783e-09,351.7544460296631,799.15,7.821829795837402,284.7308051586151,-0.000999156269245,2.83752,0.000999156491162,17.0982,5571.414682626724,0.00886645261198,2725.8290991,184.58096480369568,0.0968002886686,0.0,788.5,17.0734,2.83897,1.00057
0.0,20500.0,179.46394872665405,2000,1.16415321827e-09,0.2606346607208252,7.416187286376953,2000,3615.27395884,1017.1555337905884,0.99093,20700.0,0.103044045062,7.56700091475e-10,362.3489074707031,1216.85,7.321943998336792,250.09780764579773,-0.00121078826487,2.81964,0.00121078942902,16.821,6593.66036772728,0.00744732655585,3559.20371396,184.12738490104675,0.111641623468,0.0,1210.45,16.7708,2.82263,0.992411
0.0,21300.0,179.90393567085266,2000,1.01863406599e-09,0.255786657333374,7.593798398971558,2000,4402.2163506,1034.6858849525452,0.977834,21100.0,0.112399029501,-3.2596272348e-09,369.97423124313354,1423.25,7.431967496871948,256.16700649261475,-0.00124201772269,2.79304,0.00124201874132,16.3519,7633.50662279129,0.00922738201916,3801.55552866,187.04507446289062,0.0819977339762,0.0,1840.45,16.3306,2.79435,0.978472
0.0,21200.0,192.19852232933044,2000,-7.27595761418e-11,0.2656536102294922,9.1171293258667,2000,4877.13879006,1237.285490512848,0.976512,21500.0,0.0959966957818,1.16415010964e-09,487.3015420436859,1824.65,8.052308559417725,295.525577545166,-0.000814496539533,2.79024,0.000814496466774,16.2948,8876.090812444687,0.00904296152294,4434.49291098,216.5717945098877,0.0832342819152,0.0,1954.15,16.285,2.79084,0.976807
0.0,21800.0,180.53082966804504,2000,-6.69388100505e-10,0.26261019706726074,7.373477935791016,2000,5317.59248533,996.0809586048126,0.969634,22400.0,0.11084117041,-4.19095336213e-09,343.7340967655182,1861.35,7.446332693099976,247.29330396652222,-0.00125372316688,2.77572,0.00125372249749,16.1314,9877.695044994354,0.00675381300971,4616.33633713,183.6766448020935,0.0836854439354,0.0,2249.6,16.0502,2.78077,0.972086
0.0,21700.0,179.8676037788391,2000,-8.73114913702e-11,0.2494497299194336,7.3034069538116455,2000,5957.78196983,966.3244607448578,0.960378,22400.0,0.119762908525,2.74739626605e-08,321.9667708873749,2125.7,7.371772289276123,242.39430737495422,-0.00157893181313,2.75636,0.00157893172582,15.8074,10849.377430438995,0.00678135361522,4906.04112396,183.65061926841736,0.0865716773698,0.0,2788.0,15.7424,2.76048,0.962379
