NumTrajs,ExplainedVariance,Time,LossAfter,AverageReturn,MaxKL,ItrTime,MaxReturn,Entropy,AveragePolicyStd,MeanKL,MinReturn,StdReturn,Perplexity,TotalExecTime,LossBefore
20,0.121009680207,16.838128805160522,0.00387511,25.0,0.126484,16.83813500404358,400.0,2.83651,0.999438,0.00273619,0.0,88.7411967465,17.0561,16.558146953582764,0.00509295
20,0.114493836608,32.25494599342346,0.0125213,60.0,1.71772,15.397005319595337,800.0,2.8416,1.00197,0.0317651,0.0,190.787840283,17.1432,15.163150548934937,0.0123558
20,0.180057080817,46.1251904964447,0.0137985,20.0,0.0018744,13.85509181022644,400.0,2.84778,1.005,0.000315153,0.0,87.1779788708,17.2495,13.685332775115967,0.0149302
20,0.142402863694,62.11160397529602,0.206493,20.0,257.538,15.958908319473267,200.0,2.85525,1.00878,2.42392,0.0,60.0,17.3787,15.770971536636353,0.0159162
20,0.0676744758322,73.41329216957092,0.26822,30.0,196.258,11.291019916534424,500.0,2.8632,1.01282,1.51339,0.0,110.0,17.5176,11.148021936416626,0.000970885
20,0.16771423181,87.80775499343872,0.00944332,65.0,0.000884086,14.387996912002563,900.0,2.86369,1.01316,0.000144352,0.0,210.416254125,17.5261,14.300251960754395,0.0101186
20,0.320809198899,103.66972541809082,-0.0131312,210.0,0.00380753,15.846688270568848,1400.0,2.86875,1.01569,0.000563243,0.0,413.400532172,17.615,15.667856693267822,-0.0118599
