Time,ItrTime,StdReturn,MaxReturn,MeanKL,NumTrajs,MaxKL,Entropy,LossAfter,MinReturn,Perplexity,LossBefore,AveragePolicyStd,ExplainedVariance,AverageReturn
552.7857258319855,16.457711935043335,187.787113509,2900.0,0.00832135,200,0.0226482,2.54013,-0.0453333,1900.0,12.6813,-0.0399999,0.861677,0.987557953144,2506.0
569.4442217350006,16.45143151283264,176.826892751,2900.0,0.0174186,200,0.0495901,2.52013,-0.0693469,1800.0,12.4302,-0.0601692,0.853103,0.989480946264,2513.5
586.3923676013947,16.747369289398193,173.406314764,2900.0,0.029338,200,0.122108,2.49004,-0.0522389,1800.0,12.0618,-0.041561,0.840367,0.98765933584,2544.5
603.1864326000214,16.477295637130737,167.898034533,2900.0,0.051563,200,0.178992,2.46926,-0.0462609,2000.0,11.8137,-0.0298567,0.83168,0.988463991644,2564.5
619.9257667064667,16.55716347694397,143.693249667,2900.0,0.00244954,200,0.00666268,2.45433,-0.0201773,2100.0,11.6387,-0.0179697,0.825503,0.992080218892,2601.5
636.7240960597992,16.582257747650146,161.380760935,2900.0,0.00134986,200,0.00329815,2.44535,-0.0119459,1800.0,11.5346,-0.0109097,0.821842,0.991651449763,2617.5
653.494790315628,16.529405117034912,139.642400438,3000.0,0.00412955,200,0.0228632,2.43989,-0.0362507,2200.0,11.4718,-0.0331384,0.819599,0.993248037182,2630.0
670.0402958393097,16.35146427154541,137.226090814,3000.0,0.017894,200,0.0549151,2.42332,-0.0365706,2200.0,11.2833,-0.031,0.81284,0.99340808536,2637.0
686.7343730926514,16.485153675079346,136.378150743,2900.0,0.00444351,200,0.0121009,2.40782,-0.0159038,2200.0,11.1098,-0.0142377,0.806554,0.994030038011,2649.0
703.353595495224,16.429927110671997,129.181074465,2900.0,0.0109902,200,0.0567429,2.40071,-0.00606782,2200.0,11.031,-0.00276779,0.803672,0.993762247705,2646.5
720.4404737949371,16.87309718132019,129.753612666,3000.0,0.014162,200,0.0488728,2.39932,-0.0108259,2200.0,11.0157,-0.00605964,0.803117,0.993264732243,2642.0
737.6289956569672,16.9823477268219,127.964838921,2900.0,0.000813466,200,0.00689711,2.39629,-0.00829002,2300.0,10.9824,-0.00672824,0.801912,0.994636948293,2665.0
754.7672061920166,16.9475200176239,120.655501325,3000.0,0.0257296,200,0.0974064,2.39293,-0.0356311,2300.0,10.9455,-0.0292996,0.800551,0.995008878096,2668.5
772.3499386310577,17.378405332565308,123.284224457,2900.0,0.00154134,200,0.00417528,2.37828,-0.0189743,2300.0,10.7863,-0.0181788,0.794717,0.994413870559,2649.0
790.2032525539398,17.662327527999878,129.188815305,3000.0,0.00113949,200,0.00985421,2.36919,-0.0251674,2200.0,10.6887,-0.0235391,0.791124,0.993990246968,2664.5
807.141813993454,16.636619567871094,123.570829891,3000.0,0.00161165,200,0.020877,2.35742,-0.0111705,2300.0,10.5636,-0.0101086,0.786449,0.994614630659,2680.5
823.902182340622,16.560385942459106,134.118417825,3000.0,0.00909306,200,0.0455579,2.35236,-0.0343347,2100.0,10.5104,-0.0306317,0.784463,0.99378879774,2653.5
841.1416456699371,17.032809495925903,118.927498923,3000.0,0.00512171,200,0.0232643,2.33705,-0.00630198,2300.0,10.3506,-0.00454558,0.77848,0.994892345632,2682.5
