Entropy,ExplainedVariance,MaxKL,MeanKL,Time,AverageReturn,AveragePolicyStd,MinReturn,TotalExecTime,MaxReturn,LossBefore,ItrTime,Perplexity,NumTrajs,LossAfter,StdReturn
2.69307,0.548734665332,2.43482,0.0913676,11.022794961929321,705.0,0.930467,0.0,10.912686347961426,1600.0,-0.0013729,11.02279782295227,14.777,20,-0.0234348,522.948372213
2.6917,0.90516719895,0.992535,0.0559205,22.188239336013794,1415.0,0.929563,1000.0,10.981235265731812,1700.0,0.00439569,11.160848379135132,14.7567,20,-0.00674575,158.981130956
2.6939,0.870661354664,0.329321,0.0238983,32.79570913314819,1355.0,0.930624,400.0,10.53200387954712,1700.0,-0.00542067,10.598773956298828,14.7892,20,-0.0150672,287.184609615
2.69119,0.855801206115,0.51587,0.018971,42.94187545776367,1515.0,0.929356,600.0,10.089189767837524,2400.0,-0.0131305,10.136857748031616,14.7492,20,-0.0249828,381.149576938
2.68462,0.732826056332,0.142256,0.027512,53.00544023513794,1965.0,0.92635,1300.0,9.967540502548218,4300.0,-0.0136424,10.057241916656494,14.6527,20,-0.0247852,810.108017489
2.6778,0.350162346113,0.449733,0.105335,63.42083168029785,3680.0,0.923231,1500.0,10.33580994606018,7800.0,0.0239413,10.41204309463501,14.5531,20,-0.00198126,1612.63759103
2.68977,0.819393671367,0.940821,0.133227,73.35519790649414,18295.0,0.928819,11800.0,9.846646785736084,21500.0,-0.0229084,9.92711091041565,14.7283,20,-0.055716,2444.06935253
